benchmark,source_family,optimization,original_optimized_blif_path,abc_sweep_flow_name,node_count_before,node_count_after,level_count_before,level_count_after,node_reduction,level_reduction,runtime_seconds,abc_reported_equivalence_or_failure,abc_statistics,swept_blif_path
external_iscas85_c432,iscas85,original,results/abc_native_inputs/external_iscas85_c432_original.blif,fraig,209,171,42,40,38,2,0.022,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== read_blif <tmp> fraig &get -n &fraig -x &put cec <tmp> <tmp> strash write_blif <tmp> read_blif <repo>/benchmarks/external/iscas85/c432.blif write_blif <repo>/results/abc_native_inputs/external_iscas85_c432_original.blif ===================================================== benchmarks/external/iscas85/raw_bench/c432: i/o = 36/ 7 lat = 0 and = 209 lev = 42 benchmarks/external/iscas85/raw_bench/c432: i/o = 36/ 7 lat = 0 and = 171 lev = 40 ***EOF***",results/abc_native_swept/external_iscas85_c432_original_fraig.blif
external_iscas85_c432,iscas85,original,results/abc_native_inputs/external_iscas85_c432_original.blif,amp_fraig_x,209,171,42,40,38,2,0.0318,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== &put cec <tmp> <tmp> strash write_blif <tmp> read_blif <repo>/benchmarks/external/iscas85/c432.blif write_blif <repo>/results/abc_native_inputs/external_iscas85_c432_original.blif source -s abc.rc read_blif <repo>/results/abc_native_inputs/external_iscas85_c432_original.blif fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c432_original_fraig.blif ===================================================== benchmarks/external/iscas85/raw_bench/c432: i/o = 36/ 7 lat = 0 and = 209 lev = 42 benchmarks/external/iscas85/raw_bench/c432: i/o = 36/ 7 lat = 0 and = 171 lev = 40 ***EOF***",results/abc_native_swept/external_iscas85_c432_original_amp_fraig_x.blif
external_iscas85_c432,iscas85,balance,results/abc_native_inputs/external_iscas85_c432_balance.blif,fraig,209,173,25,23,36,2,0.0206,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== source -s abc.rc read_blif <repo>/results/abc_native_inputs/external_iscas85_c432_original.blif fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c432_original_fraig.blif &get -n &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c432_original_amp_fraig_x.blif strash; balance write_blif <repo>/results/abc_native_inputs/external_iscas85_c432_balance.blif ===================================================== benchmarks/external/iscas85/raw_bench/c432: i/o = 36/ 7 lat = 0 and = 209 lev = 25 benchmarks/external/iscas85/raw_bench/c432: i/o = 36/ 7 lat = 0 and = 173 lev = 23 ***EOF***",results/abc_native_swept/external_iscas85_c432_balance_fraig.blif
external_iscas85_c432,iscas85,balance,results/abc_native_inputs/external_iscas85_c432_balance.blif,amp_fraig_x,209,173,25,23,36,2,0.0306,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== &get -n &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c432_original_amp_fraig_x.blif strash; balance write_blif <repo>/results/abc_native_inputs/external_iscas85_c432_balance.blif read_blif <repo>/results/abc_native_inputs/external_iscas85_c432_balance.blif strash fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c432_balance_fraig.blif ===================================================== benchmarks/external/iscas85/raw_bench/c432: i/o = 36/ 7 lat = 0 and = 209 lev = 25 benchmarks/external/iscas85/raw_bench/c432: i/o = 36/ 7 lat = 0 and = 173 lev = 23 ***EOF***",results/abc_native_swept/external_iscas85_c432_balance_amp_fraig_x.blif
external_iscas85_c432,iscas85,rewrite,results/abc_native_inputs/external_iscas85_c432_rewrite.blif,fraig,194,170,41,39,24,2,0.0212,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c432_balance_fraig.blif source -s abc.rc &get -n &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c432_balance_amp_fraig_x.blif read_blif <repo>/benchmarks/external/iscas85/c432.blif strash; rewrite write_blif <repo>/results/abc_native_inputs/external_iscas85_c432_rewrite.blif ===================================================== benchmarks/external/iscas85/raw_bench/c432: i/o = 36/ 7 lat = 0 and = 194 lev = 41 benchmarks/external/iscas85/raw_bench/c432: i/o = 36/ 7 lat = 0 and = 170 lev = 39 ***EOF***",results/abc_native_swept/external_iscas85_c432_rewrite_fraig.blif
external_iscas85_c432,iscas85,rewrite,results/abc_native_inputs/external_iscas85_c432_rewrite.blif,amp_fraig_x,194,170,41,39,24,2,0.0327,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c432_balance_amp_fraig_x.blif read_blif <repo>/benchmarks/external/iscas85/c432.blif strash; rewrite write_blif <repo>/results/abc_native_inputs/external_iscas85_c432_rewrite.blif read_blif <repo>/results/abc_native_inputs/external_iscas85_c432_rewrite.blif strash fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c432_rewrite_fraig.blif ===================================================== benchmarks/external/iscas85/raw_bench/c432: i/o = 36/ 7 lat = 0 and = 194 lev = 41 benchmarks/external/iscas85/raw_bench/c432: i/o = 36/ 7 lat = 0 and = 170 lev = 39 ***EOF***",results/abc_native_swept/external_iscas85_c432_rewrite_amp_fraig_x.blif
external_iscas85_c432,iscas85,resyn2,results/abc_native_inputs/external_iscas85_c432_resyn2.blif,fraig,136,130,25,25,6,0,0.0204,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c432_rewrite_fraig.blif source -s abc.rc &get -n &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c432_rewrite_amp_fraig_x.blif read_blif <repo>/benchmarks/external/iscas85/c432.blif strash; balance; rewrite; refactor; balance; rewrite; rewrite -z; balance; refactor -z; rewrite -z; balance write_blif <repo>/results/abc_native_inputs/external_iscas85_c432_resyn2.blif ===================================================== benchmarks/external/iscas85/raw_bench/c432: i/o = 36/ 7 lat = 0 and = 136 lev = 25 benchmarks/external/iscas85/raw_bench/c432: i/o = 36/ 7 lat = 0 and = 130 lev = 25 ***EOF***",results/abc_native_swept/external_iscas85_c432_resyn2_fraig.blif
external_iscas85_c432,iscas85,resyn2,results/abc_native_inputs/external_iscas85_c432_resyn2.blif,amp_fraig_x,136,130,25,25,6,0,0.0289,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c432_rewrite_amp_fraig_x.blif read_blif <repo>/benchmarks/external/iscas85/c432.blif strash; balance; rewrite; refactor; balance; rewrite; rewrite -z; balance; refactor -z; rewrite -z; balance write_blif <repo>/results/abc_native_inputs/external_iscas85_c432_resyn2.blif read_blif <repo>/results/abc_native_inputs/external_iscas85_c432_resyn2.blif strash fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c432_resyn2_fraig.blif ===================================================== benchmarks/external/iscas85/raw_bench/c432: i/o = 36/ 7 lat = 0 and = 136 lev = 25 benchmarks/external/iscas85/raw_benc",results/abc_native_swept/external_iscas85_c432_resyn2_amp_fraig_x.blif
external_iscas85_c2670,iscas85,original,results/abc_native_inputs/external_iscas85_c2670_original.blif,fraig,717,688,21,21,29,0,0.0242,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== strash fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c432_resyn2_fraig.blif source -s abc.rc &get -n &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c432_resyn2_amp_fraig_x.blif read_blif <repo>/benchmarks/external/iscas85/c2670.blif write_blif <repo>/results/abc_native_inputs/external_iscas85_c2670_original.blif ===================================================== benchmarks/external/iscas85/raw_bench/c2670: i/o = 157/ 64 lat = 0 and = 717 lev = 21 benchmarks/external/iscas85/raw_bench/c2670: i/o = 157/ 64 lat = 0 and = 688 lev = 21 ***EOF***",results/abc_native_swept/external_iscas85_c2670_original_fraig.blif
external_iscas85_c2670,iscas85,original,results/abc_native_inputs/external_iscas85_c2670_original.blif,amp_fraig_x,717,688,21,21,29,0,0.0307,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== &get -n &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c432_resyn2_amp_fraig_x.blif read_blif <repo>/benchmarks/external/iscas85/c2670.blif write_blif <repo>/results/abc_native_inputs/external_iscas85_c2670_original.blif read_blif <repo>/results/abc_native_inputs/external_iscas85_c2670_original.blif strash fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c2670_original_fraig.blif ===================================================== benchmarks/external/iscas85/raw_bench/c2670: i/o = 157/ 64 lat = 0 and = 717 lev = 21 benchmarks/external/iscas85/raw_bench/c2670: i/o = 157/ 64 lat = 0 and = 688 lev = 21 ***EOF***",results/abc_native_swept/external_iscas85_c2670_original_amp_fraig_x.blif
