command,supported,exit_code,timing_related_output,stdout_stderr_snippet
ps,True,0,True,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== read_blif <repo>/benchmarks/external/iscas85/c432.blif strash; rewrite write_blif <tmp> read_blif <repo>/benchmarks/external/iscas85/c2670.blif write_blif <tmp> read_blif <repo>/benchmarks/external/iscas85/c6288.blif write_blif <tmp> write_blif <tmp> write_blif <tmp> write_blif <tmp> ===================================================== timing_probe : i/o = 3/ 1 lat = 0 and = 2 lev = 2 ***EOF***"
print_stats,True,0,True,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== read_blif <repo>/benchmarks/external/iscas85/c2670.blif write_blif <tmp> read_blif <repo>/benchmarks/external/iscas85/c6288.blif write_blif <tmp> write_blif <tmp> write_blif <tmp> write_blif <tmp> source -s abc.rc read_blif <tmp> strash ===================================================== timing_probe : i/o = 3/ 1 lat = 0 and = 2 lev = 2 ***EOF***"
print_level,True,0,True,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== write_blif <tmp> read_blif <repo>/benchmarks/external/iscas85/c6288.blif write_blif <tmp> write_blif <tmp> write_blif <tmp> write_blif <tmp> source -s abc.rc read_blif <tmp> strash print_stats ===================================================== Level = 2. COs = 1. 100.0 % ***EOF***"
print_fanio,True,0,True,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== read_blif <repo>/benchmarks/external/iscas85/c6288.blif write_blif <tmp> write_blif <tmp> write_blif <tmp> write_blif <tmp> source -s abc.rc read_blif <tmp> strash print_stats print_level ===================================================== The distribution of fanins and fanouts in the network: Number Nodes with fanin Nodes with fanout 1 : 2 2 : 2 Fanins: Max = 2. Ave = 2.00. Fanouts: Max = 1. Ave = 1.00. ***EOF***"
topo,False,0,True,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== write_blif <tmp> write_blif <tmp> write_blif <tmp> write_blif <tmp> source -s abc.rc read_blif <tmp> strash print_stats print_level print_fanio ===================================================== Error: This command can only be applied to a logic network. timing_probe : i/o = 3/ 1 lat = 0 and = 2 lev = 2 ***EOF***"
stime,True,0,True,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== write_blif <tmp> write_blif <tmp> write_blif <tmp> source -s abc.rc read_blif <tmp> strash print_stats print_level print_fanio topo ===================================================== ***EOF*** The current network is not mapped."
print_delay,False,0,True,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== write_blif <tmp> write_blif <tmp> source -s abc.rc read_blif <tmp> strash print_stats print_level print_fanio topo stime ===================================================== Error: Delay trace works only for network mapped into standard cells. ***EOF***"
read_library,True,0,True,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== write_blif <tmp> source -s abc.rc read_blif <tmp> strash print_stats print_level print_fanio topo stime print_delay ===================================================== Warnings: genlib library reader cannot detect the buffer gate. Some parts of the supergate-based technology mapper may not work correctly. timing_probe : i/o = 3/ 1 lat = 0 nd = 2 edge = 4 area = 2.00 delay = 2.00 lev = 2 ***EOF***"
read_lib,False,-6,True,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== source -s abc.rc read_blif <tmp> strash print_stats print_level print_fanio topo stime print_delay read_library <tmp> ===================================================== File ""<tmp> Line 1. Failed to parse entry ""GATE"". Parsing failed. Parsing time = 0.00 sec Assertion failed: (v < p->nItems), function Scl_LibertyItem, file sclLiberty.c, line 93."
map_without_library,False,0,True,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== read_blif <tmp> strash print_stats print_level print_fanio topo stime print_delay read_library <tmp> read_lib <tmp> ===================================================== The current library is not available. Error: Mapping has failed. timing_probe : i/o = 3/ 1 lat = 0 and = 2 lev = 2 ***EOF***"
