config,weights,benchmark,optimization,total_nodes,avg_rank1_score,rank1_consistency,rank1_precision,mrr
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_4,balance,31,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_4,compress2rs,23,0.8873792270531399,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_4,dc2,23,0.8873792270531399,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_4,refactor,23,0.8873792270531399,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_4,refactor_z,23,0.8873792270531399,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_4,resub,31,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_4,resyn,28,0.9708829365079364,1.0,0.5357142857142857,0.5357142857142857
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_4,resyn2,23,0.8873792270531399,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_4,resyn2_like,23,0.8873792270531399,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_4,rewrite,28,0.9708829365079364,1.0,0.5357142857142857,0.5357142857142857
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_4,rewrite_z,28,0.9708829365079364,1.0,0.5357142857142857,0.5357142857142857
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_8,balance,63,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_8,compress2rs,47,0.8931598348061188,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_8,dc2,47,0.8931598348061188,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_8,refactor,47,0.8931598348061188,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_8,refactor_z,47,0.8931598348061188,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_8,resub,63,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_8,resyn,56,0.9682492332161845,1.0,0.26785714285714285,0.26785714285714285
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_8,resyn2,47,0.8931598348061188,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_8,resyn2_like,47,0.8931598348061188,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_8,rewrite,56,0.9682492332161845,1.0,0.26785714285714285,0.26785714285714285
baseline,sim=0.55 sup=0.35 dep=0.10,generated_adder_8,rewrite_z,56,0.9682492332161845,1.0,0.26785714285714285,0.26785714285714285
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_2,balance,8,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_2,compress2rs,4,0.9140625,1.0,0.5,0.5
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_2,dc2,4,0.85390625,1.0,0.5,0.5
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_2,refactor,6,0.8739583333333334,1.0,0.5,0.5
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_2,refactor_z,6,0.8739583333333334,1.0,0.5,0.5
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_2,resub,5,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_2,resyn,5,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_2,resyn2,4,0.9140625,1.0,0.5,0.5
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_2,resyn2_like,4,0.9140625,1.0,0.5,0.5
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_2,rewrite,5,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_2,rewrite_z,5,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_4,balance,112,0.9970458984375,1.0,0.8571428571428571,0.8571428571428571
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_4,compress2rs,75,0.9359940972222224,1.0,0.04,0.04
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_4,dc2,82,0.9330236915650406,1.0,0.036585365853658534,0.036585365853658534
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_4,refactor,100,0.9788768229166667,1.0,0.08,0.08
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_4,refactor_z,100,0.9499563802083334,1.0,0.04,0.04
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_4,resub,101,0.9927025319719471,1.0,0.1782178217821782,0.1782178217821782
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_4,resyn,83,0.9387539219377509,1.0,0.060240963855421686,0.060240963855421686
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_4,resyn2,82,0.9339330856199187,1.0,0.036585365853658534,0.036585365853658534
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_4,resyn2_like,82,0.9339330856199187,1.0,0.036585365853658534,0.036585365853658534
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_4,rewrite,85,0.9729978553921569,1.0,0.17647058823529413,0.17647058823529413
baseline,sim=0.55 sup=0.35 dep=0.10,generated_multiplier_4,rewrite_z,91,0.9336906192765568,1.0,0.054945054945054944,0.054945054945054944
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_16,balance,44,1.0,1.0,0.022727272727272728,0.022727272727272728
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_16,compress2rs,44,0.7891126228101325,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_16,dc2,44,0.6462536822862863,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_16,refactor,44,1.0,1.0,0.022727272727272728,0.022727272727272728
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_16,refactor_z,44,0.9286135586825283,1.0,0.045454545454545456,0.045454545454545456
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_16,resub,44,1.0,1.0,0.022727272727272728,0.022727272727272728
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_16,resyn,44,0.7981607148141573,1.0,0.022727272727272728,0.022727272727272728
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_16,resyn2,44,0.7891126228101325,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_16,resyn2_like,44,0.7891126228101325,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_16,rewrite,44,1.0,1.0,0.022727272727272728,0.022727272727272728
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_16,rewrite_z,44,0.8300801595052085,1.0,0.022727272727272728,0.022727272727272728
baseline,sim=0.55 sup=0.35 dep=0.10,generated_mux_tree_4,balance,8,1.0,1.0,0.125,0.125
