candidate_id,benchmark,source_counterpart_nodes,optimized_target_nodes,formal_status,solver_result,formal_backend,formal_evidence_level,counterexample_available,counterexample_reproduced,runtime_seconds,timeout,unsupported_reason,schema_version
distributed_affine_divisor__active_source_counterpart,distributed_affine_divisor,"[""m0"", ""m1""]","[""m0"", ""m1""]",proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,true,0.007802,false,,active_source_counterpart_refactoring_v1
shared_add_add_divisor__active_source_counterpart,shared_add_add_divisor,"[""m0"", ""m1""]","[""m0"", ""m1""]",proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,true,0.082871,false,,active_source_counterpart_refactoring_v1
bilinear_divisor__active_source_counterpart,bilinear_divisor,"[""m0"", ""m1""]","[""m0"", ""m1""]",proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,true,0.081061,false,,active_source_counterpart_refactoring_v1
mac_divisor__active_source_counterpart,mac_divisor,"[""m0"", ""m1""]","[""m0"", ""m1""]",proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,true,0.085882,false,,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__active_source_counterpart,reordered_multi_output_divisor,"[""m0"", ""m1""]","[""m0"", ""m1""]",proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,true,0.000476,false,,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__active_source_counterpart,boolean_obscured_divisor,"[""m0"", ""m1""]","[""m0"", ""m1""]",proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,true,0.000192,false,,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__active_source_counterpart,closed_region_fails_decomposition_succeeds,"[""m0"", ""m1""]","[""m0"", ""m1""]",proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,true,0.000503,false,,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__active_source_counterpart,joint_bypass_fails_decomposition_succeeds,"[""m0"", ""m1""]","[""m0"", ""m1""]",proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,true,0.049062,false,,active_source_counterpart_refactoring_v1
requires_residual_variable__active_source_counterpart,requires_residual_variable,"[""m0"", ""m1""]","[""m0"", ""m1""]",proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,true,0.000440,false,,active_source_counterpart_refactoring_v1
requires_multi_output_m__active_source_counterpart,requires_multi_output_m,"[""m0"", ""m1""]","[""m0"", ""m1""]",proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,true,0.000200,false,,active_source_counterpart_refactoring_v1
negative_information_lost__active_source_counterpart,negative_information_lost,"[""m0""]","[""m0""]",not_run,not_run,not_run,unresolved,false,true,0.000000,false,counterpart_rewrite_not_run,active_source_counterpart_refactoring_v1
negative_h_ignores_m__active_source_counterpart,negative_h_ignores_m,"[""m0""]","[""m0""]",not_run,not_run,not_run,unresolved,false,true,0.000000,false,counterpart_rewrite_not_run,active_source_counterpart_refactoring_v1
negative_identity_divisor__active_source_counterpart,negative_identity_divisor,"[""m0"", ""m1""]","[""m0"", ""m1""]",not_run,not_run,not_run,unresolved,false,true,0.000000,false,counterpart_rewrite_not_run,active_source_counterpart_refactoring_v1
