candidate_id,benchmark,backend,supported_width,cut_size,generated_nodes,area_estimate,depth_estimate,synthesis_status,artifact_path,failure_reason,schema_version
distributed_affine_divisor__active_source_counterpart,distributed_affine_divisor,truth_table_lut,2,2,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
distributed_affine_divisor__active_source_counterpart,distributed_affine_divisor,structural_cut_cone_transfer,2,2,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
distributed_affine_divisor__active_source_counterpart,distributed_affine_divisor,semantic_expression_materialization,2,2,2,2,1,generated,,,active_source_counterpart_refactoring_v1
distributed_affine_divisor__active_source_counterpart,distributed_affine_divisor,z3_backed_boolean_miter,2,2,2,2,1,generated,,,active_source_counterpart_refactoring_v1
distributed_affine_divisor__active_source_counterpart,distributed_affine_divisor,abc_internal_node_exposure,2,2,2,2,1,generated,,,active_source_counterpart_refactoring_v1
shared_add_add_divisor__active_source_counterpart,shared_add_add_divisor,truth_table_lut,6,6,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
shared_add_add_divisor__active_source_counterpart,shared_add_add_divisor,structural_cut_cone_transfer,6,6,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
shared_add_add_divisor__active_source_counterpart,shared_add_add_divisor,semantic_expression_materialization,6,6,2,2,1,generated,,,active_source_counterpart_refactoring_v1
shared_add_add_divisor__active_source_counterpart,shared_add_add_divisor,z3_backed_boolean_miter,6,6,2,2,1,generated,,,active_source_counterpart_refactoring_v1
shared_add_add_divisor__active_source_counterpart,shared_add_add_divisor,abc_internal_node_exposure,6,6,2,2,1,generated,,,active_source_counterpart_refactoring_v1
bilinear_divisor__active_source_counterpart,bilinear_divisor,truth_table_lut,6,6,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
bilinear_divisor__active_source_counterpart,bilinear_divisor,structural_cut_cone_transfer,6,6,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
bilinear_divisor__active_source_counterpart,bilinear_divisor,semantic_expression_materialization,6,6,2,2,1,generated,,,active_source_counterpart_refactoring_v1
bilinear_divisor__active_source_counterpart,bilinear_divisor,z3_backed_boolean_miter,6,6,2,2,1,generated,,,active_source_counterpart_refactoring_v1
bilinear_divisor__active_source_counterpart,bilinear_divisor,abc_internal_node_exposure,6,6,2,2,1,generated,,,active_source_counterpart_refactoring_v1
mac_divisor__active_source_counterpart,mac_divisor,truth_table_lut,6,6,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
mac_divisor__active_source_counterpart,mac_divisor,structural_cut_cone_transfer,6,6,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
mac_divisor__active_source_counterpart,mac_divisor,semantic_expression_materialization,6,6,2,2,1,generated,,,active_source_counterpart_refactoring_v1
mac_divisor__active_source_counterpart,mac_divisor,z3_backed_boolean_miter,6,6,2,2,1,generated,,,active_source_counterpart_refactoring_v1
mac_divisor__active_source_counterpart,mac_divisor,abc_internal_node_exposure,6,6,2,2,1,generated,,,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__active_source_counterpart,reordered_multi_output_divisor,truth_table_lut,2,2,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__active_source_counterpart,reordered_multi_output_divisor,structural_cut_cone_transfer,2,2,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__active_source_counterpart,reordered_multi_output_divisor,semantic_expression_materialization,2,2,2,2,1,generated,,,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__active_source_counterpart,reordered_multi_output_divisor,z3_backed_boolean_miter,2,2,2,2,1,generated,,,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__active_source_counterpart,reordered_multi_output_divisor,abc_internal_node_exposure,2,2,2,2,1,generated,,,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__active_source_counterpart,boolean_obscured_divisor,truth_table_lut,2,2,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__active_source_counterpart,boolean_obscured_divisor,structural_cut_cone_transfer,2,2,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__active_source_counterpart,boolean_obscured_divisor,semantic_expression_materialization,2,2,2,2,1,generated,,,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__active_source_counterpart,boolean_obscured_divisor,z3_backed_boolean_miter,2,2,2,2,1,generated,,,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__active_source_counterpart,boolean_obscured_divisor,abc_internal_node_exposure,2,2,2,2,1,generated,,,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__active_source_counterpart,closed_region_fails_decomposition_succeeds,truth_table_lut,2,2,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__active_source_counterpart,closed_region_fails_decomposition_succeeds,structural_cut_cone_transfer,2,2,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
