query_id,candidate_id,benchmark,formal_status,solver_result,formal_evidence_level,counterexample_available,counterexample_reproduced,runtime_seconds,timeout,unsupported_reason,schema_version
distributed_affine_divisor__active_source_counterpart__decomposition_query,distributed_affine_divisor__active_source_counterpart,distributed_affine_divisor,decomposable,unsat,formal_smt,false,true,0.025394,false,,active_source_counterpart_refactoring_v1
shared_add_add_divisor__active_source_counterpart__decomposition_query,shared_add_add_divisor__active_source_counterpart,shared_add_add_divisor,decomposable,unsat,formal_smt,false,true,0.112313,false,,active_source_counterpart_refactoring_v1
bilinear_divisor__active_source_counterpart__decomposition_query,bilinear_divisor__active_source_counterpart,bilinear_divisor,decomposable,unsat,formal_smt,false,true,0.112732,false,,active_source_counterpart_refactoring_v1
mac_divisor__active_source_counterpart__decomposition_query,mac_divisor__active_source_counterpart,mac_divisor,decomposable,unsat,formal_smt,false,true,0.118128,false,,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__active_source_counterpart__decomposition_query,reordered_multi_output_divisor__active_source_counterpart,reordered_multi_output_divisor,decomposable,unsat,formal_smt,false,true,0.002783,false,,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__active_source_counterpart__decomposition_query,boolean_obscured_divisor__active_source_counterpart,boolean_obscured_divisor,decomposable,unsat,formal_smt,false,true,0.002723,false,,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__active_source_counterpart__decomposition_query,closed_region_fails_decomposition_succeeds__active_source_counterpart,closed_region_fails_decomposition_succeeds,decomposable,unsat,formal_smt,false,true,0.003795,false,,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__active_source_counterpart__decomposition_query,joint_bypass_fails_decomposition_succeeds__active_source_counterpart,joint_bypass_fails_decomposition_succeeds,decomposable,unsat,formal_smt,false,true,0.071852,false,,active_source_counterpart_refactoring_v1
requires_residual_variable__active_source_counterpart__decomposition_query,requires_residual_variable__active_source_counterpart,requires_residual_variable,decomposable,unsat,formal_smt,false,true,0.003856,false,,active_source_counterpart_refactoring_v1
requires_multi_output_m__active_source_counterpart__decomposition_query,requires_multi_output_m__active_source_counterpart,requires_multi_output_m,decomposable,unsat,formal_smt,false,true,0.001899,false,,active_source_counterpart_refactoring_v1
negative_information_lost__active_source_counterpart__decomposition_query,negative_information_lost__active_source_counterpart,negative_information_lost,non_decomposable,sat,formal_smt,true,true,0.001085,false,,active_source_counterpart_refactoring_v1
negative_h_ignores_m__active_source_counterpart__decomposition_query,negative_h_ignores_m__active_source_counterpart,negative_h_ignores_m,decomposable,unsat,formal_smt,false,true,0.000710,false,,active_source_counterpart_refactoring_v1
negative_identity_divisor__active_source_counterpart__decomposition_query,negative_identity_divisor__active_source_counterpart,negative_identity_divisor,decomposable,unsat,formal_smt,false,true,0.000816,false,,active_source_counterpart_refactoring_v1
