target_id,source_result,split,candidate_status,counterpart_status,decomposition_status,quotient_status,graph_status,source_cec_status,cross_cec_status,usable_anchor,new_recovered_boundary,failure_stage,failure_reason,schema_version
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,old_materialized_anchor,dev,evaluated_source_blind_accounting,proved_additive_counterpart,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,source_window_discovery,no_relevant_source_consumer_window_under_bounds,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,old_materialized_anchor,dev,evaluated_source_blind_accounting,proved_additive_counterpart,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,source_window_discovery,no_relevant_source_consumer_window_under_bounds,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,old_materialized_anchor,dev,evaluated_source_blind_accounting,proved_additive_counterpart,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,source_window_discovery,no_relevant_source_consumer_window_under_bounds,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,old_materialized_anchor,dev,evaluated_source_blind_accounting,proved_additive_counterpart,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,source_window_discovery,no_relevant_source_consumer_window_under_bounds,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,old_materialized_anchor,heldout,evaluated_source_blind_accounting,proved_additive_counterpart,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,source_window_discovery,no_relevant_source_consumer_window_under_bounds,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n19,old_materialized_anchor,dev,evaluated_source_blind_accounting,proved_additive_counterpart,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,source_window_discovery,no_relevant_source_consumer_window_under_bounds,active_source_counterpart_refactoring_v1
generated_mux_tree_4|mux_tree_root|dc2|new_n10,old_materialized_anchor,dev,evaluated_source_blind_accounting,proved_additive_counterpart,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,source_window_discovery,no_relevant_source_consumer_window_under_bounds,active_source_counterpart_refactoring_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n12,old_materialized_anchor,dev,evaluated_source_blind_accounting,proved_additive_counterpart,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,source_window_discovery,no_relevant_source_consumer_window_under_bounds,active_source_counterpart_refactoring_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n9,old_materialized_anchor,dev,evaluated_source_blind_accounting,proved_additive_counterpart,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,source_window_discovery,no_relevant_source_consumer_window_under_bounds,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n18,old_materialized_anchor,heldout,evaluated_source_blind_accounting,proved_additive_counterpart,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,source_window_discovery,no_relevant_source_consumer_window_under_bounds,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n24,old_materialized_anchor,dev,evaluated_source_blind_accounting,proved_additive_counterpart,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,source_window_discovery,no_relevant_source_consumer_window_under_bounds,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n27,old_materialized_anchor,dev,evaluated_source_blind_accounting,proved_additive_counterpart,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,source_window_discovery,no_relevant_source_consumer_window_under_bounds,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n28,old_materialized_anchor,dev,evaluated_source_blind_accounting,proved_additive_counterpart,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,source_window_discovery,no_relevant_source_consumer_window_under_bounds,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n15,old_materialized_anchor,dev,evaluated_source_blind_accounting,proved_additive_counterpart,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,source_window_discovery,no_relevant_source_consumer_window_under_bounds,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n19,old_materialized_anchor,heldout,evaluated_source_blind_accounting,proved_additive_counterpart,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,source_window_discovery,no_relevant_source_consumer_window_under_bounds,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n29,old_materialized_anchor,dev,evaluated_source_blind_accounting,proved_additive_counterpart,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,source_window_discovery,no_relevant_source_consumer_window_under_bounds,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n15,old_materialized_anchor,dev,evaluated_source_blind_accounting,proved_additive_counterpart,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,source_window_discovery,no_relevant_source_consumer_window_under_bounds,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n19,old_materialized_anchor,dev,evaluated_source_blind_accounting,proved_additive_counterpart,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,source_window_discovery,no_relevant_source_consumer_window_under_bounds,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n29,old_materialized_anchor,dev,evaluated_source_blind_accounting,proved_additive_counterpart,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,source_window_discovery,no_relevant_source_consumer_window_under_bounds,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n20,old_materialized_anchor,heldout,evaluated_source_blind_accounting,proved_additive_counterpart,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,source_window_discovery,no_relevant_source_consumer_window_under_bounds,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,fresh_utility_target,heldout,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,fresh_utility_target,heldout,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,fresh_utility_target,heldout,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,fresh_utility_target,heldout,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,fresh_utility_target,heldout,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,fresh_utility_target,dev,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,fresh_utility_target,heldout,evaluated_source_blind_accounting,not_proved,not_found_under_bounds,not_synthesized,not_rewritten,not_run,not_run,false,false,anchored_cut_discovery,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
