attempt_id,candidate_id,benchmark,strategy,suffix_pass,checkpoint_index,checkpoint_path,cec_status,counterpart_present,graph_active,usable_boundary,first_loss_reason,area_delta,depth_delta,schema_version
distributed_affine_divisor__active_source_counterpart__rewrite,distributed_affine_divisor__active_source_counterpart,distributed_affine_divisor,unprotected_synthesis,strash; rewrite,1,results/active_source_counterpart_refactoring/artifacts/distributed_affine_divisor.unprotected_synthesis.suffix.blif,equivalent,false,false,false,counterpart_name_removed_by_suffix,15,0,active_source_counterpart_refactoring_v1
distributed_affine_divisor__active_source_counterpart__rewrite,distributed_affine_divisor__active_source_counterpart,distributed_affine_divisor,repair_after_pass,reconstruct_after_suffix,2,results/active_source_counterpart_refactoring/artifacts/distributed_affine_divisor.repair_after_pass.suffix.blif,equivalent,true,true,true,,0,0,active_source_counterpart_refactoring_v1
distributed_affine_divisor__active_source_counterpart__rewrite,distributed_affine_divisor__active_source_counterpart,distributed_affine_divisor,bounded_pass_choice,identity_pass_choice,3,results/active_source_counterpart_refactoring/artifacts/distributed_affine_divisor.bounded_pass_choice.suffix.blif,equivalent,true,true,true,,0,0,active_source_counterpart_refactoring_v1
distributed_affine_divisor__active_source_counterpart__rewrite,distributed_affine_divisor__active_source_counterpart,distributed_affine_divisor,keep_style_diagnostic,strash; balance,4,results/active_source_counterpart_refactoring/artifacts/distributed_affine_divisor.keep_style_diagnostic.suffix.blif,equivalent,false,false,false,counterpart_name_removed_by_suffix,23,0,active_source_counterpart_refactoring_v1
shared_add_add_divisor__active_source_counterpart__rewrite,shared_add_add_divisor__active_source_counterpart,shared_add_add_divisor,unprotected_synthesis,strash; rewrite,1,results/active_source_counterpart_refactoring/artifacts/shared_add_add_divisor.unprotected_synthesis.suffix.blif,equivalent,false,false,false,counterpart_name_removed_by_suffix,50,0,active_source_counterpart_refactoring_v1
shared_add_add_divisor__active_source_counterpart__rewrite,shared_add_add_divisor__active_source_counterpart,shared_add_add_divisor,repair_after_pass,reconstruct_after_suffix,2,results/active_source_counterpart_refactoring/artifacts/shared_add_add_divisor.repair_after_pass.suffix.blif,equivalent,true,true,true,,0,0,active_source_counterpart_refactoring_v1
shared_add_add_divisor__active_source_counterpart__rewrite,shared_add_add_divisor__active_source_counterpart,shared_add_add_divisor,bounded_pass_choice,identity_pass_choice,3,results/active_source_counterpart_refactoring/artifacts/shared_add_add_divisor.bounded_pass_choice.suffix.blif,equivalent,true,true,true,,0,0,active_source_counterpart_refactoring_v1
shared_add_add_divisor__active_source_counterpart__rewrite,shared_add_add_divisor__active_source_counterpart,shared_add_add_divisor,keep_style_diagnostic,strash; balance,4,results/active_source_counterpart_refactoring/artifacts/shared_add_add_divisor.keep_style_diagnostic.suffix.blif,equivalent,false,false,false,counterpart_name_removed_by_suffix,62,0,active_source_counterpart_refactoring_v1
bilinear_divisor__active_source_counterpart__rewrite,bilinear_divisor__active_source_counterpart,bilinear_divisor,unprotected_synthesis,strash; rewrite,1,results/active_source_counterpart_refactoring/artifacts/bilinear_divisor.unprotected_synthesis.suffix.blif,equivalent,false,false,false,counterpart_name_removed_by_suffix,37,0,active_source_counterpart_refactoring_v1
bilinear_divisor__active_source_counterpart__rewrite,bilinear_divisor__active_source_counterpart,bilinear_divisor,repair_after_pass,reconstruct_after_suffix,2,results/active_source_counterpart_refactoring/artifacts/bilinear_divisor.repair_after_pass.suffix.blif,equivalent,true,true,true,,0,0,active_source_counterpart_refactoring_v1
