attempt_id,candidate_id,benchmark,cec_scope,abc_available,cec_status,abc_output,schema_version
distributed_affine_divisor__active_source_counterpart__rewrite,distributed_affine_divisor__active_source_counterpart,distributed_affine_divisor,S_vs_Sprime,true,equivalent,"ributed_affine_divisor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/active_source_counterpart_refactoring/artifacts/distributed_affine_divisor.active_source.blif"" Networks are equivalent.  Time =     0.00 sec ",active_source_counterpart_refactoring_v1
distributed_affine_divisor__active_source_counterpart__rewrite,distributed_affine_divisor__active_source_counterpart,distributed_affine_divisor,Sprime_vs_I,true,equivalent,"visor.active_source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/active_source_counterpart_refactoring/artifacts/distributed_affine_divisor.impl_with_target.blif"" Networks are equivalent.  Time =     0.00 sec ",active_source_counterpart_refactoring_v1
shared_add_add_divisor__active_source_counterpart__rewrite,shared_add_add_divisor__active_source_counterpart,shared_add_add_divisor,S_vs_Sprime,true,equivalent,"ing/shared_add_add_divisor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/active_source_counterpart_refactoring/artifacts/shared_add_add_divisor.active_source.blif"" Networks are equivalent.  Time =     0.01 sec ",active_source_counterpart_refactoring_v1
shared_add_add_divisor__active_source_counterpart__rewrite,shared_add_add_divisor__active_source_counterpart,shared_add_add_divisor,Sprime_vs_I,true,equivalent,"d_divisor.active_source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/active_source_counterpart_refactoring/artifacts/shared_add_add_divisor.impl_with_target.blif"" Networks are equivalent.  Time =     0.01 sec ",active_source_counterpart_refactoring_v1
bilinear_divisor__active_source_counterpart__rewrite,bilinear_divisor__active_source_counterpart,bilinear_divisor,S_vs_Sprime,true,equivalent,"art_refactoring/bilinear_divisor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/active_source_counterpart_refactoring/artifacts/bilinear_divisor.active_source.blif"" Networks are equivalent.  Time =     0.01 sec ",active_source_counterpart_refactoring_v1
bilinear_divisor__active_source_counterpart__rewrite,bilinear_divisor__active_source_counterpart,bilinear_divisor,Sprime_vs_I,true,equivalent,"ilinear_divisor.active_source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/active_source_counterpart_refactoring/artifacts/bilinear_divisor.impl_with_target.blif"" Networks are equivalent.  Time =     0.01 sec ",active_source_counterpart_refactoring_v1
mac_divisor__active_source_counterpart__rewrite,mac_divisor__active_source_counterpart,mac_divisor,S_vs_Sprime,true,equivalent,"e_counterpart_refactoring/mac_divisor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/active_source_counterpart_refactoring/artifacts/mac_divisor.active_source.blif"" Networks are equivalent.  Time =     0.01 sec ",active_source_counterpart_refactoring_v1
mac_divisor__active_source_counterpart__rewrite,mac_divisor__active_source_counterpart,mac_divisor,Sprime_vs_I,true,equivalent,"rtifacts/mac_divisor.active_source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/active_source_counterpart_refactoring/artifacts/mac_divisor.impl_with_target.blif"" Networks are equivalent.  Time =     0.01 sec ",active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__active_source_counterpart__rewrite,reordered_multi_output_divisor__active_source_counterpart,reordered_multi_output_divisor,S_vs_Sprime,true,equivalent,"lti_output_divisor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/active_source_counterpart_refactoring/artifacts/reordered_multi_output_divisor.active_source.blif"" Networks are equivalent.  Time =     0.00 sec ",active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__active_source_counterpart__rewrite,reordered_multi_output_divisor__active_source_counterpart,reordered_multi_output_divisor,Sprime_vs_I,true,equivalent,"r.active_source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/active_source_counterpart_refactoring/artifacts/reordered_multi_output_divisor.impl_with_target.blif"" Networks are equivalent.  Time =     0.00 sec ",active_source_counterpart_refactoring_v1
