proof_id,candidate_id,benchmark,formal_status,solver_result,formal_evidence_level,counterexample_available,counterexample_reproduced,runtime_seconds,timeout,unsupported_reason,schema_version
distributed_affine_divisor__active_source_counterpart__quotient_proof,distributed_affine_divisor__active_source_counterpart,distributed_affine_divisor,quotient_equivalent,unsat,formal_smt,false,true,0.017412,false,,active_source_counterpart_refactoring_v1
shared_add_add_divisor__active_source_counterpart__quotient_proof,shared_add_add_divisor__active_source_counterpart,shared_add_add_divisor,quotient_equivalent,unsat,formal_smt,false,true,0.049480,false,,active_source_counterpart_refactoring_v1
bilinear_divisor__active_source_counterpart__quotient_proof,bilinear_divisor__active_source_counterpart,bilinear_divisor,quotient_equivalent,unsat,formal_smt,false,true,0.047429,false,,active_source_counterpart_refactoring_v1
mac_divisor__active_source_counterpart__quotient_proof,mac_divisor__active_source_counterpart,mac_divisor,quotient_equivalent,unsat,formal_smt,false,true,0.048074,false,,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__active_source_counterpart__quotient_proof,reordered_multi_output_divisor__active_source_counterpart,reordered_multi_output_divisor,quotient_equivalent,unsat,formal_smt,false,true,0.002045,false,,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__active_source_counterpart__quotient_proof,boolean_obscured_divisor__active_source_counterpart,boolean_obscured_divisor,quotient_equivalent,unsat,formal_smt,false,true,0.001110,false,,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__active_source_counterpart__quotient_proof,closed_region_fails_decomposition_succeeds__active_source_counterpart,closed_region_fails_decomposition_succeeds,quotient_equivalent,unsat,formal_smt,false,true,0.002185,false,,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__active_source_counterpart__quotient_proof,joint_bypass_fails_decomposition_succeeds__active_source_counterpart,joint_bypass_fails_decomposition_succeeds,quotient_equivalent,unsat,formal_smt,false,true,0.026391,false,,active_source_counterpart_refactoring_v1
requires_residual_variable__active_source_counterpart__quotient_proof,requires_residual_variable__active_source_counterpart,requires_residual_variable,quotient_equivalent,unsat,formal_smt,false,true,0.002133,false,,active_source_counterpart_refactoring_v1
requires_multi_output_m__active_source_counterpart__quotient_proof,requires_multi_output_m__active_source_counterpart,requires_multi_output_m,quotient_equivalent,unsat,formal_smt,false,true,0.000899,false,,active_source_counterpart_refactoring_v1
negative_information_lost__active_source_counterpart__quotient_proof,negative_information_lost__active_source_counterpart,negative_information_lost,not_run,not_run,unresolved,false,true,0.000000,false,quotient_not_run,active_source_counterpart_refactoring_v1
negative_h_ignores_m__active_source_counterpart__quotient_proof,negative_h_ignores_m__active_source_counterpart,negative_h_ignores_m,quotient_equivalent,unsat,formal_smt,false,true,0.000327,false,,active_source_counterpart_refactoring_v1
negative_identity_divisor__active_source_counterpart__quotient_proof,negative_identity_divisor__active_source_counterpart,negative_identity_divisor,quotient_equivalent,unsat,formal_smt,false,true,0.000506,false,,active_source_counterpart_refactoring_v1
