attempt_id,candidate_id,benchmark,rewrite_style,removed_source_nodes,inserted_counterpart_nodes,inserted_quotient_outputs,preserved_outputs,plan_status,failure_reason,schema_version
distributed_affine_divisor__active_source_counterpart__rewrite,distributed_affine_divisor__active_source_counterpart,distributed_affine_divisor,active_source_quotient_refactoring,"[""y0"", ""y1"", ""z0"", ""z1""]","[""m0"", ""m1""]","[""y0"", ""y1"", ""z0"", ""z1""]","[""y0"", ""y1"", ""z0"", ""z1""]",valid,,active_source_counterpart_refactoring_v1
shared_add_add_divisor__active_source_counterpart__rewrite,shared_add_add_divisor__active_source_counterpart,shared_add_add_divisor,active_source_quotient_refactoring,"[""o0"", ""o1"", ""p0"", ""p1""]","[""m0"", ""m1""]","[""o0"", ""o1"", ""p0"", ""p1""]","[""o0"", ""o1"", ""p0"", ""p1""]",valid,,active_source_counterpart_refactoring_v1
bilinear_divisor__active_source_counterpart__rewrite,bilinear_divisor__active_source_counterpart,bilinear_divisor,active_source_quotient_refactoring,"[""o0"", ""o1"", ""p0"", ""p1""]","[""m0"", ""m1""]","[""o0"", ""o1"", ""p0"", ""p1""]","[""o0"", ""o1"", ""p0"", ""p1""]",valid,,active_source_counterpart_refactoring_v1
mac_divisor__active_source_counterpart__rewrite,mac_divisor__active_source_counterpart,mac_divisor,active_source_quotient_refactoring,"[""o0"", ""o1"", ""p0"", ""p1""]","[""m0"", ""m1""]","[""o0"", ""o1"", ""p0"", ""p1""]","[""o0"", ""o1"", ""p0"", ""p1""]",valid,,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__active_source_counterpart__rewrite,reordered_multi_output_divisor__active_source_counterpart,reordered_multi_output_divisor,active_source_quotient_refactoring,"[""o0"", ""o1""]","[""m0"", ""m1""]","[""o0"", ""o1""]","[""o0"", ""o1""]",valid,,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__active_source_counterpart__rewrite,boolean_obscured_divisor__active_source_counterpart,boolean_obscured_divisor,active_source_quotient_refactoring,"[""o0"", ""o1""]","[""m0"", ""m1""]","[""o0"", ""o1""]","[""o0"", ""o1""]",valid,,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__active_source_counterpart__rewrite,closed_region_fails_decomposition_succeeds__active_source_counterpart,closed_region_fails_decomposition_succeeds,active_source_quotient_refactoring,"[""o0"", ""o1""]","[""m0"", ""m1""]","[""o0"", ""o1""]","[""o0"", ""o1""]",valid,,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__active_source_counterpart__rewrite,joint_bypass_fails_decomposition_succeeds__active_source_counterpart,joint_bypass_fails_decomposition_succeeds,active_source_quotient_refactoring,"[""o0"", ""o1""]","[""m0"", ""m1""]","[""o0"", ""o1""]","[""o0"", ""o1""]",valid,,active_source_counterpart_refactoring_v1
requires_residual_variable__active_source_counterpart__rewrite,requires_residual_variable__active_source_counterpart,requires_residual_variable,active_source_quotient_refactoring,"[""o0"", ""o1""]","[""m0"", ""m1""]","[""o0"", ""o1""]","[""o0"", ""o1""]",valid,,active_source_counterpart_refactoring_v1
requires_multi_output_m__active_source_counterpart__rewrite,requires_multi_output_m__active_source_counterpart,requires_multi_output_m,active_source_quotient_refactoring,"[""o0"", ""o1""]","[""m0"", ""m1""]","[""o0"", ""o1""]","[""o0"", ""o1""]",valid,,active_source_counterpart_refactoring_v1
negative_information_lost__active_source_counterpart__rewrite,negative_information_lost__active_source_counterpart,negative_information_lost,active_source_quotient_refactoring,"[""o0""]","[""m0""]","[""o0""]","[""o0""]",rejected,rewrite_not_run,active_source_counterpart_refactoring_v1
negative_h_ignores_m__active_source_counterpart__rewrite,negative_h_ignores_m__active_source_counterpart,negative_h_ignores_m,active_source_quotient_refactoring,"[""o0""]","[""m0""]","[""o0""]","[""o0""]",rejected,rewrite_not_run,active_source_counterpart_refactoring_v1
negative_identity_divisor__active_source_counterpart__rewrite,negative_identity_divisor__active_source_counterpart,negative_identity_divisor,active_source_quotient_refactoring,"[""o0"", ""o1""]","[""m0"", ""m1""]","[""o0"", ""o1""]","[""o0"", ""o1""]",rejected,rewrite_not_run,active_source_counterpart_refactoring_v1
