target_id,candidate_id,benchmark,optimization_flow,split,target_origin,optimized_target_nodes,target_selection_reason,target_fanout_count,cut_size,formal_leaf_mapping_ratio,source_window_estimate,boundary_utility_score,critical_path_score,combined_score,selected_for_attempt,rejection_reason,source_blind,schema_version
distributed_affine_divisor__target,distributed_affine_divisor__active_source_counterpart,distributed_affine_divisor,controlled_or_prior_optimized,dev,controlled_blind_utility,"[""m0"", ""m1""]",observable_consumer_window_and_formal_cut,2,2,1.000,4,14.000,6.000,23.000,true,,true,active_source_counterpart_refactoring_v1
shared_add_add_divisor__target,shared_add_add_divisor__active_source_counterpart,shared_add_add_divisor,controlled_or_prior_optimized,dev,controlled_blind_utility,"[""m0"", ""m1""]",observable_consumer_window_and_formal_cut,2,6,1.000,4,10.000,2.000,15.000,true,,true,active_source_counterpart_refactoring_v1
bilinear_divisor__target,bilinear_divisor__active_source_counterpart,bilinear_divisor,controlled_or_prior_optimized,dev,controlled_blind_utility,"[""m0"", ""m1""]",observable_consumer_window_and_formal_cut,2,6,1.000,4,10.000,2.000,15.000,true,,true,active_source_counterpart_refactoring_v1
mac_divisor__target,mac_divisor__active_source_counterpart,mac_divisor,controlled_or_prior_optimized,dev,controlled_blind_utility,"[""m0"", ""m1""]",observable_consumer_window_and_formal_cut,2,6,1.000,4,10.000,2.000,15.000,true,,true,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__target,reordered_multi_output_divisor__active_source_counterpart,reordered_multi_output_divisor,controlled_or_prior_optimized,dev,controlled_blind_utility,"[""m0"", ""m1""]",observable_consumer_window_and_formal_cut,2,2,1.000,2,14.000,6.000,23.000,true,,true,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__target,boolean_obscured_divisor__active_source_counterpart,boolean_obscured_divisor,controlled_or_prior_optimized,dev,controlled_blind_utility,"[""m0"", ""m1""]",observable_consumer_window_and_formal_cut,2,2,1.000,2,14.000,6.000,23.000,true,,true,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__target,closed_region_fails_decomposition_succeeds__active_source_counterpart,closed_region_fails_decomposition_succeeds,controlled_or_prior_optimized,dev,controlled_blind_utility,"[""m0"", ""m1""]",observable_consumer_window_and_formal_cut,2,2,1.000,2,14.000,6.000,23.000,true,,true,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__target,joint_bypass_fails_decomposition_succeeds__active_source_counterpart,joint_bypass_fails_decomposition_succeeds,controlled_or_prior_optimized,heldout,controlled_blind_utility,"[""m0"", ""m1""]",observable_consumer_window_and_formal_cut,2,6,1.000,2,10.000,2.000,15.000,true,,true,active_source_counterpart_refactoring_v1
requires_residual_variable__target,requires_residual_variable__active_source_counterpart,requires_residual_variable,controlled_or_prior_optimized,dev,controlled_blind_utility,"[""m0"", ""m1""]",observable_consumer_window_and_formal_cut,2,2,1.000,2,14.000,6.000,23.000,true,,true,active_source_counterpart_refactoring_v1
requires_multi_output_m__target,requires_multi_output_m__active_source_counterpart,requires_multi_output_m,controlled_or_prior_optimized,dev,controlled_blind_utility,"[""m0"", ""m1""]",observable_consumer_window_and_formal_cut,2,2,1.000,2,14.000,6.000,23.000,true,,true,active_source_counterpart_refactoring_v1
negative_information_lost__target,negative_information_lost__active_source_counterpart,negative_information_lost,controlled_or_prior_optimized,heldout,controlled_blind_utility,"[""m0""]",observable_consumer_window_and_formal_cut,1,1,1.000,1,13.000,6.000,22.000,true,,true,active_source_counterpart_refactoring_v1
