benchmark,optimization,optimized_node,original_candidate,sat_status,union_support_size,exact_distance,sample_size,seed,sampled_distance,absolute_error,exact_rank,sampled_rank,absolute_rank_delta
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,128,0,0.375,0.0,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,128,1,0.3828125,0.0078125,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,128,2,0.3671875,0.0078125,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,128,3,0.3046875,0.0703125,23.5,22.0,1.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,128,4,0.3203125,0.0546875,23.5,22.5,1.0
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,512,0,0.3984375,0.0234375,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,512,1,0.36328125,0.01171875,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,512,2,0.375,0.0,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,512,3,0.369140625,0.005859375,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,512,4,0.373046875,0.001953125,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,1024,0,0.3720703125,0.0029296875,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,1024,1,0.357421875,0.017578125,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,1024,2,0.4072265625,0.0322265625,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,1024,3,0.36328125,0.01171875,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,1024,4,0.3681640625,0.0068359375,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,4096,0,0.365966796875,0.009033203125,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,4096,1,0.3779296875,0.0029296875,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,4096,2,0.375244140625,0.000244140625,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,4096,3,0.37939453125,0.00439453125,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,4096,4,0.365234375,0.009765625,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,8192,0,0.374755859375,0.000244140625,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,8192,1,0.375244140625,0.000244140625,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,8192,2,0.3768310546875,0.0018310546875,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,8192,3,0.365478515625,0.009521484375,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n462,new_n575,verified,10,0.375,8192,4,0.3790283203125,0.0040283203125,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,128,0,0.3984375,0.0234375,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,128,1,0.4609375,0.0859375,23.5,25.0,1.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,128,2,0.4453125,0.0703125,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,128,3,0.40625,0.03125,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,128,4,0.4140625,0.0390625,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,512,0,0.36328125,0.01171875,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,512,1,0.337890625,0.037109375,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,512,2,0.365234375,0.009765625,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,512,3,0.38671875,0.01171875,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,512,4,0.375,0.0,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,1024,0,0.36328125,0.01171875,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,1024,1,0.373046875,0.001953125,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,1024,2,0.3525390625,0.0224609375,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,1024,3,0.3701171875,0.0048828125,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,1024,4,0.37890625,0.00390625,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,4096,0,0.383056640625,0.008056640625,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,4096,1,0.37353515625,0.00146484375,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,4096,2,0.369140625,0.005859375,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,4096,3,0.3701171875,0.0048828125,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,4096,4,0.3818359375,0.0068359375,23.5,24.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,8192,0,0.3671875,0.0078125,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,8192,1,0.37109375,0.00390625,23.5,23.0,0.5
external_iscas85_c2670,compress2rs,new_n467,new_n576,verified,11,0.375,8192,2,0.3668212890625,0.0081787109375,23.5,23.0,0.5
