benchmark,circuit,optimization,optimized_node,original_candidate,rank,sat_status,combined_score,support_overlap,simulation_similarity,distance_mode,skip_reason,union_support_size,pattern_count,distance,similarity,is_formal_distance
external_iscas85_c2670,c2670,compress2rs,new_n462,new_n575,1,verified,0.8731933593750001,1.0,0.8603515625,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,compress2rs,new_n466,new_n553,1,verified,0.87977294921875,1.0,0.872314453125,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,compress2rs,new_n467,new_n576,1,verified,0.88111572265625,1.0,0.874755859375,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,compress2rs,new_n481,new_n530,1,verified,0.8825927734375001,1.0,0.87744140625,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,compress2rs,new_n482,new_n554,1,verified,0.88299560546875,1.0,0.878173828125,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,compress2rs,new_n486,new_n602,1,verified,0.88380126953125,1.0,0.879638671875,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,compress2rs,new_n536,new_n531,1,verified,0.8820556640625001,1.0,0.87646484375,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,compress2rs,new_n540,new_n666,1,verified,0.8801757812500001,1.0,0.873046875,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,compress2rs,new_n541,new_n665,1,verified,0.8831298828125,1.0,0.87841796875,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,compress2rs,new_n546,new_n601,1,verified,0.8778930664062501,1.0,0.868896484375,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,compress2rs,new_n573,new_n660,1,verified,0.8825927734375001,1.0,0.87744140625,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,compress2rs,new_n575,new_n659,1,verified,0.8801757812500001,1.0,0.873046875,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,compress2rs,new_n693,new_n796,1,verified,0.8949300130208333,1.0,0.93017578125,exact,ok,12,4096,0.0625,0.9375,True
external_iscas85_c2670,c2670,dc2,new_n471,new_n553,1,verified,0.87977294921875,1.0,0.872314453125,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,dc2,new_n527,new_n554,1,verified,0.88299560546875,1.0,0.878173828125,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,dc2,new_n560,new_n531,1,verified,0.8820556640625001,1.0,0.87646484375,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,dc2,new_n562,new_n530,1,verified,0.8825927734375001,1.0,0.87744140625,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor,new_n473,new_n524,1,verified,0.86768798828125,1.0,0.850341796875,exact,ok,8,256,0.15625,0.84375,True
external_iscas85_c2670,c2670,refactor,new_n474,new_n525,1,verified,0.8586914062500001,1.0,0.833984375,exact,ok,8,256,0.15625,0.84375,True
external_iscas85_c2670,c2670,refactor,new_n479,new_n530,1,verified,0.8825927734375001,1.0,0.87744140625,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor,new_n480,new_n531,1,verified,0.8820556640625001,1.0,0.87646484375,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor,new_n500,new_n553,1,verified,0.87977294921875,1.0,0.872314453125,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor,new_n501,new_n554,1,verified,0.88299560546875,1.0,0.878173828125,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor,new_n522,new_n575,1,verified,0.8731933593750001,1.0,0.8603515625,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor,new_n523,new_n576,1,verified,0.88111572265625,1.0,0.874755859375,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor,new_n548,new_n601,1,verified,0.8778930664062501,1.0,0.868896484375,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor,new_n549,new_n602,1,verified,0.88380126953125,1.0,0.879638671875,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor,new_n600,new_n659,1,verified,0.8801757812500001,1.0,0.873046875,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor,new_n601,new_n660,1,verified,0.8825927734375001,1.0,0.87744140625,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor,new_n606,new_n665,1,verified,0.8831298828125,1.0,0.87841796875,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor,new_n607,new_n666,1,verified,0.8801757812500001,1.0,0.873046875,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor,new_n721,new_n796,1,verified,0.8949300130208333,1.0,0.93017578125,exact,ok,12,4096,0.0625,0.9375,True
external_iscas85_c2670,c2670,refactor_z,new_n466,new_n601,1,verified,0.8778930664062501,1.0,0.868896484375,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor_z,new_n467,new_n602,1,verified,0.88380126953125,1.0,0.879638671875,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor_z,new_n483,new_n531,1,verified,0.8820556640625001,1.0,0.87646484375,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor_z,new_n507,new_n575,1,verified,0.8731933593750001,1.0,0.8603515625,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor_z,new_n510,new_n576,1,verified,0.88111572265625,1.0,0.874755859375,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor_z,new_n520,new_n525,1,verified,0.8586914062500001,1.0,0.833984375,exact,ok,8,256,0.15625,0.84375,True
external_iscas85_c2670,c2670,refactor_z,new_n521,new_n530,1,verified,0.8825927734375001,1.0,0.87744140625,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor_z,new_n527,new_n553,1,verified,0.87977294921875,1.0,0.872314453125,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor_z,new_n528,new_n554,1,verified,0.88299560546875,1.0,0.878173828125,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor_z,new_n535,new_n524,1,verified,0.86768798828125,1.0,0.850341796875,exact,ok,8,256,0.15625,0.84375,True
external_iscas85_c2670,c2670,refactor_z,new_n561,new_n665,1,verified,0.8831298828125,1.0,0.87841796875,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor_z,new_n562,new_n666,1,verified,0.8801757812500001,1.0,0.873046875,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor_z,new_n583,new_n659,1,verified,0.8801757812500001,1.0,0.873046875,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor_z,new_n605,new_n660,1,verified,0.8825927734375001,1.0,0.87744140625,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,refactor_z,new_n719,new_n796,1,verified,0.8949300130208333,1.0,0.93017578125,exact,ok,12,4096,0.0625,0.9375,True
external_iscas85_c2670,c2670,resyn2,new_n463,new_n575,1,verified,0.8731933593750001,1.0,0.8603515625,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2,new_n467,new_n553,1,verified,0.87977294921875,1.0,0.872314453125,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2,new_n468,new_n576,1,verified,0.88111572265625,1.0,0.874755859375,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2,new_n482,new_n530,1,verified,0.8825927734375001,1.0,0.87744140625,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2,new_n483,new_n554,1,verified,0.88299560546875,1.0,0.878173828125,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2,new_n487,new_n602,1,verified,0.88380126953125,1.0,0.879638671875,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2,new_n537,new_n531,1,verified,0.8820556640625001,1.0,0.87646484375,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2,new_n541,new_n666,1,verified,0.8801757812500001,1.0,0.873046875,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2,new_n542,new_n665,1,verified,0.8831298828125,1.0,0.87841796875,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2,new_n547,new_n601,1,verified,0.8778930664062501,1.0,0.868896484375,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2,new_n574,new_n660,1,verified,0.8825927734375001,1.0,0.87744140625,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2,new_n576,new_n659,1,verified,0.8801757812500001,1.0,0.873046875,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2,new_n694,new_n796,1,verified,0.8949300130208333,1.0,0.93017578125,exact,ok,12,4096,0.0625,0.9375,True
external_iscas85_c2670,c2670,resyn2_like,new_n463,new_n575,1,verified,0.8731933593750001,1.0,0.8603515625,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2_like,new_n467,new_n553,1,verified,0.87977294921875,1.0,0.872314453125,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2_like,new_n468,new_n576,1,verified,0.88111572265625,1.0,0.874755859375,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2_like,new_n482,new_n530,1,verified,0.8825927734375001,1.0,0.87744140625,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2_like,new_n483,new_n554,1,verified,0.88299560546875,1.0,0.878173828125,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2_like,new_n487,new_n602,1,verified,0.88380126953125,1.0,0.879638671875,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2_like,new_n537,new_n531,1,verified,0.8820556640625001,1.0,0.87646484375,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2_like,new_n541,new_n666,1,verified,0.8801757812500001,1.0,0.873046875,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2_like,new_n542,new_n665,1,verified,0.8831298828125,1.0,0.87841796875,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2_like,new_n547,new_n601,1,verified,0.8778930664062501,1.0,0.868896484375,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2_like,new_n574,new_n660,1,verified,0.8825927734375001,1.0,0.87744140625,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2_like,new_n576,new_n659,1,verified,0.8801757812500001,1.0,0.873046875,exact,ok,9,512,0.125,0.875,True
external_iscas85_c2670,c2670,resyn2_like,new_n694,new_n796,1,verified,0.8949300130208333,1.0,0.93017578125,exact,ok,12,4096,0.0625,0.9375,True
external_iscas85_c5315,c5315,dc2,new_n836,new_n980,1,verified,0.8658569335937499,1.0,0.756103515625,exact,ok,9,512,0.25,0.75,True
external_iscas85_c5315,c5315,dc2,new_n837,new_n979,1,verified,0.8608886718750001,1.0,0.7470703125,exact,ok,9,512,0.25,0.75,True
external_iscas85_c5315,c5315,refactor,new_n874,new_n979,1,verified,0.8608886718750001,1.0,0.7470703125,exact,ok,9,512,0.25,0.75,True
external_iscas85_c5315,c5315,refactor,new_n875,new_n980,1,verified,0.8658569335937499,1.0,0.756103515625,exact,ok,9,512,0.25,0.75,True
external_iscas85_c5315,c5315,resub,new_n890,new_n979,1,verified,0.8608886718750001,1.0,0.7470703125,exact,ok,9,512,0.25,0.75,True
external_iscas85_c5315,c5315,resub,new_n891,new_n980,1,verified,0.8658569335937499,1.0,0.756103515625,exact,ok,9,512,0.25,0.75,True
external_iscas85_c5315,c5315,resub,new_n1305,new_n1387,1,verified,0.8920410156249999,1.0,0.8037109375,exact,ok,4,16,0.1875,0.8125,True
external_iscas85_c5315,c5315,rewrite,new_n842,new_n979,1,verified,0.8608886718750001,1.0,0.7470703125,exact,ok,9,512,0.25,0.75,True
external_iscas85_c5315,c5315,rewrite,new_n843,new_n980,1,verified,0.8658569335937499,1.0,0.756103515625,exact,ok,9,512,0.25,0.75,True
