benchmark,circuit,optimization,optimized_node,original_candidate,rank,sat_status,combined_score,support_overlap,simulation_similarity,distance_mode,skip_reason,union_support_size,pattern_count,distance,similarity,is_formal_distance
external_iscas85_c2670,c2670,compress2rs,new_n694,new_n910,1,verified,0.9149373372395834,1.0,0.966552734375,sampled,ok,13,4096,0.029296875,0.970703125,False
external_iscas85_c2670,c2670,compress2rs,new_n695,new_n911,1,verified,0.9154744466145832,1.0,0.967529296875,sampled,ok,13,4096,0.029541015625,0.970458984375,False
external_iscas85_c2670,c2670,compress2rs,new_n696,new_n912,1,verified,0.9148030598958332,1.0,0.96630859375,sampled,ok,14,4096,0.029541015625,0.970458984375,False
external_iscas85_c2670,c2670,compress2rs,new_n697,new_n919,1,verified,0.9227254231770834,1.0,0.980712890625,sampled,ok,20,4096,0.014404296875,0.985595703125,False
external_iscas85_c2670,c2670,compress2rs,new_n698,new_n900,1,verified,0.9137288411458332,1.0,0.96435546875,sampled,ok,13,4096,0.029296875,0.970703125,False
external_iscas85_c2670,c2670,compress2rs,new_n699,new_n901,1,verified,0.9146687825520834,1.0,0.966064453125,sampled,ok,13,4096,0.03466796875,0.96533203125,False
external_iscas85_c2670,c2670,compress2rs,new_n700,new_n902,1,verified,0.9149373372395834,1.0,0.966552734375,sampled,ok,14,4096,0.0244140625,0.9755859375,False
external_iscas85_c2670,c2670,compress2rs,new_n701,new_n904,1,verified,0.9131917317708332,1.0,0.96337890625,sampled,ok,13,4096,0.03125,0.96875,False
external_iscas85_c2670,c2670,compress2rs,new_n702,new_n905,1,verified,0.9134602864583332,1.0,0.9638671875,sampled,ok,13,4096,0.036865234375,0.963134765625,False
external_iscas85_c2670,c2670,compress2rs,new_n703,new_n906,1,verified,0.9145345052083332,1.0,0.9658203125,sampled,ok,14,4096,0.02880859375,0.97119140625,False
external_iscas85_c2670,c2670,compress2rs,new_n707,new_n903,1,verified,0.9227254231770834,1.0,0.980712890625,sampled,ok,20,4096,0.017333984375,0.982666015625,False
external_iscas85_c2670,c2670,compress2rs,new_n711,new_n917,1,verified,0.8974812825520834,1.0,0.934814453125,sampled,ok,32,4096,0.07568359375,0.92431640625,False
external_iscas85_c2670,c2670,compress2rs,new_n715,new_n865,1,verified,0.9153401692708334,1.0,0.96728515625,sampled,ok,13,4096,0.031005859375,0.968994140625,False
external_iscas85_c2670,c2670,compress2rs,new_n716,new_n864,1,verified,0.9126546223958334,1.0,0.96240234375,sampled,ok,13,4096,0.031982421875,0.968017578125,False
external_iscas85_c2670,c2670,compress2rs,new_n717,new_n866,1,verified,0.9131917317708332,1.0,0.96337890625,sampled,ok,14,4096,0.033203125,0.966796875,False
external_iscas85_c2670,c2670,compress2rs,new_n718,new_n867,1,verified,0.9237996419270832,1.0,0.982666015625,sampled,ok,15,4096,0.016845703125,0.983154296875,False
external_iscas85_c2670,c2670,compress2rs,new_n719,new_n879,1,verified,0.9293050130208332,1.0,0.99267578125,sampled,ok,21,4096,0.008544921875,0.991455078125,False
external_iscas85_c2670,c2670,compress2rs,new_n723,new_n854,1,verified,0.9142659505208334,1.0,0.96533203125,sampled,ok,13,4096,0.029052734375,0.970947265625,False
external_iscas85_c2670,c2670,compress2rs,new_n724,new_n853,1,verified,0.9153401692708334,1.0,0.96728515625,sampled,ok,13,4096,0.027587890625,0.972412109375,False
external_iscas85_c2670,c2670,compress2rs,new_n725,new_n855,1,verified,0.9139973958333334,1.0,0.96484375,sampled,ok,14,4096,0.034912109375,0.965087890625,False
external_iscas85_c2670,c2670,compress2rs,new_n726,new_n856,1,verified,0.9236653645833334,1.0,0.982421875,sampled,ok,15,4096,0.01416015625,0.98583984375,False
external_iscas85_c2670,c2670,compress2rs,new_n729,new_n883,1,verified,0.9297078450520834,1.0,0.993408203125,sampled,ok,21,4096,0.007568359375,0.992431640625,False
external_iscas85_c2670,c2670,compress2rs,new_n731,new_n842,1,verified,0.9162801106770834,1.0,0.968994140625,sampled,ok,13,4096,0.029541015625,0.970458984375,False
external_iscas85_c2670,c2670,compress2rs,new_n732,new_n843,1,verified,0.9131917317708332,1.0,0.96337890625,sampled,ok,13,4096,0.030517578125,0.969482421875,False
external_iscas85_c2670,c2670,compress2rs,new_n733,new_n844,1,verified,0.9117146809895832,1.0,0.960693359375,sampled,ok,14,4096,0.0302734375,0.9697265625,False
external_iscas85_c2670,c2670,compress2rs,new_n735,new_n845,1,verified,0.9208455403645832,1.0,0.977294921875,sampled,ok,20,4096,0.012939453125,0.987060546875,False
external_iscas85_c2670,c2670,compress2rs,new_n745,new_n899,1,verified,0.912646484375,1.0,0.9775390625,sampled,ok,42,4096,0.01318359375,0.98681640625,False
external_iscas85_c2670,c2670,compress2rs,new_n746,new_n923,1,verified,0.88135986328125,1.0,0.920654296875,sampled,ok,60,4096,0.0771484375,0.9228515625,False
external_iscas85_c2670,c2670,compress2rs,new_n749,new_n878,1,verified,0.91288330078125,1.0,0.987060546875,sampled,ok,42,4096,0.008056640625,0.991943359375,False
external_iscas85_c2670,c2670,compress2rs,new_n751,new_n882,1,verified,0.91932861328125,1.0,0.998779296875,sampled,ok,36,4096,0.001220703125,0.998779296875,False
external_iscas85_c2670,c2670,compress2rs,new_n752,new_n885,1,verified,0.9236572265625,1.0,0.99755859375,sampled,ok,30,4096,0.00146484375,0.99853515625,False
external_iscas85_c2670,c2670,compress2rs,new_n755,new_n890,1,verified,0.9113037109375,1.0,0.97509765625,sampled,ok,30,4096,0.027099609375,0.972900390625,False
external_iscas85_c2670,c2670,compress2rs,new_n756,new_n891,1,verified,0.90563232421875,1.0,0.973876953125,sampled,ok,36,4096,0.026611328125,0.973388671875,False
external_iscas85_c2670,c2670,compress2rs,new_n757,new_n892,1,verified,0.898515625,1.0,0.9609375,sampled,ok,42,4096,0.038330078125,0.961669921875,False
external_iscas85_c2670,c2670,compress2rs,new_n758,new_n924,1,verified,0.85890380859375,1.0,0.888916015625,sampled,ok,60,4096,0.10107421875,0.89892578125,False
