result_family,primary_artifact,artifact_sha256,artifact_rows,reproduction_command,git_head,config_hash,python_version,z3_version,abc_revision,dataset_classes,schema_version
core_correspondence,results/summary_metrics.csv,c7890d331ff2d8fdfc21dea146d991603ed4ab5742717b7d2dca5ea0e0388a16,352,make generate-variants analyze,c6fdd94a75506b124fffdb318cb2f899999abac8,9c159fb49c9cc065,3.13.9,4.16.0,bcfdf592289a408cd67ec19260f8a60a37b085b6,"[""custom"", ""generated"", ""iscas85"", ""toy""]",artifact_manifest_v1
sat_refinement,results/sat_summary.csv,2f82f5cda5cf0002d0791c446b41be32527e02e1f032a4f2fbd9f8f3b8ea0aff,141,make sat-pipeline,c6fdd94a75506b124fffdb318cb2f899999abac8,93f0daa7cfe469f1,3.13.9,4.16.0,bcfdf592289a408cd67ec19260f8a60a37b085b6,[],artifact_manifest_v1
blind_semantic_cegis,results/blind_semantic_cegis/blind_semantic_recovery_summary.csv,790b75255b9c1b66a3a3e984ac74bdb0ede40c8cf074e3c1760cfcb5f2c54e18,2,make blind-semantic-cegis-all,c6fdd94a75506b124fffdb318cb2f899999abac8,ba1db08ccf851e82,3.13.9,4.16.0,bcfdf592289a408cd67ec19260f8a60a37b085b6,[],artifact_manifest_v1
semantic_recoverability_frontier,results/semantic_recoverability_frontier/final_supported_claims_summary.md,c65bf2dccfdde81a5811f1c1e21a76fd38b07b9bde54d90ce79a242953541154,11,make semantic-recoverability-all,c6fdd94a75506b124fffdb318cb2f899999abac8,12dd73462b78eb3c,3.13.9,4.16.0,bcfdf592289a408cd67ec19260f8a60a37b085b6,[],artifact_manifest_v1
active_source_counterparts,results/active_source_counterpart_refactoring/final_supported_claims_summary.md,862041aa9878e190a64f78d68034acd6b1b208a076ad66778f97288e50065104,19,make active-source-counterparts-all,c6fdd94a75506b124fffdb318cb2f899999abac8,645219e5c5675be3,3.13.9,4.16.0,bcfdf592289a408cd67ec19260f8a60a37b085b6,[],artifact_manifest_v1
cross_netlist_transplantation,results/cross_netlist_cut_transplantation/supported_claims_summary.md,05b9336bf41029626d61c65fa45486a125d5af8354ca4eb06f5cd69315ad6ae6,17,make cross-netlist-transplant-all,c6fdd94a75506b124fffdb318cb2f899999abac8,46881a2e546ab7a1,3.13.9,4.16.0,bcfdf592289a408cd67ec19260f8a60a37b085b6,[],artifact_manifest_v1
formal_locality_barriers,results/formal_locality_barriers/formal_locality_barrier_summary.md,a037750fbf23c30bdcd5e5b82ecaf737214fa2bbb77add7456ea4243e5753833,15,make formal-locality-all,c6fdd94a75506b124fffdb318cb2f899999abac8,ed5e73cece0e50e8,3.13.9,4.16.0,bcfdf592289a408cd67ec19260f8a60a37b085b6,[],artifact_manifest_v1
necessity_first_targets,results/necessity_first_target_discovery/corrected_scientific_claims.csv,1c972f5f83e6694abf825b740265678a4343f2027b72251bf0ba861ea85b4761,3,make necessity-targets-all,c6fdd94a75506b124fffdb318cb2f899999abac8,caff905189169cb6,3.13.9,4.16.0,bcfdf592289a408cd67ec19260f8a60a37b085b6,"[""controlled_synthetic"", ""external_rtl"", ""generated_research_benchmark""]",artifact_manifest_v1
research_wow,results/research_wow/recoverability_frontier.csv,33c9c6b2a39064dad44d5c39b131f82a1e63e0cd8c79e014dc2278171bb22a16,7,make research-wow,c6fdd94a75506b124fffdb318cb2f899999abac8,92e64a67df5fb89d,3.13.9,4.16.0,bcfdf592289a408cd67ec19260f8a60a37b085b6,[],artifact_manifest_v1
evidence_advancement,results/evidence_advancement/evidence_advancement_summary.csv,48fe978efaf716e7283410ca6486b87345759613e631810ab98e8968a5ebdb8f,6,make evidence-advancement,c6fdd94a75506b124fffdb318cb2f899999abac8,af4175f347789b33,3.13.9,4.16.0,bcfdf592289a408cd67ec19260f8a60a37b085b6,"[""blind_generated_blif"", ""controlled_generated_blif"", ""generated_research_benchmark"", ""historical_diagnostic"", ""rtl_corpus""]",artifact_manifest_v1
