candidate_id,region_id,iteration,examples_before,examples_after,candidate_parameters,candidate_expression,solver_status,counterexample_assignment,output_difference,synthesis_runtime,verification_runtime,final_proof_status,termination_reason,schema_version
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0001,arithmetic_add_add_w2__identity__ground_truth_region,1,1,2,"{""alpha"":""bounded_enumeration""}","mul<4,unsigned>(4'd0,input1)",sat,"{""input1"":1}",1,0.000193,0.000365,unresolved,counterexample_added,blind_semantic_cegis_v1
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0003,arithmetic_add_add_w2__identity__ground_truth_region,2,2,3,"{""alpha"":""bounded_enumeration""}","mul<4,unsigned>(4'd1,input1)",sat,"{""input1"":4}",5,0.000466,0.000627,unresolved,counterexample_added,blind_semantic_cegis_v1
,arithmetic_add_add_w2__identity__ground_truth_region,3,3,3,{},,unsat_examples,{},0,0.006204,0.000000,unresolved,no_candidate_satisfies_examples,blind_semantic_cegis_v1
arithmetic_add_add_w2__identity__whole_output_cone__blind_cegis__0001,arithmetic_add_add_w2__identity__whole_output_cone,1,1,2,"{""alpha"":""bounded_enumeration""}","mul<4,unsigned>(4'd0,input1)",sat,"{""input1"":1}",1,0.000138,0.000347,unresolved,counterexample_added,blind_semantic_cegis_v1
arithmetic_add_add_w2__identity__whole_output_cone__blind_cegis__0003,arithmetic_add_add_w2__identity__whole_output_cone,2,2,3,"{""alpha"":""bounded_enumeration""}","mul<4,unsigned>(4'd1,input1)",sat,"{""input1"":4}",5,0.000460,0.000643,unresolved,counterexample_added,blind_semantic_cegis_v1
,arithmetic_add_add_w2__identity__whole_output_cone,3,3,3,{},,unsat_examples,{},0,0.006161,0.000000,unresolved,no_candidate_satisfies_examples,blind_semantic_cegis_v1
arithmetic_affine_w2__balance__whole_output_cone__blind_cegis__0001,arithmetic_affine_w2__balance__whole_output_cone,1,1,1,"{""alpha"":""bounded_enumeration""}","mul<5,unsigned>(5'd0,input1)",unsat,{},0,0.000079,0.000183,formally_verified_region,equivalence_proven,blind_semantic_cegis_v1
arithmetic_affine_w2__compress2rs__whole_output_cone__blind_cegis__0012,arithmetic_affine_w2__compress2rs__whole_output_cone,1,1,2,"{""alpha"":""bounded_enumeration"",""beta"":""bounded_enumeration""}","add<5,unsigned>(5'd5,mul<5,unsigned>(5'd5,input1))",sat,"{""input1"":1,""input2"":0}",10,0.000489,0.000133,unresolved,counterexample_added,blind_semantic_cegis_v1
,arithmetic_affine_w2__compress2rs__whole_output_cone,2,2,2,{},,unsat_examples,{},0,0.003563,0.000000,unresolved,no_candidate_satisfies_examples,blind_semantic_cegis_v1
arithmetic_affine_w2__dc2__whole_output_cone__blind_cegis__0004,arithmetic_affine_w2__dc2__whole_output_cone,1,1,2,"{""alpha"":""bounded_enumeration"",""beta"":""bounded_enumeration""}","add<5,unsigned>(5'd1,mul<5,unsigned>(5'd1,input1))",sat,"{""input1"":1,""input2"":0}",2,0.000185,0.000125,unresolved,counterexample_added,blind_semantic_cegis_v1
,arithmetic_affine_w2__dc2__whole_output_cone,2,2,2,{},,unsat_examples,{},0,0.003534,0.000000,unresolved,no_candidate_satisfies_examples,blind_semantic_cegis_v1
