region_id,stage,reason
arithmetic_add_add_w2__identity__ground_truth_region,cegis,no_candidate_satisfies_examples
arithmetic_add_add_w2__identity__whole_output_cone,cegis,no_candidate_satisfies_examples
arithmetic_affine_w2__compress2rs__whole_output_cone,cegis,no_candidate_satisfies_examples
arithmetic_affine_w2__dc2__whole_output_cone,cegis,no_candidate_satisfies_examples
arithmetic_affine_w2__identity__ground_truth_region,cegis,no_candidate_satisfies_examples
arithmetic_affine_w2__identity__whole_output_cone,cegis,no_candidate_satisfies_examples
arithmetic_affine_w2__refactor__whole_output_cone,cegis,no_candidate_satisfies_examples
arithmetic_affine_w2__resub__whole_output_cone,cegis,no_candidate_satisfies_examples
arithmetic_affine_w2__resyn2__whole_output_cone,cegis,no_candidate_satisfies_examples
arithmetic_affine_w3__balance__whole_output_cone,cegis,no_candidate_satisfies_examples
arithmetic_affine_w3__compress2rs__whole_output_cone,cegis,no_candidate_satisfies_examples
arithmetic_affine_w3__dc2__whole_output_cone,cegis,no_candidate_satisfies_examples
arithmetic_affine_w3__identity__ground_truth_region,cegis,no_candidate_satisfies_examples
arithmetic_affine_w3__identity__whole_output_cone,cegis,no_candidate_satisfies_examples
arithmetic_affine_w3__refactor__whole_output_cone,cegis,no_candidate_satisfies_examples
arithmetic_affine_w3__resub__whole_output_cone,cegis,no_candidate_satisfies_examples
arithmetic_affine_w3__resyn__whole_output_cone,cegis,no_candidate_satisfies_examples
arithmetic_affine_w3__resyn2__whole_output_cone,cegis,no_candidate_satisfies_examples
arithmetic_affine_w3__rewrite__whole_output_cone,cegis,no_candidate_satisfies_examples
arithmetic_affine_w4__balance__whole_output_cone,cegis,no_candidate_satisfies_examples
arithmetic_affine_w4__compress2rs__whole_output_cone,cegis,no_candidate_satisfies_examples
