mode,candidate_id,region_id,case_id,operator,width,iteration,examples_before,examples_after,template_family,candidate_expression,synthesis_result,verification_result,counterexample_assignment,counterexample_reproduced,synthesis_runtime,verification_runtime,cumulative_runtime,termination_reason,proof_backend,proof_scope,evidence_level,schema_version
blind,bitmanip_sign_extend_w6__identity__ground_truth_region__blind_cegis__0001,bitmanip_sign_extend_w6__identity__ground_truth_region,bitmanip_sign_extend_w6,sign_extend,12,1,1,2,constant_multiply,"mul<12,unsigned>(12'd0,input1)",sat,sat,"{""input1"":25}",true,0.001192,0.050127,0.051319,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,bitmanip_sign_extend_w6__identity__ground_truth_region__blind_cegis__0003,bitmanip_sign_extend_w6__identity__ground_truth_region,bitmanip_sign_extend_w6,sign_extend,12,2,2,3,constant_multiply,"mul<12,unsigned>(12'd1,input1)",sat,sat,"{""input1"":35}",true,0.002394,0.046842,0.100555,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,bitmanip_sign_extend_w6__identity__ground_truth_region__blind_cegis__0069,bitmanip_sign_extend_w6__identity__ground_truth_region,bitmanip_sign_extend_w6,sign_extend,12,3,3,3,sign_extend,"sign_extend<12,signed>(input1)",sat,unsat,{},true,0.056127,0.047493,0.204174,equivalence_proven,z3,region,formal_smt,z3_cegis_iteration_v1
blind,bitmanip_sign_extend_w6__identity__whole_output_cone__blind_cegis__0001,bitmanip_sign_extend_w6__identity__whole_output_cone,bitmanip_sign_extend_w6,sign_extend,12,1,1,2,constant_multiply,"mul<12,unsigned>(12'd0,input1)",sat,sat,"{""input1"":3}",true,0.000821,0.046027,0.046848,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,bitmanip_sign_extend_w6__identity__whole_output_cone__blind_cegis__0003,bitmanip_sign_extend_w6__identity__whole_output_cone,bitmanip_sign_extend_w6,sign_extend,12,2,2,3,constant_multiply,"mul<12,unsigned>(12'd1,input1)",sat,sat,"{""input1"":59}",true,0.002298,0.046614,0.095761,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,bitmanip_sign_extend_w6__identity__whole_output_cone__blind_cegis__0069,bitmanip_sign_extend_w6__identity__whole_output_cone,bitmanip_sign_extend_w6,sign_extend,12,3,3,3,sign_extend,"sign_extend<12,signed>(input1)",sat,unsat,{},true,0.056702,0.047628,0.200091,equivalence_proven,z3,region,formal_smt,z3_cegis_iteration_v1
blind,bitmanip_sign_extend_w8__identity__ground_truth_region__blind_cegis__0001,bitmanip_sign_extend_w8__identity__ground_truth_region,bitmanip_sign_extend_w8,sign_extend,16,1,1,2,constant_multiply,"mul<16,unsigned>(16'd0,input1)",sat,sat,"{""input1"":110}",true,0.003912,0.307145,0.311057,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,bitmanip_sign_extend_w8__identity__ground_truth_region__blind_cegis__0003,bitmanip_sign_extend_w8__identity__ground_truth_region,bitmanip_sign_extend_w8,sign_extend,16,2,2,3,constant_multiply,"mul<16,unsigned>(16'd1,input1)",sat,sat,"{""input1"":143}",true,0.011091,0.311579,0.633727,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,bitmanip_sign_extend_w8__identity__ground_truth_region__blind_cegis__0069,bitmanip_sign_extend_w8__identity__ground_truth_region,bitmanip_sign_extend_w8,sign_extend,16,3,3,3,sign_extend,"sign_extend<16,signed>(input1)",sat,unsat,{},true,0.289294,0.323383,1.246404,equivalence_proven,z3,region,formal_smt,z3_cegis_iteration_v1
blind,bitmanip_sign_extend_w8__identity__whole_output_cone__blind_cegis__0001,bitmanip_sign_extend_w8__identity__whole_output_cone,bitmanip_sign_extend_w8,sign_extend,16,1,1,2,constant_multiply,"mul<16,unsigned>(16'd0,input1)",sat,sat,"{""input1"":223}",true,0.004065,0.310232,0.314297,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,bitmanip_sign_extend_w8__identity__whole_output_cone__blind_cegis__0069,bitmanip_sign_extend_w8__identity__whole_output_cone,bitmanip_sign_extend_w8,sign_extend,16,2,2,2,sign_extend,"sign_extend<16,signed>(input1)",sat,unsat,{},true,0.292307,0.321569,0.928173,equivalence_proven,z3,region,formal_smt,z3_cegis_iteration_v1
blind,bitmanip_zero_extend_w6__identity__ground_truth_region__blind_cegis__0001,bitmanip_zero_extend_w6__identity__ground_truth_region,bitmanip_zero_extend_w6,zero_extend,12,1,1,2,constant_multiply,"mul<12,unsigned>(12'd0,input1)",sat,sat,"{""input1"":6}",true,0.001362,0.024383,0.025745,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,bitmanip_zero_extend_w6__identity__ground_truth_region__blind_cegis__0003,bitmanip_zero_extend_w6__identity__ground_truth_region,bitmanip_zero_extend_w6,zero_extend,12,2,2,2,constant_multiply,"mul<12,unsigned>(12'd1,input1)",sat,unsat,{},true,0.001358,0.025323,0.052426,equivalence_proven,z3,region,formal_smt,z3_cegis_iteration_v1
blind,bitmanip_zero_extend_w6__identity__whole_output_cone__blind_cegis__0001,bitmanip_zero_extend_w6__identity__whole_output_cone,bitmanip_zero_extend_w6,zero_extend,12,1,1,2,constant_multiply,"mul<12,unsigned>(12'd0,input1)",sat,sat,"{""input1"":29}",true,0.002451,0.024054,0.026505,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,bitmanip_zero_extend_w6__identity__whole_output_cone__blind_cegis__0003,bitmanip_zero_extend_w6__identity__whole_output_cone,bitmanip_zero_extend_w6,zero_extend,12,2,2,2,constant_multiply,"mul<12,unsigned>(12'd1,input1)",sat,unsat,{},true,0.001331,0.025413,0.053248,equivalence_proven,z3,region,formal_smt,z3_cegis_iteration_v1
blind,bitmanip_zero_extend_w8__identity__ground_truth_region__blind_cegis__0001,bitmanip_zero_extend_w8__identity__ground_truth_region,bitmanip_zero_extend_w8,zero_extend,16,1,1,2,constant_multiply,"mul<16,unsigned>(16'd0,input1)",sat,sat,"{""input1"":73}",true,0.003843,0.157765,0.161608,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,bitmanip_zero_extend_w8__identity__ground_truth_region__blind_cegis__0003,bitmanip_zero_extend_w8__identity__ground_truth_region,bitmanip_zero_extend_w8,zero_extend,16,2,2,2,constant_multiply,"mul<16,unsigned>(16'd1,input1)",sat,unsat,{},true,0.005891,0.169619,0.337118,equivalence_proven,z3,region,formal_smt,z3_cegis_iteration_v1
blind,bitmanip_zero_extend_w8__identity__whole_output_cone__blind_cegis__0001,bitmanip_zero_extend_w8__identity__whole_output_cone,bitmanip_zero_extend_w8,zero_extend,16,1,1,2,constant_multiply,"mul<16,unsigned>(16'd0,input1)",sat,sat,"{""input1"":28}",true,0.002365,0.160315,0.162680,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,bitmanip_zero_extend_w8__identity__whole_output_cone__blind_cegis__0003,bitmanip_zero_extend_w8__identity__whole_output_cone,bitmanip_zero_extend_w8,zero_extend,16,2,2,2,constant_multiply,"mul<16,unsigned>(16'd1,input1)",sat,unsat,{},true,0.005939,0.167000,0.335619,equivalence_proven,z3,region,formal_smt,z3_cegis_iteration_v1
blind,arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0001,arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,add_add,4,1,1,2,constant_multiply,"mul<4,unsigned>(4'd0,input1)",sat,sat,"{""input1"":40}",true,0.000398,0.014672,0.015070,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0035,arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,add_add,4,2,2,3,shift,"lshr<4,unsigned>(input1)",sat,sat,"{""input1"":57}",true,0.010345,0.014857,0.040272,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,add_add,4,3,3,3,,,unsat,not_run,{},false,0.010392,0.000000,0.040272,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_add_add_w2__identity__whole_output_cone__blind_cegis__0001,arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,add_add,4,1,1,2,constant_multiply,"mul<4,unsigned>(4'd0,input1)",sat,sat,"{""input1"":10}",true,0.000257,0.014553,0.014810,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,arithmetic_add_add_w2__identity__whole_output_cone__blind_cegis__0005,arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,add_add,4,2,2,3,constant_multiply,"mul<4,unsigned>(4'd2,input1)",sat,sat,"{""input1"":54}",true,0.001451,0.016756,0.033017,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,add_add,4,3,3,3,,,unsat,not_run,{},false,0.010900,0.000000,0.033017,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w2__balance__whole_output_cone__blind_cegis__0001,arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,affine,5,1,1,1,constant_multiply,"mul<5,unsigned>(5'd0,input1)",sat,unsat,{},true,0.000184,0.001182,0.001366,equivalence_proven,z3,region,formal_smt,z3_cegis_iteration_v1
blind,arithmetic_affine_w2__compress2rs__whole_output_cone__blind_cegis__0012,arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,affine,5,1,1,2,affine_unary,"add<5,unsigned>(5'd5,mul<5,unsigned>(5'd5,input1))",sat,sat,"{""input1"":1,""input2"":0}",true,0.001162,0.003150,0.004312,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,affine,5,2,2,2,,,unsat,not_run,{},false,0.013275,0.000000,0.004312,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w2__dc2__whole_output_cone__blind_cegis__0004,arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,affine,5,1,1,2,affine_unary,"add<5,unsigned>(5'd1,mul<5,unsigned>(5'd1,input1))",sat,sat,"{""input1"":0,""input2"":1}",true,0.000416,0.002121,0.002537,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,affine,5,2,2,2,,,unsat,not_run,{},false,0.012759,0.000000,0.002537,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w2__identity__ground_truth_region__blind_cegis__0012,arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,affine,5,1,1,2,affine_unary,"add<5,unsigned>(5'd5,mul<5,unsigned>(5'd5,input1))",sat,sat,"{""input1"":1,""input2"":0}",true,0.001037,0.002393,0.003430,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,affine,5,2,2,2,,,unsat,not_run,{},false,0.012368,0.000000,0.003430,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w2__identity__whole_output_cone__blind_cegis__0012,arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,affine,5,1,1,2,affine_unary,"add<5,unsigned>(5'd5,mul<5,unsigned>(5'd5,input1))",sat,sat,"{""input1"":1,""input2"":1}",true,0.001039,0.002377,0.003416,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,affine,5,2,2,2,,,unsat,not_run,{},false,0.012650,0.000000,0.003416,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w2__refactor__whole_output_cone__blind_cegis__0004,arithmetic_affine_w2__refactor__whole_output_cone,arithmetic_affine_w2,affine,5,1,1,2,affine_unary,"add<5,unsigned>(5'd1,mul<5,unsigned>(5'd1,input1))",sat,sat,"{""input1"":0,""input2"":1}",true,0.000394,0.002044,0.002438,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w2__refactor__whole_output_cone,arithmetic_affine_w2,affine,5,2,2,2,,,unsat,not_run,{},false,0.012121,0.000000,0.002438,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w2__resub__whole_output_cone__blind_cegis__0012,arithmetic_affine_w2__resub__whole_output_cone,arithmetic_affine_w2,affine,5,1,1,2,affine_unary,"add<5,unsigned>(5'd5,mul<5,unsigned>(5'd5,input1))",sat,sat,"{""input1"":1,""input2"":0}",true,0.001019,0.002121,0.003140,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w2__resub__whole_output_cone,arithmetic_affine_w2,affine,5,2,2,2,,,unsat,not_run,{},false,0.012846,0.000000,0.003140,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w2__resyn__whole_output_cone__blind_cegis__0001,arithmetic_affine_w2__resyn__whole_output_cone,arithmetic_affine_w2,affine,5,1,1,1,constant_multiply,"mul<5,unsigned>(5'd0,input1)",sat,unsat,{},true,0.000133,0.000988,0.001121,equivalence_proven,z3,region,formal_smt,z3_cegis_iteration_v1
blind,arithmetic_affine_w2__resyn2__whole_output_cone__blind_cegis__0012,arithmetic_affine_w2__resyn2__whole_output_cone,arithmetic_affine_w2,affine,5,1,1,2,affine_unary,"add<5,unsigned>(5'd5,mul<5,unsigned>(5'd5,input1))",sat,sat,"{""input1"":1,""input2"":0}",true,0.001059,0.002216,0.003275,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w2__resyn2__whole_output_cone,arithmetic_affine_w2,affine,5,2,2,2,,,unsat,not_run,{},false,0.012913,0.000000,0.003275,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w2__rewrite__whole_output_cone__blind_cegis__0001,arithmetic_affine_w2__rewrite__whole_output_cone,arithmetic_affine_w2,affine,5,1,1,1,constant_multiply,"mul<5,unsigned>(5'd0,input1)",sat,unsat,{},true,0.000134,0.001059,0.001193,equivalence_proven,z3,region,formal_smt,z3_cegis_iteration_v1
blind,arithmetic_affine_w3__balance__whole_output_cone__blind_cegis__0004,arithmetic_affine_w3__balance__whole_output_cone,arithmetic_affine_w3,affine,6,1,1,2,affine_unary,"add<6,unsigned>(6'd1,mul<6,unsigned>(6'd1,input1))",sat,sat,"{""input1"":3}",true,0.000557,0.002653,0.003210,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w3__balance__whole_output_cone,arithmetic_affine_w3,affine,6,2,2,2,,,unsat,not_run,{},false,0.007627,0.000000,0.003210,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w3__compress2rs__whole_output_cone__blind_cegis__0004,arithmetic_affine_w3__compress2rs__whole_output_cone,arithmetic_affine_w3,affine,6,1,1,2,affine_unary,"add<6,unsigned>(6'd1,mul<6,unsigned>(6'd1,input1))",sat,sat,"{""input1"":3}",true,0.000455,0.002275,0.002730,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w3__compress2rs__whole_output_cone,arithmetic_affine_w3,affine,6,2,2,2,,,unsat,not_run,{},false,0.006580,0.000000,0.002730,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w3__dc2__whole_output_cone__blind_cegis__0004,arithmetic_affine_w3__dc2__whole_output_cone,arithmetic_affine_w3,affine,6,1,1,2,affine_unary,"add<6,unsigned>(6'd1,mul<6,unsigned>(6'd1,input1))",sat,sat,"{""input1"":3}",true,0.000453,0.002359,0.002812,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w3__dc2__whole_output_cone,arithmetic_affine_w3,affine,6,2,2,2,,,unsat,not_run,{},false,0.006534,0.000000,0.002812,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w3__identity__ground_truth_region__blind_cegis__0012,arithmetic_affine_w3__identity__ground_truth_region,arithmetic_affine_w3,affine,6,1,1,2,affine_unary,"add<6,unsigned>(6'd5,mul<6,unsigned>(6'd5,input1))",sat,sat,"{""input1"":4}",true,0.001191,0.003444,0.004635,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w3__identity__ground_truth_region,arithmetic_affine_w3,affine,6,2,2,2,,,unsat,not_run,{},false,0.006293,0.000000,0.004635,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w3__identity__whole_output_cone__blind_cegis__0012,arithmetic_affine_w3__identity__whole_output_cone,arithmetic_affine_w3,affine,6,1,1,2,affine_unary,"add<6,unsigned>(6'd5,mul<6,unsigned>(6'd5,input1))",sat,sat,"{""input1"":6}",true,0.001199,0.003457,0.004656,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w3__identity__whole_output_cone,arithmetic_affine_w3,affine,6,2,2,2,,,unsat,not_run,{},false,0.006284,0.000000,0.004656,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
