candidate_id,region_id,case_id,optimization,output_width,input_scalar_bits,exhaustive_status,z3_status,verdict_agreement,z3_counterexample_available,z3_counterexample_reproduced,exhaustive_runtime,z3_runtime,z3_version,unsupported_reason,schema_version
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0001,arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,4,6,disproven,disproven,true,true,true,0.000476,0.018398,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0002,arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,4,6,disproven,disproven,true,true,true,0.000409,0.014680,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0003,arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,4,6,disproven,disproven,true,true,true,0.000648,0.014720,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0004,arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,4,6,disproven,disproven,true,true,true,0.000240,0.016904,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0005,arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,4,6,disproven,disproven,true,true,true,0.000405,0.015730,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0006,arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,4,6,disproven,disproven,true,true,true,0.000233,0.015365,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0007,arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,4,6,disproven,disproven,true,true,true,0.000326,0.015901,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0008,arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,4,6,disproven,disproven,true,true,true,0.000231,0.016218,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_add_add_w2__identity__whole_output_cone__blind_cegis__0001,arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,4,6,disproven,disproven,true,true,true,0.000384,0.014504,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_add_add_w2__identity__whole_output_cone__blind_cegis__0002,arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,4,6,disproven,disproven,true,true,true,0.000341,0.014473,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_add_add_w2__identity__whole_output_cone__blind_cegis__0003,arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,4,6,disproven,disproven,true,true,true,0.000619,0.014661,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_add_add_w2__identity__whole_output_cone__blind_cegis__0004,arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,4,6,disproven,disproven,true,true,true,0.000231,0.015574,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_add_add_w2__identity__whole_output_cone__blind_cegis__0005,arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,4,6,disproven,disproven,true,true,true,0.000342,0.015553,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_add_add_w2__identity__whole_output_cone__blind_cegis__0006,arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,4,6,disproven,disproven,true,true,true,0.000229,0.015492,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_add_add_w2__identity__whole_output_cone__blind_cegis__0007,arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,4,6,disproven,disproven,true,true,true,0.000320,0.015374,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_add_add_w2__identity__whole_output_cone__blind_cegis__0008,arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,4,6,disproven,disproven,true,true,true,0.000222,0.015922,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__balance__whole_output_cone__blind_cegis__0001,arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,5,2,formally_verified_region,formally_verified_region,true,false,true,0.000225,0.000973,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__balance__whole_output_cone__blind_cegis__0002,arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,5,2,formally_verified_region,formally_verified_region,true,false,true,0.000173,0.000954,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__balance__whole_output_cone__blind_cegis__0003,arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,5,2,disproven,disproven,true,true,true,0.000125,0.001102,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__balance__whole_output_cone__blind_cegis__0004,arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,5,2,disproven,disproven,true,true,true,0.000094,0.000913,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__balance__whole_output_cone__blind_cegis__0005,arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,5,2,disproven,disproven,true,true,true,0.000113,0.001255,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__balance__whole_output_cone__blind_cegis__0006,arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,5,2,disproven,disproven,true,true,true,0.000091,0.001233,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__balance__whole_output_cone__blind_cegis__0007,arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,5,2,disproven,disproven,true,true,true,0.000113,0.001052,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__balance__whole_output_cone__blind_cegis__0008,arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,5,2,disproven,disproven,true,true,true,0.000092,0.000926,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__compress2rs__whole_output_cone__blind_cegis__0001,arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,5,2,disproven,disproven,true,true,true,0.000110,0.001219,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__compress2rs__whole_output_cone__blind_cegis__0002,arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,5,2,disproven,disproven,true,true,true,0.000088,0.001205,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__compress2rs__whole_output_cone__blind_cegis__0003,arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,5,2,disproven,disproven,true,true,true,0.000101,0.000954,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__compress2rs__whole_output_cone__blind_cegis__0004,arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,5,2,disproven,disproven,true,true,true,0.000089,0.001324,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__compress2rs__whole_output_cone__blind_cegis__0005,arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,5,2,disproven,disproven,true,true,true,0.000089,0.002041,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__compress2rs__whole_output_cone__blind_cegis__0006,arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,5,2,disproven,disproven,true,true,true,0.000088,0.001286,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__compress2rs__whole_output_cone__blind_cegis__0007,arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,5,2,disproven,disproven,true,true,true,0.000082,0.001218,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__compress2rs__whole_output_cone__blind_cegis__0008,arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,5,2,disproven,disproven,true,true,true,0.000087,0.001982,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__dc2__whole_output_cone__blind_cegis__0001,arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,dc2,5,2,disproven,disproven,true,true,true,0.000107,0.001042,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__dc2__whole_output_cone__blind_cegis__0002,arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,dc2,5,2,disproven,disproven,true,true,true,0.000089,0.001040,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__dc2__whole_output_cone__blind_cegis__0003,arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,dc2,5,2,disproven,disproven,true,true,true,0.000084,0.000850,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__dc2__whole_output_cone__blind_cegis__0004,arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,dc2,5,2,disproven,disproven,true,true,true,0.000104,0.001968,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__dc2__whole_output_cone__blind_cegis__0005,arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,dc2,5,2,disproven,disproven,true,true,true,0.000091,0.001874,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__dc2__whole_output_cone__blind_cegis__0006,arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,dc2,5,2,disproven,disproven,true,true,true,0.000092,0.001206,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__dc2__whole_output_cone__blind_cegis__0007,arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,dc2,5,2,disproven,disproven,true,true,true,0.000084,0.001161,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__dc2__whole_output_cone__blind_cegis__0008,arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,dc2,5,2,disproven,disproven,true,true,true,0.000088,0.001846,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__identity__ground_truth_region__blind_cegis__0001,arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,identity,5,2,disproven,disproven,true,true,true,0.000120,0.001502,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__identity__ground_truth_region__blind_cegis__0002,arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,identity,5,2,disproven,disproven,true,true,true,0.000096,0.001434,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__identity__ground_truth_region__blind_cegis__0003,arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,identity,5,2,disproven,disproven,true,true,true,0.000081,0.001372,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__identity__ground_truth_region__blind_cegis__0004,arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,identity,5,2,disproven,disproven,true,true,true,0.000088,0.001493,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__identity__ground_truth_region__blind_cegis__0005,arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,identity,5,2,disproven,disproven,true,true,true,0.000081,0.001455,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__identity__ground_truth_region__blind_cegis__0006,arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,identity,5,2,disproven,disproven,true,true,true,0.000082,0.001520,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__identity__ground_truth_region__blind_cegis__0007,arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,identity,5,2,disproven,disproven,true,true,true,0.000125,0.001663,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__identity__ground_truth_region__blind_cegis__0008,arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,identity,5,2,disproven,disproven,true,true,true,0.000092,0.001491,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__identity__whole_output_cone__blind_cegis__0001,arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,identity,5,2,disproven,disproven,true,true,true,0.000127,0.001494,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__identity__whole_output_cone__blind_cegis__0002,arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,identity,5,2,disproven,disproven,true,true,true,0.000089,0.001393,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__identity__whole_output_cone__blind_cegis__0003,arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,identity,5,2,disproven,disproven,true,true,true,0.000081,0.001353,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__identity__whole_output_cone__blind_cegis__0004,arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,identity,5,2,disproven,disproven,true,true,true,0.000080,0.001475,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__identity__whole_output_cone__blind_cegis__0005,arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,identity,5,2,disproven,disproven,true,true,true,0.000079,0.001447,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__identity__whole_output_cone__blind_cegis__0006,arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,identity,5,2,disproven,disproven,true,true,true,0.000087,0.001488,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__identity__whole_output_cone__blind_cegis__0007,arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,identity,5,2,disproven,disproven,true,true,true,0.000083,0.001453,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__identity__whole_output_cone__blind_cegis__0008,arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,identity,5,2,disproven,disproven,true,true,true,0.000089,0.001491,4.16.0,,z3_exhaustive_crosscheck_v1
arithmetic_affine_w2__refactor__whole_output_cone__blind_cegis__0001,arithmetic_affine_w2__refactor__whole_output_cone,arithmetic_affine_w2,refactor,5,2,disproven,disproven,true,true,true,0.000110,0.000941,4.16.0,,z3_exhaustive_crosscheck_v1
