mode,candidate_id,region_id,case_id,operator,width,formal_backend,proof_scope,formal_status,formal_evidence_level,solver_result,counterexample_available,counterexample_assignment,proof_runtime,timeout,unsupported_reason,schema_version
blind,bitmanip_sign_extend_w6__identity__ground_truth_region__blind_cegis__0069,bitmanip_sign_extend_w6__identity__ground_truth_region,bitmanip_sign_extend_w6,sign_extend,12,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.047493,false,,z3_cegis_proof_v1
blind,bitmanip_sign_extend_w6__identity__whole_output_cone__blind_cegis__0069,bitmanip_sign_extend_w6__identity__whole_output_cone,bitmanip_sign_extend_w6,sign_extend,12,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.047628,false,,z3_cegis_proof_v1
blind,bitmanip_sign_extend_w8__identity__ground_truth_region__blind_cegis__0069,bitmanip_sign_extend_w8__identity__ground_truth_region,bitmanip_sign_extend_w8,sign_extend,16,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.323383,false,,z3_cegis_proof_v1
blind,bitmanip_sign_extend_w8__identity__whole_output_cone__blind_cegis__0069,bitmanip_sign_extend_w8__identity__whole_output_cone,bitmanip_sign_extend_w8,sign_extend,16,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.321569,false,,z3_cegis_proof_v1
blind,bitmanip_zero_extend_w6__identity__ground_truth_region__blind_cegis__0003,bitmanip_zero_extend_w6__identity__ground_truth_region,bitmanip_zero_extend_w6,zero_extend,12,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.025323,false,,z3_cegis_proof_v1
blind,bitmanip_zero_extend_w6__identity__whole_output_cone__blind_cegis__0003,bitmanip_zero_extend_w6__identity__whole_output_cone,bitmanip_zero_extend_w6,zero_extend,12,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.025413,false,,z3_cegis_proof_v1
blind,bitmanip_zero_extend_w8__identity__ground_truth_region__blind_cegis__0003,bitmanip_zero_extend_w8__identity__ground_truth_region,bitmanip_zero_extend_w8,zero_extend,16,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.169619,false,,z3_cegis_proof_v1
blind,bitmanip_zero_extend_w8__identity__whole_output_cone__blind_cegis__0003,bitmanip_zero_extend_w8__identity__whole_output_cone,bitmanip_zero_extend_w8,zero_extend,16,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.167000,false,,z3_cegis_proof_v1
blind,arithmetic_affine_w2__balance__whole_output_cone__blind_cegis__0001,arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,affine,5,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.001182,false,,z3_cegis_proof_v1
blind,arithmetic_affine_w2__resyn__whole_output_cone__blind_cegis__0001,arithmetic_affine_w2__resyn__whole_output_cone,arithmetic_affine_w2,affine,5,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.000988,false,,z3_cegis_proof_v1
blind,arithmetic_affine_w2__rewrite__whole_output_cone__blind_cegis__0001,arithmetic_affine_w2__rewrite__whole_output_cone,arithmetic_affine_w2,affine,5,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.001059,false,,z3_cegis_proof_v1
blind,arithmetic_constant_multiply_w2__compress2rs__whole_output_cone__blind_cegis__0132,arithmetic_constant_multiply_w2__compress2rs__whole_output_cone,arithmetic_constant_multiply_w2,constant_multiply,4,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.002002,false,,z3_cegis_proof_v1
blind,arithmetic_constant_multiply_w2__identity__ground_truth_region__blind_cegis__0132,arithmetic_constant_multiply_w2__identity__ground_truth_region,arithmetic_constant_multiply_w2,constant_multiply,4,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.001425,false,,z3_cegis_proof_v1
blind,arithmetic_constant_multiply_w2__identity__whole_output_cone__blind_cegis__0132,arithmetic_constant_multiply_w2__identity__whole_output_cone,arithmetic_constant_multiply_w2,constant_multiply,4,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.001371,false,,z3_cegis_proof_v1
blind,arithmetic_constant_multiply_w2__resyn2__whole_output_cone__blind_cegis__0132,arithmetic_constant_multiply_w2__resyn2__whole_output_cone,arithmetic_constant_multiply_w2,constant_multiply,4,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.002203,false,,z3_cegis_proof_v1
blind,arithmetic_constant_multiply_w3__identity__ground_truth_region__blind_cegis__0007,arithmetic_constant_multiply_w3__identity__ground_truth_region,arithmetic_constant_multiply_w3,constant_multiply,5,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.003225,false,,z3_cegis_proof_v1
blind,arithmetic_constant_multiply_w3__identity__whole_output_cone__blind_cegis__0007,arithmetic_constant_multiply_w3__identity__whole_output_cone,arithmetic_constant_multiply_w3,constant_multiply,5,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.003082,false,,z3_cegis_proof_v1
blind,arithmetic_constant_multiply_w4__identity__ground_truth_region__blind_cegis__0007,arithmetic_constant_multiply_w4__identity__ground_truth_region,arithmetic_constant_multiply_w4,constant_multiply,6,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.006126,false,,z3_cegis_proof_v1
blind,arithmetic_constant_multiply_w4__identity__whole_output_cone__blind_cegis__0007,arithmetic_constant_multiply_w4__identity__whole_output_cone,arithmetic_constant_multiply_w4,constant_multiply,6,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.006083,false,,z3_cegis_proof_v1
blind,arithmetic_constant_multiply_w6__identity__ground_truth_region__blind_cegis__0007,arithmetic_constant_multiply_w6__identity__ground_truth_region,arithmetic_constant_multiply_w6,constant_multiply,8,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.032872,false,,z3_cegis_proof_v1
blind,arithmetic_constant_multiply_w6__identity__whole_output_cone__blind_cegis__0007,arithmetic_constant_multiply_w6__identity__whole_output_cone,arithmetic_constant_multiply_w6,constant_multiply,8,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.031684,false,,z3_cegis_proof_v1
blind,arithmetic_constant_multiply_w8__identity__ground_truth_region__blind_cegis__0007,arithmetic_constant_multiply_w8__identity__ground_truth_region,arithmetic_constant_multiply_w8,constant_multiply,10,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.198099,false,,z3_cegis_proof_v1
blind,arithmetic_constant_multiply_w8__identity__whole_output_cone__blind_cegis__0007,arithmetic_constant_multiply_w8__identity__whole_output_cone,arithmetic_constant_multiply_w8,constant_multiply,10,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.202603,false,,z3_cegis_proof_v1
oracle_bus,bitmanip_sign_extend_w6__identity__ground_truth_region__blind_cegis__0069,bitmanip_sign_extend_w6__identity__ground_truth_region,bitmanip_sign_extend_w6,sign_extend,12,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.047314,false,,z3_cegis_proof_v1
oracle_bus,bitmanip_sign_extend_w6__identity__whole_output_cone__blind_cegis__0069,bitmanip_sign_extend_w6__identity__whole_output_cone,bitmanip_sign_extend_w6,sign_extend,12,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.047615,false,,z3_cegis_proof_v1
oracle_bus,bitmanip_sign_extend_w8__identity__ground_truth_region__blind_cegis__0069,bitmanip_sign_extend_w8__identity__ground_truth_region,bitmanip_sign_extend_w8,sign_extend,16,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.317851,false,,z3_cegis_proof_v1
oracle_bus,bitmanip_sign_extend_w8__identity__whole_output_cone__blind_cegis__0069,bitmanip_sign_extend_w8__identity__whole_output_cone,bitmanip_sign_extend_w8,sign_extend,16,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.321870,false,,z3_cegis_proof_v1
oracle_bus,bitmanip_zero_extend_w6__identity__ground_truth_region__blind_cegis__0003,bitmanip_zero_extend_w6__identity__ground_truth_region,bitmanip_zero_extend_w6,zero_extend,12,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.025796,false,,z3_cegis_proof_v1
oracle_bus,bitmanip_zero_extend_w6__identity__whole_output_cone__blind_cegis__0003,bitmanip_zero_extend_w6__identity__whole_output_cone,bitmanip_zero_extend_w6,zero_extend,12,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.025559,false,,z3_cegis_proof_v1
oracle_bus,bitmanip_zero_extend_w8__identity__ground_truth_region__blind_cegis__0003,bitmanip_zero_extend_w8__identity__ground_truth_region,bitmanip_zero_extend_w8,zero_extend,16,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.166954,false,,z3_cegis_proof_v1
oracle_bus,bitmanip_zero_extend_w8__identity__whole_output_cone__blind_cegis__0003,bitmanip_zero_extend_w8__identity__whole_output_cone,bitmanip_zero_extend_w8,zero_extend,16,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.168107,false,,z3_cegis_proof_v1
oracle_bus,arithmetic_affine_w2__balance__whole_output_cone__blind_cegis__0001,arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,affine,5,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.001096,false,,z3_cegis_proof_v1
oracle_bus,arithmetic_affine_w2__resyn__whole_output_cone__blind_cegis__0001,arithmetic_affine_w2__resyn__whole_output_cone,arithmetic_affine_w2,affine,5,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.000947,false,,z3_cegis_proof_v1
oracle_bus,arithmetic_affine_w2__rewrite__whole_output_cone__blind_cegis__0001,arithmetic_affine_w2__rewrite__whole_output_cone,arithmetic_affine_w2,affine,5,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.001005,false,,z3_cegis_proof_v1
