mode,width,regions_attempted,regions_recovered,iterations,counterexamples,schema_version
blind,10,2,2,4,2,z3_grouped_recovery_v1
blind,11,2,0,4,2,z3_grouped_recovery_v1
blind,12,4,4,10,6,z3_grouped_recovery_v1
blind,16,4,4,9,5,z3_grouped_recovery_v1
blind,4,12,4,42,30,z3_grouped_recovery_v1
blind,5,22,5,51,29,z3_grouped_recovery_v1
blind,6,20,2,47,27,z3_grouped_recovery_v1
blind,7,10,0,20,10,z3_grouped_recovery_v1
blind,8,2,2,4,2,z3_grouped_recovery_v1
blind,9,2,0,4,2,z3_grouped_recovery_v1
oracle_bus,10,2,2,4,2,z3_grouped_recovery_v1
oracle_bus,11,2,0,4,2,z3_grouped_recovery_v1
oracle_bus,12,4,4,9,5,z3_grouped_recovery_v1
oracle_bus,16,4,4,9,5,z3_grouped_recovery_v1
oracle_bus,4,12,4,32,20,z3_grouped_recovery_v1
oracle_bus,5,22,5,51,29,z3_grouped_recovery_v1
oracle_bus,6,20,2,47,27,z3_grouped_recovery_v1
oracle_bus,7,10,0,20,10,z3_grouped_recovery_v1
oracle_bus,8,2,2,4,2,z3_grouped_recovery_v1
oracle_bus,9,2,0,4,2,z3_grouped_recovery_v1
