case_id,benchmark,optimization,anchor_mode,spec_fingerprint,impl_fingerprint,spec_node_count,impl_node_count,primary_input_names_match,primary_output_names_match,alignment_valid,alignment_failure_reason
generated_adder_4|adder_bit1_carry_sum_region|balance|exact_only,generated_adder_4,balance,exact_only,03f736c6098afbdb,03f736c6098afbdb,45,45,True,True,True,valid
generated_adder_4|adder_bit1_carry_sum_region|balance|formal_all,generated_adder_4,balance,formal_all,03f736c6098afbdb,03f736c6098afbdb,45,45,True,True,True,valid
generated_adder_4|adder_bit1_carry_sum_region|dc2|exact_only,generated_adder_4,dc2,exact_only,03f736c6098afbdb,65283a1bb7b62b5d,45,37,True,True,True,valid
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all,generated_adder_4,dc2,formal_all,03f736c6098afbdb,65283a1bb7b62b5d,45,37,True,True,True,valid
generated_adder_4|adder_bit1_carry_sum_region|resyn2|exact_only,generated_adder_4,resyn2,exact_only,03f736c6098afbdb,65283a1bb7b62b5d,45,37,True,True,True,valid
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all,generated_adder_4,resyn2,formal_all,03f736c6098afbdb,65283a1bb7b62b5d,45,37,True,True,True,valid
generated_adder_4|adder_bit1_carry_sum_region|rewrite|exact_only,generated_adder_4,rewrite,exact_only,03f736c6098afbdb,6a00fdd0b155026c,45,42,True,True,True,valid
generated_adder_4|adder_bit1_carry_sum_region|rewrite|formal_all,generated_adder_4,rewrite,formal_all,03f736c6098afbdb,6a00fdd0b155026c,45,42,True,True,True,valid
generated_multiplier_2|multiplier_middle_products|balance|exact_only,generated_multiplier_2,balance,exact_only,f0873233d63c9a86,f0873233d63c9a86,16,16,True,True,True,valid
generated_multiplier_2|multiplier_middle_products|balance|formal_all,generated_multiplier_2,balance,formal_all,f0873233d63c9a86,f0873233d63c9a86,16,16,True,True,True,valid
generated_multiplier_2|multiplier_middle_products|dc2|exact_only,generated_multiplier_2,dc2,exact_only,f0873233d63c9a86,a6b73e2c2451da45,16,12,True,True,True,valid
generated_multiplier_2|multiplier_middle_products|dc2|formal_all,generated_multiplier_2,dc2,formal_all,f0873233d63c9a86,a6b73e2c2451da45,16,12,True,True,True,valid
generated_multiplier_2|multiplier_middle_products|resyn2|exact_only,generated_multiplier_2,resyn2,exact_only,f0873233d63c9a86,da0e0a0362db243d,16,12,True,True,True,valid
generated_multiplier_2|multiplier_middle_products|resyn2|formal_all,generated_multiplier_2,resyn2,formal_all,f0873233d63c9a86,da0e0a0362db243d,16,12,True,True,True,valid
generated_multiplier_2|multiplier_middle_products|rewrite|exact_only,generated_multiplier_2,rewrite,exact_only,f0873233d63c9a86,da30f6dcaa1b2816,16,13,True,True,True,valid
generated_multiplier_2|multiplier_middle_products|rewrite|formal_all,generated_multiplier_2,rewrite,formal_all,f0873233d63c9a86,da30f6dcaa1b2816,16,13,True,True,True,valid
generated_mux_tree_4|mux_tree_root|balance|exact_only,generated_mux_tree_4,balance,exact_only,f90bc1380951ccfb,40aa50fd914dff08,15,15,True,True,True,valid
generated_mux_tree_4|mux_tree_root|balance|formal_all,generated_mux_tree_4,balance,formal_all,f90bc1380951ccfb,40aa50fd914dff08,15,15,True,True,True,valid
generated_mux_tree_4|mux_tree_root|dc2|exact_only,generated_mux_tree_4,dc2,exact_only,f90bc1380951ccfb,1020b3c26f18d47c,15,15,True,True,True,valid
generated_mux_tree_4|mux_tree_root|dc2|formal_all,generated_mux_tree_4,dc2,formal_all,f90bc1380951ccfb,1020b3c26f18d47c,15,15,True,True,True,valid
generated_mux_tree_4|mux_tree_root|resyn2|exact_only,generated_mux_tree_4,resyn2,exact_only,f90bc1380951ccfb,5f8f71652a73a42c,15,15,True,True,True,valid
generated_mux_tree_4|mux_tree_root|resyn2|formal_all,generated_mux_tree_4,resyn2,formal_all,f90bc1380951ccfb,5f8f71652a73a42c,15,15,True,True,True,valid
generated_mux_tree_4|mux_tree_root|rewrite|exact_only,generated_mux_tree_4,rewrite,exact_only,f90bc1380951ccfb,40aa50fd914dff08,15,15,True,True,True,valid
generated_mux_tree_4|mux_tree_root|rewrite|formal_all,generated_mux_tree_4,rewrite,formal_all,f90bc1380951ccfb,40aa50fd914dff08,15,15,True,True,True,valid
generated_mux_tree_8|mux_tree_upper_root|balance|exact_only,generated_mux_tree_8,balance,exact_only,89bb8a5dc0046e25,3ed09c7328115b6e,32,32,True,True,True,valid
generated_mux_tree_8|mux_tree_upper_root|balance|formal_all,generated_mux_tree_8,balance,formal_all,89bb8a5dc0046e25,3ed09c7328115b6e,32,32,True,True,True,valid
generated_mux_tree_8|mux_tree_upper_root|dc2|exact_only,generated_mux_tree_8,dc2,exact_only,89bb8a5dc0046e25,977eb52bbba47340,32,32,True,True,True,valid
generated_mux_tree_8|mux_tree_upper_root|dc2|formal_all,generated_mux_tree_8,dc2,formal_all,89bb8a5dc0046e25,977eb52bbba47340,32,32,True,True,True,valid
generated_mux_tree_8|mux_tree_upper_root|resyn2|exact_only,generated_mux_tree_8,resyn2,exact_only,89bb8a5dc0046e25,4fe5c74c82c89047,32,32,True,True,True,valid
generated_mux_tree_8|mux_tree_upper_root|resyn2|formal_all,generated_mux_tree_8,resyn2,formal_all,89bb8a5dc0046e25,4fe5c74c82c89047,32,32,True,True,True,valid
generated_mux_tree_8|mux_tree_upper_root|rewrite|exact_only,generated_mux_tree_8,rewrite,exact_only,89bb8a5dc0046e25,3ed09c7328115b6e,32,32,True,True,True,valid
generated_mux_tree_8|mux_tree_upper_root|rewrite|formal_all,generated_mux_tree_8,rewrite,formal_all,89bb8a5dc0046e25,3ed09c7328115b6e,32,32,True,True,True,valid
