case_id,benchmark,coi_name,optimization,anchor_mode,global_spec_node_count,global_formally_anchored_spec_nodes,global_anchor_density,coi_node_count,coi_anchored_node_count,coi_anchor_density,bi_tfi_union_node_count,bi_tfi_anchored_node_count,bi_tfi_anchor_density,bo_tfo_union_node_count,bo_tfo_anchored_node_count,bo_tfo_anchor_density,ebo_tfi_relevant_node_count,ebo_tfi_anchored_node_count,ebo_tfi_anchor_density,exact_anchor_count_global,complemented_anchor_count_global,sat_cec_anchor_count_global,exact_anchor_count_relevant,complemented_anchor_count_relevant,sat_cec_anchor_count_relevant,formal_all_added_global_anchors,formal_all_added_relevant_anchors,formal_all_added_tfi_anchors,formal_all_added_tfo_anchors,formal_all_added_cut_candidate_anchors,bi_anchor_distance_min,bi_anchor_distance_mean,bi_anchor_distance_max,bo_anchor_distance_min,bo_anchor_distance_mean,bo_anchor_distance_max,boundary_inputs_with_no_reachable_anchor,boundary_outputs_with_no_reachable_anchor
generated_adder_4|adder_bit1_carry_sum_region|balance|exact_only,generated_adder_4,adder_bit1_carry_sum_region,balance,exact_only,45,45,1.0,7,7,1.0,5,5,1.0,16,16,1.0,17,17,1.0,45,0,0,29,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_adder_4|adder_bit1_carry_sum_region|balance|formal_all,generated_adder_4,adder_bit1_carry_sum_region,balance,formal_all,45,45,1.0,7,7,1.0,5,5,1.0,16,16,1.0,17,17,1.0,45,0,0,29,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_adder_4|adder_bit1_carry_sum_region|dc2|exact_only,generated_adder_4,adder_bit1_carry_sum_region,dc2,exact_only,45,25,0.5555555555555556,7,4,0.5714285714285714,5,5,1.0,16,10,0.625,17,9,0.5294117647058824,25,0,0,17,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all,generated_adder_4,adder_bit1_carry_sum_region,dc2,formal_all,45,25,0.5555555555555556,7,4,0.5714285714285714,5,5,1.0,16,10,0.625,17,9,0.5294117647058824,25,0,0,17,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_adder_4|adder_bit1_carry_sum_region|resyn2|exact_only,generated_adder_4,adder_bit1_carry_sum_region,resyn2,exact_only,45,25,0.5555555555555556,7,4,0.5714285714285714,5,5,1.0,16,10,0.625,17,9,0.5294117647058824,25,0,0,17,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all,generated_adder_4,adder_bit1_carry_sum_region,resyn2,formal_all,45,25,0.5555555555555556,7,4,0.5714285714285714,5,5,1.0,16,10,0.625,17,9,0.5294117647058824,25,0,0,17,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_adder_4|adder_bit1_carry_sum_region|rewrite|exact_only,generated_adder_4,adder_bit1_carry_sum_region,rewrite,exact_only,45,39,0.8666666666666667,7,5,0.7142857142857143,5,5,1.0,16,10,0.625,17,15,0.8823529411764706,39,0,0,23,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_adder_4|adder_bit1_carry_sum_region|rewrite|formal_all,generated_adder_4,adder_bit1_carry_sum_region,rewrite,formal_all,45,39,0.8666666666666667,7,5,0.7142857142857143,5,5,1.0,16,10,0.625,17,15,0.8823529411764706,39,0,0,23,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_multiplier_2|multiplier_middle_products|balance|exact_only,generated_multiplier_2,multiplier_middle_products,balance,exact_only,16,16,1.0,5,5,1.0,4,4,1.0,1,1,1.0,9,9,1.0,16,0,0,9,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_multiplier_2|multiplier_middle_products|balance|formal_all,generated_multiplier_2,multiplier_middle_products,balance,formal_all,16,16,1.0,5,5,1.0,4,4,1.0,1,1,1.0,9,9,1.0,16,0,0,9,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_multiplier_2|multiplier_middle_products|dc2|exact_only,generated_multiplier_2,multiplier_middle_products,dc2,exact_only,16,10,0.625,5,3,0.6,4,4,1.0,1,1,1.0,9,7,0.7777777777777778,10,0,0,7,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_multiplier_2|multiplier_middle_products|dc2|formal_all,generated_multiplier_2,multiplier_middle_products,dc2,formal_all,16,10,0.625,5,3,0.6,4,4,1.0,1,1,1.0,9,7,0.7777777777777778,10,0,0,7,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_multiplier_2|multiplier_middle_products|resyn2|exact_only,generated_multiplier_2,multiplier_middle_products,resyn2,exact_only,16,11,0.6875,5,3,0.6,4,4,1.0,1,1,1.0,9,7,0.7777777777777778,11,0,0,7,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_multiplier_2|multiplier_middle_products|resyn2|formal_all,generated_multiplier_2,multiplier_middle_products,resyn2,formal_all,16,11,0.6875,5,3,0.6,4,4,1.0,1,1,1.0,9,7,0.7777777777777778,11,0,0,7,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_multiplier_2|multiplier_middle_products|rewrite|exact_only,generated_multiplier_2,multiplier_middle_products,rewrite,exact_only,16,13,0.8125,5,5,1.0,4,4,1.0,1,1,1.0,9,9,1.0,13,0,0,9,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_multiplier_2|multiplier_middle_products|rewrite|formal_all,generated_multiplier_2,multiplier_middle_products,rewrite,formal_all,16,13,0.8125,5,5,1.0,4,4,1.0,1,1,1.0,9,9,1.0,13,0,0,9,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_mux_tree_4|mux_tree_root|balance|exact_only,generated_mux_tree_4,mux_tree_root,balance,exact_only,15,15,1.0,3,3,1.0,12,12,1.0,1,1,1.0,15,15,1.0,15,0,0,15,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_mux_tree_4|mux_tree_root|balance|formal_all,generated_mux_tree_4,mux_tree_root,balance,formal_all,15,15,1.0,3,3,1.0,12,12,1.0,1,1,1.0,15,15,1.0,15,0,0,15,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_mux_tree_4|mux_tree_root|dc2|exact_only,generated_mux_tree_4,mux_tree_root,dc2,exact_only,15,12,0.8,3,1,0.3333333333333333,12,11,0.9166666666666666,1,1,1.0,15,12,0.8,12,0,0,12,0,0,0,0,0,0,0,0,0.3333333333333333,1,0,0.0,0,0,0
generated_mux_tree_4|mux_tree_root|dc2|formal_all,generated_mux_tree_4,mux_tree_root,dc2,formal_all,15,12,0.8,3,1,0.3333333333333333,12,11,0.9166666666666666,1,1,1.0,15,12,0.8,12,0,0,12,0,0,0,0,0,0,0,0,0.3333333333333333,1,0,0.0,0,0,0
generated_mux_tree_4|mux_tree_root|resyn2|exact_only,generated_mux_tree_4,mux_tree_root,resyn2,exact_only,15,7,0.4666666666666667,3,1,0.3333333333333333,12,6,0.5,1,1,1.0,15,7,0.4666666666666667,7,0,0,7,0,0,0,0,0,0,0,0,1.3333333333333333,2,0,0.0,0,0,0
generated_mux_tree_4|mux_tree_root|resyn2|formal_all,generated_mux_tree_4,mux_tree_root,resyn2,formal_all,15,7,0.4666666666666667,3,1,0.3333333333333333,12,6,0.5,1,1,1.0,15,7,0.4666666666666667,7,0,0,7,0,0,0,0,0,0,0,0,1.3333333333333333,2,0,0.0,0,0,0
generated_mux_tree_4|mux_tree_root|rewrite|exact_only,generated_mux_tree_4,mux_tree_root,rewrite,exact_only,15,15,1.0,3,3,1.0,12,12,1.0,1,1,1.0,15,15,1.0,15,0,0,15,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_mux_tree_4|mux_tree_root|rewrite|formal_all,generated_mux_tree_4,mux_tree_root,rewrite,formal_all,15,15,1.0,3,3,1.0,12,12,1.0,1,1,1.0,15,15,1.0,15,0,0,15,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_mux_tree_8|mux_tree_upper_root|balance|exact_only,generated_mux_tree_8,mux_tree_upper_root,balance,exact_only,32,32,1.0,4,4,1.0,9,9,1.0,1,1,1.0,32,32,1.0,32,0,0,32,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_mux_tree_8|mux_tree_upper_root|balance|formal_all,generated_mux_tree_8,mux_tree_upper_root,balance,formal_all,32,32,1.0,4,4,1.0,9,9,1.0,1,1,1.0,32,32,1.0,32,0,0,32,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_mux_tree_8|mux_tree_upper_root|dc2|exact_only,generated_mux_tree_8,mux_tree_upper_root,dc2,exact_only,32,12,0.375,4,1,0.25,9,5,0.5555555555555556,1,1,1.0,32,12,0.375,12,0,0,12,0,0,0,0,0,0,0,0,1.0,2,0,0.0,0,0,0
generated_mux_tree_8|mux_tree_upper_root|dc2|formal_all,generated_mux_tree_8,mux_tree_upper_root,dc2,formal_all,32,12,0.375,4,1,0.25,9,5,0.5555555555555556,1,1,1.0,32,12,0.375,12,0,0,12,0,0,0,0,0,0,0,0,1.0,2,0,0.0,0,0,0
generated_mux_tree_8|mux_tree_upper_root|resyn2|exact_only,generated_mux_tree_8,mux_tree_upper_root,resyn2,exact_only,32,20,0.625,4,1,0.25,9,7,0.7777777777777778,1,1,1.0,32,20,0.625,20,0,0,20,0,0,0,0,0,0,0,0,0.6666666666666666,1,0,0.0,0,0,0
generated_mux_tree_8|mux_tree_upper_root|resyn2|formal_all,generated_mux_tree_8,mux_tree_upper_root,resyn2,formal_all,32,20,0.625,4,1,0.25,9,7,0.7777777777777778,1,1,1.0,32,20,0.625,20,0,0,20,0,0,0,0,0,0,0,0,0.6666666666666666,1,0,0.0,0,0,0
generated_mux_tree_8|mux_tree_upper_root|rewrite|exact_only,generated_mux_tree_8,mux_tree_upper_root,rewrite,exact_only,32,32,1.0,4,4,1.0,9,9,1.0,1,1,1.0,32,32,1.0,32,0,0,32,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
generated_mux_tree_8|mux_tree_upper_root|rewrite|formal_all,generated_mux_tree_8,mux_tree_upper_root,rewrite,formal_all,32,32,1.0,4,4,1.0,9,9,1.0,1,1,1.0,32,32,1.0,32,0,0,32,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
