case_id,benchmark,coi_name,optimization,exact_only_success,formal_all_success,success_delta,exact_only_extension,formal_all_extension,extension_delta,exact_only_relevant_anchor_count,formal_all_relevant_anchor_count,relevant_anchor_delta,exact_only_ebi_count,formal_all_ebi_count,exact_only_ebo_count,formal_all_ebo_count,selected_sat_cec_anchor_count,available_but_unselected_sat_cec_anchor_count,formal_all_added_relevant_anchors,formal_all_added_cut_candidate_anchors,differential_classification
external_iscas85_c2670|critical_path_seed_region|balance,external_iscas85_c2670,critical_path_seed_region,balance,False,False,0,,,0.0,,,0,,,,,0,,0,0,no_extra_formal_anchors
external_iscas85_c2670|critical_path_seed_region|dc2,external_iscas85_c2670,critical_path_seed_region,dc2,False,False,0,,,0.0,,,0,,,,,0,,0,0,no_extra_formal_anchors
external_iscas85_c2670|critical_path_seed_region|resyn2,external_iscas85_c2670,critical_path_seed_region,resyn2,False,False,0,,,0.0,,,0,,,,,0,,0,0,no_extra_formal_anchors
external_iscas85_c2670|critical_path_seed_region|rewrite,external_iscas85_c2670,critical_path_seed_region,rewrite,False,False,0,,,0.0,,,0,,,,,0,,0,0,no_extra_formal_anchors
external_iscas85_c432|manual_small_structural_region|balance,external_iscas85_c432,manual_small_structural_region,balance,False,False,0,,,0.0,,,0,,,,,0,,0,0,no_extra_formal_anchors
external_iscas85_c432|manual_small_structural_region|dc2,external_iscas85_c432,manual_small_structural_region,dc2,False,False,0,,,0.0,,,0,,,,,0,,0,0,no_extra_formal_anchors
external_iscas85_c432|manual_small_structural_region|resyn2,external_iscas85_c432,manual_small_structural_region,resyn2,False,False,0,,,0.0,,,0,,,,,0,,0,0,no_extra_formal_anchors
external_iscas85_c432|manual_small_structural_region|rewrite,external_iscas85_c432,manual_small_structural_region,rewrite,False,False,0,,,0.0,,,0,,,,,0,,0,0,no_extra_formal_anchors
generated_adder_4|adder_bit1_carry_sum_region|balance,generated_adder_4,adder_bit1_carry_sum_region,balance,False,False,0,0.0,0.0,0.0,45,45,0,9,9,2,2,0,0,0,0,no_extra_formal_anchors
generated_adder_4|adder_bit1_carry_sum_region|dc2,generated_adder_4,adder_bit1_carry_sum_region,dc2,False,False,0,0.0,0.0,0.0,25,25,0,7,7,2,2,0,0,0,0,no_extra_formal_anchors
generated_adder_4|adder_bit1_carry_sum_region|resyn2,generated_adder_4,adder_bit1_carry_sum_region,resyn2,False,False,0,0.0,0.0,0.0,25,25,0,7,7,2,2,0,0,0,0,no_extra_formal_anchors
generated_adder_4|adder_bit1_carry_sum_region|rewrite,generated_adder_4,adder_bit1_carry_sum_region,rewrite,False,False,0,0.0,0.0,0.0,39,39,0,8,8,2,2,0,0,0,0,no_extra_formal_anchors
generated_multiplier_2|multiplier_middle_products|balance,generated_multiplier_2,multiplier_middle_products,balance,False,False,0,0.0,0.0,0.0,16,16,0,6,6,1,1,0,0,0,0,no_extra_formal_anchors
generated_multiplier_2|multiplier_middle_products|dc2,generated_multiplier_2,multiplier_middle_products,dc2,False,False,0,0.0,0.0,0.0,10,10,0,6,6,1,1,0,0,0,0,no_extra_formal_anchors
generated_multiplier_2|multiplier_middle_products|resyn2,generated_multiplier_2,multiplier_middle_products,resyn2,False,False,0,0.0,0.0,0.0,11,11,0,6,6,1,1,0,0,0,0,no_extra_formal_anchors
generated_multiplier_2|multiplier_middle_products|rewrite,generated_multiplier_2,multiplier_middle_products,rewrite,False,False,0,0.0,0.0,0.0,13,13,0,6,6,1,1,0,0,0,0,no_extra_formal_anchors
generated_mux_tree_4|mux_tree_root|balance,generated_mux_tree_4,mux_tree_root,balance,True,True,0,0.0,0.0,0.0,15,15,0,5,5,1,1,0,0,0,0,no_extra_formal_anchors
generated_mux_tree_4|mux_tree_root|dc2,generated_mux_tree_4,mux_tree_root,dc2,True,True,0,0.16666666666666666,0.16666666666666666,0.0,12,12,0,4,4,1,1,0,0,0,0,no_extra_formal_anchors
generated_mux_tree_4|mux_tree_root|resyn2,generated_mux_tree_4,mux_tree_root,resyn2,False,False,0,1.0,1.0,0.0,7,7,0,6,6,1,1,0,0,0,0,no_extra_formal_anchors
generated_mux_tree_4|mux_tree_root|rewrite,generated_mux_tree_4,mux_tree_root,rewrite,True,True,0,0.0,0.0,0.0,15,15,0,5,5,1,1,0,0,0,0,no_extra_formal_anchors
generated_mux_tree_8|mux_tree_upper_root|balance,generated_mux_tree_8,mux_tree_upper_root,balance,False,False,0,0.0,0.0,0.0,32,32,0,5,5,1,1,0,0,0,0,no_extra_formal_anchors
generated_mux_tree_8|mux_tree_upper_root|dc2,generated_mux_tree_8,mux_tree_upper_root,dc2,False,False,0,1.0,1.0,0.0,12,12,0,11,11,1,1,0,0,0,0,no_extra_formal_anchors
generated_mux_tree_8|mux_tree_upper_root|resyn2,generated_mux_tree_8,mux_tree_upper_root,resyn2,True,True,0,0.5294117647058824,0.5294117647058824,0.0,20,20,0,10,10,1,1,0,0,0,0,no_extra_formal_anchors
generated_mux_tree_8|mux_tree_upper_root|rewrite,generated_mux_tree_8,mux_tree_upper_root,rewrite,False,False,0,0.0,0.0,0.0,32,32,0,5,5,1,1,0,0,0,0,no_extra_formal_anchors
