benchmark,coi_name,optimization,coi_source,coi_connected,coi_fanout_free_under_current_definition,boundary_inputs_valid,boundary_outputs_valid,all_external_input_paths_cross_bi,all_external_output_paths_cross_bo,coi_contains_internal_nodes,coi_is_whole_design,coi_valid,coi_invalid_reason
external_iscas85_c2670,critical_path_seed_region,balance,manual_case_study,False,False,False,False,False,False,True,False,False,missing_spec_circuit
external_iscas85_c2670,critical_path_seed_region,rewrite,manual_case_study,False,False,False,False,False,False,True,False,False,missing_spec_circuit
external_iscas85_c2670,critical_path_seed_region,resyn2,manual_case_study,False,False,False,False,False,False,True,False,False,missing_spec_circuit
external_iscas85_c2670,critical_path_seed_region,dc2,manual_case_study,False,False,False,False,False,False,True,False,False,missing_spec_circuit
external_iscas85_c432,manual_small_structural_region,balance,manual_case_study,False,False,False,False,False,False,True,False,False,missing_spec_circuit
external_iscas85_c432,manual_small_structural_region,rewrite,manual_case_study,False,False,False,False,False,False,True,False,False,missing_spec_circuit
external_iscas85_c432,manual_small_structural_region,resyn2,manual_case_study,False,False,False,False,False,False,True,False,False,missing_spec_circuit
external_iscas85_c432,manual_small_structural_region,dc2,manual_case_study,False,False,False,False,False,False,True,False,False,missing_spec_circuit
generated_adder_4,adder_bit1_carry_sum_region,balance,generated_ground_truth,True,False,True,True,True,False,True,False,False,valid
generated_adder_4,adder_bit1_carry_sum_region,rewrite,generated_ground_truth,True,False,True,True,True,False,True,False,False,valid
generated_adder_4,adder_bit1_carry_sum_region,resyn2,generated_ground_truth,True,False,True,True,True,False,True,False,False,valid
generated_adder_4,adder_bit1_carry_sum_region,dc2,generated_ground_truth,True,False,True,True,True,False,True,False,False,valid
generated_multiplier_2,multiplier_middle_products,balance,generated_ground_truth,True,False,True,True,True,False,True,False,False,valid
generated_multiplier_2,multiplier_middle_products,rewrite,generated_ground_truth,True,False,True,True,True,False,True,False,False,valid
generated_multiplier_2,multiplier_middle_products,resyn2,generated_ground_truth,True,False,True,True,True,False,True,False,False,valid
generated_multiplier_2,multiplier_middle_products,dc2,generated_ground_truth,True,False,True,True,True,False,True,False,False,valid
generated_mux_tree_4,mux_tree_root,balance,generated_ground_truth,True,True,True,True,True,True,True,False,True,valid
generated_mux_tree_4,mux_tree_root,rewrite,generated_ground_truth,True,True,True,True,True,True,True,False,True,valid
generated_mux_tree_4,mux_tree_root,resyn2,generated_ground_truth,True,True,True,True,True,True,True,False,True,valid
generated_mux_tree_4,mux_tree_root,dc2,generated_ground_truth,True,True,True,True,True,True,True,False,True,valid
generated_mux_tree_8,mux_tree_upper_root,balance,generated_ground_truth,True,True,True,True,False,True,True,False,False,valid
generated_mux_tree_8,mux_tree_upper_root,rewrite,generated_ground_truth,True,True,True,True,False,True,True,False,False,valid
generated_mux_tree_8,mux_tree_upper_root,resyn2,generated_ground_truth,True,True,True,True,False,True,True,False,False,valid
generated_mux_tree_8,mux_tree_upper_root,dc2,generated_ground_truth,True,True,True,True,False,True,True,False,False,valid
