case_id,benchmark,coi_name,optimization,anchor_mode,ebo_nodes,paths_to_ebo_count_or_proxy,paths_already_cut,uncut_path_count_or_proxy,completion_nodes_added,completion_anchor_categories,completion_success,completion_failure_reason
generated_adder_4|adder_bit1_carry_sum_region|balance|exact_only,generated_adder_4,adder_bit1_carry_sum_region,balance,exact_only,new_n26;sum1,2,0,0,4,exact_signature_match:4,True,valid
generated_adder_4|adder_bit1_carry_sum_region|balance|formal_all,generated_adder_4,adder_bit1_carry_sum_region,balance,formal_all,new_n26;sum1,2,0,0,4,exact_signature_match:4,True,valid
generated_adder_4|adder_bit1_carry_sum_region|dc2|exact_only,generated_adder_4,adder_bit1_carry_sum_region,dc2,exact_only,new_n26;sum1,2,0,0,2,exact_signature_match:2,True,valid
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all,generated_adder_4,adder_bit1_carry_sum_region,dc2,formal_all,new_n26;sum1,2,0,0,2,exact_signature_match:2,True,valid
generated_adder_4|adder_bit1_carry_sum_region|resyn2|exact_only,generated_adder_4,adder_bit1_carry_sum_region,resyn2,exact_only,new_n26;sum1,2,0,0,2,exact_signature_match:2,True,valid
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all,generated_adder_4,adder_bit1_carry_sum_region,resyn2,formal_all,new_n26;sum1,2,0,0,2,exact_signature_match:2,True,valid
generated_adder_4|adder_bit1_carry_sum_region|rewrite|exact_only,generated_adder_4,adder_bit1_carry_sum_region,rewrite,exact_only,new_n26;sum1,2,0,0,3,exact_signature_match:3,True,valid
generated_adder_4|adder_bit1_carry_sum_region|rewrite|formal_all,generated_adder_4,adder_bit1_carry_sum_region,rewrite,formal_all,new_n26;sum1,2,0,0,3,exact_signature_match:3,True,valid
generated_multiplier_2|multiplier_middle_products|balance|exact_only,generated_multiplier_2,multiplier_middle_products,balance,exact_only,p1,1,0,0,2,exact_signature_match:2,True,valid
generated_multiplier_2|multiplier_middle_products|balance|formal_all,generated_multiplier_2,multiplier_middle_products,balance,formal_all,p1,1,0,0,2,exact_signature_match:2,True,valid
generated_multiplier_2|multiplier_middle_products|dc2|exact_only,generated_multiplier_2,multiplier_middle_products,dc2,exact_only,p1,1,0,0,2,exact_signature_match:2,True,valid
generated_multiplier_2|multiplier_middle_products|dc2|formal_all,generated_multiplier_2,multiplier_middle_products,dc2,formal_all,p1,1,0,0,2,exact_signature_match:2,True,valid
generated_multiplier_2|multiplier_middle_products|resyn2|exact_only,generated_multiplier_2,multiplier_middle_products,resyn2,exact_only,p1,1,0,0,2,exact_signature_match:2,True,valid
generated_multiplier_2|multiplier_middle_products|resyn2|formal_all,generated_multiplier_2,multiplier_middle_products,resyn2,formal_all,p1,1,0,0,2,exact_signature_match:2,True,valid
generated_multiplier_2|multiplier_middle_products|rewrite|exact_only,generated_multiplier_2,multiplier_middle_products,rewrite,exact_only,p1,1,0,0,2,exact_signature_match:2,True,valid
generated_multiplier_2|multiplier_middle_products|rewrite|formal_all,generated_multiplier_2,multiplier_middle_products,rewrite,formal_all,p1,1,0,0,2,exact_signature_match:2,True,valid
