benchmark,coi_name,critical_path_node_overlap_count,optimization,successful_coi_overlaps_unresolved_path_nodes,unresolved_critical_path_node_overlap_count,unresolved_path_nodes_enclosed_by_valid_regions
external_iscas85_c2670,critical_path_seed_region,2,balance,False,0,0
external_iscas85_c2670,critical_path_seed_region,1,dc2,False,0,0
external_iscas85_c2670,critical_path_seed_region,0,resyn2,False,0,0
external_iscas85_c2670,critical_path_seed_region,1,rewrite,False,0,0
external_iscas85_c432,manual_small_structural_region,1,balance,False,0,0
external_iscas85_c432,manual_small_structural_region,0,dc2,False,0,0
external_iscas85_c432,manual_small_structural_region,0,resyn2,False,0,0
external_iscas85_c432,manual_small_structural_region,0,rewrite,False,0,0
generated_adder_4,adder_bit1_carry_sum_region,0,balance,False,0,0
generated_adder_4,adder_bit1_carry_sum_region,0,dc2,False,0,0
generated_adder_4,adder_bit1_carry_sum_region,0,resyn2,False,0,0
generated_adder_4,adder_bit1_carry_sum_region,0,rewrite,False,0,0
generated_multiplier_2,multiplier_middle_products,0,balance,False,0,0
generated_multiplier_2,multiplier_middle_products,0,dc2,False,0,0
generated_multiplier_2,multiplier_middle_products,0,resyn2,False,0,0
generated_multiplier_2,multiplier_middle_products,0,rewrite,False,0,0
generated_mux_tree_4,mux_tree_root,0,balance,False,0,0
generated_mux_tree_4,mux_tree_root,0,dc2,False,0,0
generated_mux_tree_4,mux_tree_root,0,resyn2,False,0,0
generated_mux_tree_4,mux_tree_root,0,rewrite,False,0,0
generated_mux_tree_8,mux_tree_upper_root,0,balance,False,0,0
generated_mux_tree_8,mux_tree_upper_root,0,dc2,False,0,0
generated_mux_tree_8,mux_tree_upper_root,0,resyn2,False,0,0
generated_mux_tree_8,mux_tree_upper_root,0,rewrite,False,0,0
