case_id,benchmark,benchmark_family,coi_name,optimization,anchor_mode,coi_source,failure_stage,failure_reason,failure_detail,last_successful_stage,recovery_success,validation_status,spec_path,impl_path,spec_node_count,impl_node_count,coi_node_count,extended_region_node_count,boundary_extension_ratio,original_bi_count,original_bo_count,extended_bi_count,extended_bo_count,selected_anchor_count,selected_sat_cec_anchor_count,available_but_unselected_sat_cec_anchor_count,cycle_conflict_count,whole_design_expansion,input_boundary_distance,output_boundary_distance,mean_anchor_distance,max_anchor_distance,runtime_seconds,extended_boundary_inputs,extended_boundary_outputs,region_nodes
external_iscas85_c2670|critical_path_seed_region|balance|exact_only,external_iscas85_c2670,iscas85,critical_path_seed_region,balance,exact_only,manual_case_study,load_inputs,missing_spec_circuit,variants/external_iscas85_c2670_original.blif,,False,missing_spec_circuit,variants/external_iscas85_c2670_original.blif,variants/external_iscas85_c2670_balance.blif,,,,,,,,,,,,,,,,,,,6.616697646677494e-05,,,
external_iscas85_c2670|critical_path_seed_region|balance|formal_all,external_iscas85_c2670,iscas85,critical_path_seed_region,balance,formal_all,manual_case_study,load_inputs,missing_spec_circuit,variants/external_iscas85_c2670_original.blif,,False,missing_spec_circuit,variants/external_iscas85_c2670_original.blif,variants/external_iscas85_c2670_balance.blif,,,,,,,,,,,,,,,,,,,5.012494511902332e-05,,,
external_iscas85_c2670|critical_path_seed_region|dc2|exact_only,external_iscas85_c2670,iscas85,critical_path_seed_region,dc2,exact_only,manual_case_study,load_inputs,missing_spec_circuit,variants/external_iscas85_c2670_original.blif,,False,missing_spec_circuit,variants/external_iscas85_c2670_original.blif,variants/external_iscas85_c2670_dc2.blif,,,,,,,,,,,,,,,,,,,4.4416869059205055e-05,,,
external_iscas85_c2670|critical_path_seed_region|dc2|formal_all,external_iscas85_c2670,iscas85,critical_path_seed_region,dc2,formal_all,manual_case_study,load_inputs,missing_spec_circuit,variants/external_iscas85_c2670_original.blif,,False,missing_spec_circuit,variants/external_iscas85_c2670_original.blif,variants/external_iscas85_c2670_dc2.blif,,,,,,,,,,,,,,,,,,,4.158308729529381e-05,,,
external_iscas85_c2670|critical_path_seed_region|resyn2|exact_only,external_iscas85_c2670,iscas85,critical_path_seed_region,resyn2,exact_only,manual_case_study,load_inputs,missing_spec_circuit,variants/external_iscas85_c2670_original.blif,,False,missing_spec_circuit,variants/external_iscas85_c2670_original.blif,variants/external_iscas85_c2670_resyn2.blif,,,,,,,,,,,,,,,,,,,4.5625027269124985e-05,,,
external_iscas85_c2670|critical_path_seed_region|resyn2|formal_all,external_iscas85_c2670,iscas85,critical_path_seed_region,resyn2,formal_all,manual_case_study,load_inputs,missing_spec_circuit,variants/external_iscas85_c2670_original.blif,,False,missing_spec_circuit,variants/external_iscas85_c2670_original.blif,variants/external_iscas85_c2670_resyn2.blif,,,,,,,,,,,,,,,,,,,4.14170790463686e-05,,,
external_iscas85_c2670|critical_path_seed_region|rewrite|exact_only,external_iscas85_c2670,iscas85,critical_path_seed_region,rewrite,exact_only,manual_case_study,load_inputs,missing_spec_circuit,variants/external_iscas85_c2670_original.blif,,False,missing_spec_circuit,variants/external_iscas85_c2670_original.blif,variants/external_iscas85_c2670_rewrite.blif,,,,,,,,,,,,,,,,,,,6.724987179040909e-05,,,
external_iscas85_c2670|critical_path_seed_region|rewrite|formal_all,external_iscas85_c2670,iscas85,critical_path_seed_region,rewrite,formal_all,manual_case_study,load_inputs,missing_spec_circuit,variants/external_iscas85_c2670_original.blif,,False,missing_spec_circuit,variants/external_iscas85_c2670_original.blif,variants/external_iscas85_c2670_rewrite.blif,,,,,,,,,,,,,,,,,,,4.691700451076031e-05,,,
external_iscas85_c432|manual_small_structural_region|balance|exact_only,external_iscas85_c432,iscas85,manual_small_structural_region,balance,exact_only,manual_case_study,load_inputs,missing_spec_circuit,variants/external_iscas85_c432_original.blif,,False,missing_spec_circuit,variants/external_iscas85_c432_original.blif,variants/external_iscas85_c432_balance.blif,,,,,,,,,,,,,,,,,,,4.21660952270031e-05,,,
external_iscas85_c432|manual_small_structural_region|balance|formal_all,external_iscas85_c432,iscas85,manual_small_structural_region,balance,formal_all,manual_case_study,load_inputs,missing_spec_circuit,variants/external_iscas85_c432_original.blif,,False,missing_spec_circuit,variants/external_iscas85_c432_original.blif,variants/external_iscas85_c432_balance.blif,,,,,,,,,,,,,,,,,,,4.045804962515831e-05,,,
external_iscas85_c432|manual_small_structural_region|dc2|exact_only,external_iscas85_c432,iscas85,manual_small_structural_region,dc2,exact_only,manual_case_study,load_inputs,missing_spec_circuit,variants/external_iscas85_c432_original.blif,,False,missing_spec_circuit,variants/external_iscas85_c432_original.blif,variants/external_iscas85_c432_dc2.blif,,,,,,,,,,,,,,,,,,,4.404108040034771e-05,,,
external_iscas85_c432|manual_small_structural_region|dc2|formal_all,external_iscas85_c432,iscas85,manual_small_structural_region,dc2,formal_all,manual_case_study,load_inputs,missing_spec_circuit,variants/external_iscas85_c432_original.blif,,False,missing_spec_circuit,variants/external_iscas85_c432_original.blif,variants/external_iscas85_c432_dc2.blif,,,,,,,,,,,,,,,,,,,4.0499959141016006e-05,,,
external_iscas85_c432|manual_small_structural_region|resyn2|exact_only,external_iscas85_c432,iscas85,manual_small_structural_region,resyn2,exact_only,manual_case_study,load_inputs,missing_spec_circuit,variants/external_iscas85_c432_original.blif,,False,missing_spec_circuit,variants/external_iscas85_c432_original.blif,variants/external_iscas85_c432_resyn2.blif,,,,,,,,,,,,,,,,,,,4.124990664422512e-05,,,
external_iscas85_c432|manual_small_structural_region|resyn2|formal_all,external_iscas85_c432,iscas85,manual_small_structural_region,resyn2,formal_all,manual_case_study,load_inputs,missing_spec_circuit,variants/external_iscas85_c432_original.blif,,False,missing_spec_circuit,variants/external_iscas85_c432_original.blif,variants/external_iscas85_c432_resyn2.blif,,,,,,,,,,,,,,,,,,,4.03339508920908e-05,,,
external_iscas85_c432|manual_small_structural_region|rewrite|exact_only,external_iscas85_c432,iscas85,manual_small_structural_region,rewrite,exact_only,manual_case_study,load_inputs,missing_spec_circuit,variants/external_iscas85_c432_original.blif,,False,missing_spec_circuit,variants/external_iscas85_c432_original.blif,variants/external_iscas85_c432_rewrite.blif,,,,,,,,,,,,,,,,,,,4.0457816794514656e-05,,,
external_iscas85_c432|manual_small_structural_region|rewrite|formal_all,external_iscas85_c432,iscas85,manual_small_structural_region,rewrite,formal_all,manual_case_study,load_inputs,missing_spec_circuit,variants/external_iscas85_c432_original.blif,,False,missing_spec_circuit,variants/external_iscas85_c432_original.blif,variants/external_iscas85_c432_rewrite.blif,,,,,,,,,,,,,,,,,,,3.89590859413147e-05,,,
generated_adder_4|adder_bit1_carry_sum_region|balance|exact_only,generated_adder_4,generated,adder_bit1_carry_sum_region,balance,exact_only,generated_ground_truth,extract_region,region_not_enclosed,COI nodes are not enclosed by recovered region,detect_cycles,False,disconnected_region,variants/generated_adder_4_original.blif,variants/generated_adder_4_balance.blif,36,36,7,2,0.0,5,2,9,2,11,0,0,0,False,0,0,0.0,0,2.4293325000908226,a0;a1;b0;b1;cin;new_n24;new_n25;new_n27;new_n28,new_n26;sum1,new_n26;sum1
generated_adder_4|adder_bit1_carry_sum_region|balance|formal_all,generated_adder_4,generated,adder_bit1_carry_sum_region,balance,formal_all,generated_ground_truth,extract_region,region_not_enclosed,COI nodes are not enclosed by recovered region,detect_cycles,False,disconnected_region,variants/generated_adder_4_original.blif,variants/generated_adder_4_balance.blif,36,36,7,2,0.0,5,2,9,2,11,0,0,0,False,0,0,0.0,0,0.142169333063066,a0;a1;b0;b1;cin;new_n24;new_n25;new_n27;new_n28,new_n26;sum1,new_n26;sum1
generated_adder_4|adder_bit1_carry_sum_region|dc2|exact_only,generated_adder_4,generated,adder_bit1_carry_sum_region,dc2,exact_only,generated_ground_truth,validate_cuts,incomplete_ebo_cut,not every fanout path from 'new_n23' crosses EBO,complete_input_cut,False,incomplete_output_cut,variants/generated_adder_4_original.blif,variants/generated_adder_4_dc2.blif,36,28,7,7,0.0,5,2,7,2,9,0,0,0,False,0,0,0.0,0,0.09988145786337554,a0;a1;b0;b1;cin;new_n24;new_n25,new_n26;sum1,new_n21;new_n22;new_n23;new_n26;new_n27;new_n28;sum1
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all,generated_adder_4,generated,adder_bit1_carry_sum_region,dc2,formal_all,generated_ground_truth,validate_cuts,incomplete_ebo_cut,not every fanout path from 'new_n23' crosses EBO,complete_input_cut,False,incomplete_output_cut,variants/generated_adder_4_original.blif,variants/generated_adder_4_dc2.blif,36,28,7,7,0.0,5,2,7,2,9,0,0,0,False,0,0,0.0,0,0.09973083296790719,a0;a1;b0;b1;cin;new_n24;new_n25,new_n26;sum1,new_n21;new_n22;new_n23;new_n26;new_n27;new_n28;sum1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|exact_only,generated_adder_4,generated,adder_bit1_carry_sum_region,resyn2,exact_only,generated_ground_truth,validate_cuts,incomplete_ebo_cut,not every fanout path from 'new_n23' crosses EBO,complete_input_cut,False,incomplete_output_cut,variants/generated_adder_4_original.blif,variants/generated_adder_4_resyn2.blif,36,28,7,7,0.0,5,2,7,2,9,0,0,0,False,0,0,0.0,0,0.09834599983878434,a0;a1;b0;b1;cin;new_n24;new_n25,new_n26;sum1,new_n21;new_n22;new_n23;new_n26;new_n27;new_n28;sum1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all,generated_adder_4,generated,adder_bit1_carry_sum_region,resyn2,formal_all,generated_ground_truth,validate_cuts,incomplete_ebo_cut,not every fanout path from 'new_n23' crosses EBO,complete_input_cut,False,incomplete_output_cut,variants/generated_adder_4_original.blif,variants/generated_adder_4_resyn2.blif,36,28,7,7,0.0,5,2,7,2,9,0,0,0,False,0,0,0.0,0,0.0992743328679353,a0;a1;b0;b1;cin;new_n24;new_n25,new_n26;sum1,new_n21;new_n22;new_n23;new_n26;new_n27;new_n28;sum1
generated_adder_4|adder_bit1_carry_sum_region|rewrite|exact_only,generated_adder_4,generated,adder_bit1_carry_sum_region,rewrite,exact_only,generated_ground_truth,validate_cuts,incomplete_ebo_cut,not every fanout path from 'new_n23' crosses EBO,complete_input_cut,False,incomplete_output_cut,variants/generated_adder_4_original.blif,variants/generated_adder_4_rewrite.blif,36,33,7,4,0.0,5,2,8,2,10,0,0,0,False,0,0,0.0,0,0.10701370798051357,a0;a1;b0;b1;cin;new_n23;new_n24;new_n25,new_n26;sum1,new_n26;new_n27;new_n28;sum1
generated_adder_4|adder_bit1_carry_sum_region|rewrite|formal_all,generated_adder_4,generated,adder_bit1_carry_sum_region,rewrite,formal_all,generated_ground_truth,validate_cuts,incomplete_ebo_cut,not every fanout path from 'new_n23' crosses EBO,complete_input_cut,False,incomplete_output_cut,variants/generated_adder_4_original.blif,variants/generated_adder_4_rewrite.blif,36,33,7,4,0.0,5,2,8,2,10,0,0,0,False,0,0,0.0,0,0.10983950016088784,a0;a1;b0;b1;cin;new_n23;new_n24;new_n25,new_n26;sum1,new_n26;new_n27;new_n28;sum1
generated_multiplier_2|multiplier_middle_products|balance|exact_only,generated_multiplier_2,generated,multiplier_middle_products,balance,exact_only,generated_ground_truth,extract_region,region_not_enclosed,COI nodes are not enclosed by recovered region,detect_cycles,False,disconnected_region,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_balance.blif,12,12,5,1,0.0,4,1,6,1,7,0,0,0,False,0,0,0.0,0,0.10446958313696086,a0;a1;b0;b1;new_n12;new_n13,p1,p1
generated_multiplier_2|multiplier_middle_products|balance|formal_all,generated_multiplier_2,generated,multiplier_middle_products,balance,formal_all,generated_ground_truth,extract_region,region_not_enclosed,COI nodes are not enclosed by recovered region,detect_cycles,False,disconnected_region,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_balance.blif,12,12,5,1,0.0,4,1,6,1,7,0,0,0,False,0,0,0.0,0,0.10284266690723598,a0;a1;b0;b1;new_n12;new_n13,p1,p1
generated_multiplier_2|multiplier_middle_products|dc2|exact_only,generated_multiplier_2,generated,multiplier_middle_products,dc2,exact_only,generated_ground_truth,validate_cuts,incomplete_ebo_cut,not every fanout path from 'new_n10' crosses EBO,complete_input_cut,False,incomplete_output_cut,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_dc2.blif,12,8,5,3,0.0,4,1,6,1,7,0,0,0,False,0,0,0.0,0,0.10083620809018612,a0;a1;b0;b1;new_n10;new_n11,p1,new_n12;new_n13;p1
