case_id,eligibility_status,generation_attempted,generation_success,generation_target,impl_available,impl_path,skip_reason,spec_available,spec_path
micro_diamond|diamond_reconvergence|identity,available,False,True,boundary-recovery-micro-benchmarks,True,benchmarks/boundary_recovery_micro/micro_diamond.blif,valid,True,benchmarks/boundary_recovery_micro/micro_diamond.blif
micro_diamond|diamond_reconvergence|balance,infrastructure_skip,False,False,boundary-recovery-micro-benchmarks,False,variants/micro_diamond_balance.blif,missing_spec_or_impl,True,benchmarks/boundary_recovery_micro/micro_diamond.blif
micro_diamond|diamond_reconvergence|rewrite,infrastructure_skip,False,False,boundary-recovery-micro-benchmarks,False,variants/micro_diamond_rewrite.blif,missing_spec_or_impl,True,benchmarks/boundary_recovery_micro/micro_diamond.blif
micro_diamond|diamond_reconvergence|resyn2,infrastructure_skip,False,False,boundary-recovery-micro-benchmarks,False,variants/micro_diamond_resyn2.blif,missing_spec_or_impl,True,benchmarks/boundary_recovery_micro/micro_diamond.blif
micro_diamond|diamond_reconvergence|dc2,infrastructure_skip,False,False,boundary-recovery-micro-benchmarks,False,variants/micro_diamond_dc2.blif,missing_spec_or_impl,True,benchmarks/boundary_recovery_micro/micro_diamond.blif
micro_linear_chain|linear_middle|identity,available,False,True,boundary-recovery-micro-benchmarks,True,benchmarks/boundary_recovery_micro/micro_linear_chain.blif,valid,True,benchmarks/boundary_recovery_micro/micro_linear_chain.blif
micro_linear_chain|linear_middle|balance,infrastructure_skip,False,False,boundary-recovery-micro-benchmarks,False,variants/micro_linear_chain_balance.blif,missing_spec_or_impl,True,benchmarks/boundary_recovery_micro/micro_linear_chain.blif
micro_linear_chain|linear_middle|rewrite,infrastructure_skip,False,False,boundary-recovery-micro-benchmarks,False,variants/micro_linear_chain_rewrite.blif,missing_spec_or_impl,True,benchmarks/boundary_recovery_micro/micro_linear_chain.blif
micro_linear_chain|linear_middle|resyn2,infrastructure_skip,False,False,boundary-recovery-micro-benchmarks,False,variants/micro_linear_chain_resyn2.blif,missing_spec_or_impl,True,benchmarks/boundary_recovery_micro/micro_linear_chain.blif
micro_linear_chain|linear_middle|dc2,infrastructure_skip,False,False,boundary-recovery-micro-benchmarks,False,variants/micro_linear_chain_dc2.blif,missing_spec_or_impl,True,benchmarks/boundary_recovery_micro/micro_linear_chain.blif
micro_multi_input|multi_input_cone|identity,available,False,True,boundary-recovery-micro-benchmarks,True,benchmarks/boundary_recovery_micro/micro_multi_input.blif,valid,True,benchmarks/boundary_recovery_micro/micro_multi_input.blif
micro_multi_input|multi_input_cone|balance,infrastructure_skip,False,False,boundary-recovery-micro-benchmarks,False,variants/micro_multi_input_balance.blif,missing_spec_or_impl,True,benchmarks/boundary_recovery_micro/micro_multi_input.blif
micro_multi_input|multi_input_cone|rewrite,infrastructure_skip,False,False,boundary-recovery-micro-benchmarks,False,variants/micro_multi_input_rewrite.blif,missing_spec_or_impl,True,benchmarks/boundary_recovery_micro/micro_multi_input.blif
micro_multi_input|multi_input_cone|resyn2,infrastructure_skip,False,False,boundary-recovery-micro-benchmarks,False,variants/micro_multi_input_resyn2.blif,missing_spec_or_impl,True,benchmarks/boundary_recovery_micro/micro_multi_input.blif
micro_multi_input|multi_input_cone|dc2,infrastructure_skip,False,False,boundary-recovery-micro-benchmarks,False,variants/micro_multi_input_dc2.blif,missing_spec_or_impl,True,benchmarks/boundary_recovery_micro/micro_multi_input.blif
micro_multi_output|multi_output_region|identity,available,False,True,boundary-recovery-micro-benchmarks,True,benchmarks/boundary_recovery_micro/micro_multi_output.blif,valid,True,benchmarks/boundary_recovery_micro/micro_multi_output.blif
micro_multi_output|multi_output_region|balance,infrastructure_skip,False,False,boundary-recovery-micro-benchmarks,False,variants/micro_multi_output_balance.blif,missing_spec_or_impl,True,benchmarks/boundary_recovery_micro/micro_multi_output.blif
micro_multi_output|multi_output_region|rewrite,infrastructure_skip,False,False,boundary-recovery-micro-benchmarks,False,variants/micro_multi_output_rewrite.blif,missing_spec_or_impl,True,benchmarks/boundary_recovery_micro/micro_multi_output.blif
micro_multi_output|multi_output_region|resyn2,infrastructure_skip,False,False,boundary-recovery-micro-benchmarks,False,variants/micro_multi_output_resyn2.blif,missing_spec_or_impl,True,benchmarks/boundary_recovery_micro/micro_multi_output.blif
micro_multi_output|multi_output_region|dc2,infrastructure_skip,False,False,boundary-recovery-micro-benchmarks,False,variants/micro_multi_output_dc2.blif,missing_spec_or_impl,True,benchmarks/boundary_recovery_micro/micro_multi_output.blif
micro_nested|nested_inner|identity,available,False,True,boundary-recovery-micro-benchmarks,True,benchmarks/boundary_recovery_micro/micro_nested.blif,valid,True,benchmarks/boundary_recovery_micro/micro_nested.blif
micro_nested|nested_inner|balance,infrastructure_skip,False,False,boundary-recovery-micro-benchmarks,False,variants/micro_nested_balance.blif,missing_spec_or_impl,True,benchmarks/boundary_recovery_micro/micro_nested.blif
micro_nested|nested_inner|rewrite,infrastructure_skip,False,False,boundary-recovery-micro-benchmarks,False,variants/micro_nested_rewrite.blif,missing_spec_or_impl,True,benchmarks/boundary_recovery_micro/micro_nested.blif
