benchmark,coi_name,original_valid,repaired,final_valid,repair_action,original_bi_count,derived_bi_count,original_bo_count,derived_bo_count,region_node_count,reason
micro_diamond,diamond_reconvergence,True,False,True,added_micro,2,1,1,1,3,valid
micro_linear_chain,linear_middle,True,False,True,added_micro,1,1,1,1,1,valid
micro_multi_input,multi_input_cone,True,False,True,added_micro,3,3,1,1,2,valid
micro_multi_output,multi_output_region,True,False,True,added_micro,2,2,2,2,3,valid
micro_nested,nested_inner,True,False,True,added_micro,1,1,1,1,1,valid
micro_nested,nested_outer,True,False,True,added_micro,1,1,1,1,3,valid
micro_pi_boundary,pi_boundary_region,True,False,True,added_micro,2,2,1,1,1,valid
micro_po_boundary,po_boundary_region,True,False,True,added_micro,1,1,1,1,1,valid
micro_shared_fanout,shared_fanout_region,True,False,True,added_micro,2,2,2,2,2,valid
micro_whole_design,whole_design_region,True,False,True,added_micro,2,2,1,1,2,valid
generated_adder_4,adder_bit1_carry_sum_region,False,True,True,repaired,5,6,2,3,7,valid
generated_multiplier_2,multiplier_middle_products,False,True,True,repaired,4,4,1,3,5,valid
generated_mux_tree_4,mux_tree_root,True,False,True,kept,3,3,1,1,3,valid
generated_mux_tree_8,mux_tree_upper_root,False,True,True,repaired,3,4,1,1,4,valid
external_iscas85_c432,manual_small_structural_region,False,False,False,excluded_infrastructure_skip,1,0,1,0,2,missing_spec_circuit
external_iscas85_c2670,critical_path_seed_region,False,False,False,excluded_infrastructure_skip,1,0,1,0,2,missing_spec_circuit
