algorithmic_success,anchor_mode,attempted,benchmark,boundary_extension_ratio,case_id,coi_name,eligible,executable,failure_reason,optimization,structurally_valid,top_level_classification
False,exact_only,False,micro_diamond,,micro_diamond|diamond_reconvergence|balance|exact_only,diamond_reconvergence,True,False,missing_impl_circuit,balance,True,infrastructure_skip
False,formal_all,False,micro_diamond,,micro_diamond|diamond_reconvergence|balance|formal_all,diamond_reconvergence,True,False,missing_impl_circuit,balance,True,infrastructure_skip
False,exact_only,False,micro_diamond,,micro_diamond|diamond_reconvergence|rewrite|exact_only,diamond_reconvergence,True,False,missing_impl_circuit,rewrite,True,infrastructure_skip
False,formal_all,False,micro_diamond,,micro_diamond|diamond_reconvergence|rewrite|formal_all,diamond_reconvergence,True,False,missing_impl_circuit,rewrite,True,infrastructure_skip
False,exact_only,False,micro_diamond,,micro_diamond|diamond_reconvergence|resyn2|exact_only,diamond_reconvergence,True,False,missing_impl_circuit,resyn2,True,infrastructure_skip
False,formal_all,False,micro_diamond,,micro_diamond|diamond_reconvergence|resyn2|formal_all,diamond_reconvergence,True,False,missing_impl_circuit,resyn2,True,infrastructure_skip
False,exact_only,False,micro_diamond,,micro_diamond|diamond_reconvergence|dc2|exact_only,diamond_reconvergence,True,False,missing_impl_circuit,dc2,True,infrastructure_skip
False,formal_all,False,micro_diamond,,micro_diamond|diamond_reconvergence|dc2|formal_all,diamond_reconvergence,True,False,missing_impl_circuit,dc2,True,infrastructure_skip
False,exact_only,False,micro_linear_chain,,micro_linear_chain|linear_middle|balance|exact_only,linear_middle,True,False,missing_impl_circuit,balance,True,infrastructure_skip
False,formal_all,False,micro_linear_chain,,micro_linear_chain|linear_middle|balance|formal_all,linear_middle,True,False,missing_impl_circuit,balance,True,infrastructure_skip
False,exact_only,False,micro_linear_chain,,micro_linear_chain|linear_middle|rewrite|exact_only,linear_middle,True,False,missing_impl_circuit,rewrite,True,infrastructure_skip
False,formal_all,False,micro_linear_chain,,micro_linear_chain|linear_middle|rewrite|formal_all,linear_middle,True,False,missing_impl_circuit,rewrite,True,infrastructure_skip
False,exact_only,False,micro_linear_chain,,micro_linear_chain|linear_middle|resyn2|exact_only,linear_middle,True,False,missing_impl_circuit,resyn2,True,infrastructure_skip
False,formal_all,False,micro_linear_chain,,micro_linear_chain|linear_middle|resyn2|formal_all,linear_middle,True,False,missing_impl_circuit,resyn2,True,infrastructure_skip
False,exact_only,False,micro_linear_chain,,micro_linear_chain|linear_middle|dc2|exact_only,linear_middle,True,False,missing_impl_circuit,dc2,True,infrastructure_skip
False,formal_all,False,micro_linear_chain,,micro_linear_chain|linear_middle|dc2|formal_all,linear_middle,True,False,missing_impl_circuit,dc2,True,infrastructure_skip
False,exact_only,False,micro_multi_input,,micro_multi_input|multi_input_cone|balance|exact_only,multi_input_cone,True,False,missing_impl_circuit,balance,True,infrastructure_skip
False,formal_all,False,micro_multi_input,,micro_multi_input|multi_input_cone|balance|formal_all,multi_input_cone,True,False,missing_impl_circuit,balance,True,infrastructure_skip
False,exact_only,False,micro_multi_input,,micro_multi_input|multi_input_cone|rewrite|exact_only,multi_input_cone,True,False,missing_impl_circuit,rewrite,True,infrastructure_skip
False,formal_all,False,micro_multi_input,,micro_multi_input|multi_input_cone|rewrite|formal_all,multi_input_cone,True,False,missing_impl_circuit,rewrite,True,infrastructure_skip
False,exact_only,False,micro_multi_input,,micro_multi_input|multi_input_cone|resyn2|exact_only,multi_input_cone,True,False,missing_impl_circuit,resyn2,True,infrastructure_skip
False,formal_all,False,micro_multi_input,,micro_multi_input|multi_input_cone|resyn2|formal_all,multi_input_cone,True,False,missing_impl_circuit,resyn2,True,infrastructure_skip
False,exact_only,False,micro_multi_input,,micro_multi_input|multi_input_cone|dc2|exact_only,multi_input_cone,True,False,missing_impl_circuit,dc2,True,infrastructure_skip
False,formal_all,False,micro_multi_input,,micro_multi_input|multi_input_cone|dc2|formal_all,multi_input_cone,True,False,missing_impl_circuit,dc2,True,infrastructure_skip
False,exact_only,False,micro_multi_output,,micro_multi_output|multi_output_region|balance|exact_only,multi_output_region,True,False,missing_impl_circuit,balance,True,infrastructure_skip
False,formal_all,False,micro_multi_output,,micro_multi_output|multi_output_region|balance|formal_all,multi_output_region,True,False,missing_impl_circuit,balance,True,infrastructure_skip
False,exact_only,False,micro_multi_output,,micro_multi_output|multi_output_region|rewrite|exact_only,multi_output_region,True,False,missing_impl_circuit,rewrite,True,infrastructure_skip
False,formal_all,False,micro_multi_output,,micro_multi_output|multi_output_region|rewrite|formal_all,multi_output_region,True,False,missing_impl_circuit,rewrite,True,infrastructure_skip
False,exact_only,False,micro_multi_output,,micro_multi_output|multi_output_region|resyn2|exact_only,multi_output_region,True,False,missing_impl_circuit,resyn2,True,infrastructure_skip
False,formal_all,False,micro_multi_output,,micro_multi_output|multi_output_region|resyn2|formal_all,multi_output_region,True,False,missing_impl_circuit,resyn2,True,infrastructure_skip
False,exact_only,False,micro_multi_output,,micro_multi_output|multi_output_region|dc2|exact_only,multi_output_region,True,False,missing_impl_circuit,dc2,True,infrastructure_skip
False,formal_all,False,micro_multi_output,,micro_multi_output|multi_output_region|dc2|formal_all,multi_output_region,True,False,missing_impl_circuit,dc2,True,infrastructure_skip
False,exact_only,False,micro_nested,,micro_nested|nested_inner|balance|exact_only,nested_inner,True,False,missing_impl_circuit,balance,True,infrastructure_skip
False,formal_all,False,micro_nested,,micro_nested|nested_inner|balance|formal_all,nested_inner,True,False,missing_impl_circuit,balance,True,infrastructure_skip
False,exact_only,False,micro_nested,,micro_nested|nested_inner|rewrite|exact_only,nested_inner,True,False,missing_impl_circuit,rewrite,True,infrastructure_skip
False,formal_all,False,micro_nested,,micro_nested|nested_inner|rewrite|formal_all,nested_inner,True,False,missing_impl_circuit,rewrite,True,infrastructure_skip
False,exact_only,False,micro_nested,,micro_nested|nested_inner|resyn2|exact_only,nested_inner,True,False,missing_impl_circuit,resyn2,True,infrastructure_skip
False,formal_all,False,micro_nested,,micro_nested|nested_inner|resyn2|formal_all,nested_inner,True,False,missing_impl_circuit,resyn2,True,infrastructure_skip
False,exact_only,False,micro_nested,,micro_nested|nested_inner|dc2|exact_only,nested_inner,True,False,missing_impl_circuit,dc2,True,infrastructure_skip
False,formal_all,False,micro_nested,,micro_nested|nested_inner|dc2|formal_all,nested_inner,True,False,missing_impl_circuit,dc2,True,infrastructure_skip
False,exact_only,False,micro_nested,,micro_nested|nested_outer|balance|exact_only,nested_outer,True,False,missing_impl_circuit,balance,True,infrastructure_skip
False,formal_all,False,micro_nested,,micro_nested|nested_outer|balance|formal_all,nested_outer,True,False,missing_impl_circuit,balance,True,infrastructure_skip
False,exact_only,False,micro_nested,,micro_nested|nested_outer|rewrite|exact_only,nested_outer,True,False,missing_impl_circuit,rewrite,True,infrastructure_skip
