benchmark,benchmark_family,optimization,original_node,optimized_node,candidate_rank,combined_score,support_overlap,sat_status,formal_label,match_category,seed,sample_count,exact_support_limit,original_blif,optimized_blif,cofactor_status,cofactor_skipped_reason,cofactor_mode,cofactor_evidence_level,pattern_count,variables_tested,exact_matching_cofactor_branches,sampled_matching_cofactor_branches,mean_cofactor_error,max_cofactor_error,min_cofactor_error,cofactor_error_variance,cofactor_consistency_score,mean_cofactor_similarity,worst_cofactor_variable,best_cofactor_variable,sensitivity_status,sensitivity_skipped_reason,sensitivity_mode,sensitivity_evidence_level,sensitivity_pattern_count,sensitivity_seed,original_support_size,optimized_support_size,sensitivity_cosine_similarity,sensitivity_l1_distance,sensitivity_l2_distance,dominant_variable_agreement,inactive_variable_agreement,sensitivity_rank_correlation,boolean_difference_similarity,original_dominant_sensitivity_variable,optimized_dominant_sensitivity_variable,original_max_sensitivity,optimized_max_sensitivity,original_mean_sensitivity,optimized_mean_sensitivity,original_sensitivity_entropy,optimized_sensitivity_entropy,original_inactive_support_variables,optimized_inactive_support_variables,functional_feature_mode,functional_feature_evidence_level,support_size_bucket,runtime_seconds,baseline,cofactor_only,sensitivity_only,cofactor_plus_sensitivity,full_combined
external_iscas85_c2670,iscas85,balance,new_n668,new_n659,1,0.881787109375,1.0,rejected,rejected_non_equivalent,non_exact_candidate,23,256,8,benchmarks/external/iscas85/c2670.blif,temporary_abc_variant:external_iscas85_c2670_balance.blif,ok,,sampled,sampled_estimate,256,15,0,0,0.36264110641351727,0.5073529411764706,0.2,0.0024466186615933368,0.9010733875725376,0.6373588935864827,G140,G141,ok,,sampled,sampled_estimate,256,23,33,15,0.5608182031835002,0.08925189393939394,0.17233710262531363,0,0.45454545454545453,0.3887032085561497,0.9107481060606061,G139,G140,0.0859375,0.7578125,0.020359848484848484,0.08830492424242424,0.8882656356437605,0.647339642113919,2,0,sampled,sampled_estimate,13+,0.4768792500253767,0.881787109375,0.7679306818025177,0.6165845740083327,0.6922576279054251,0.790584660116668
external_iscas85_c2670,iscas85,balance,new_n557,new_n665,1,0.8609578450520833,1.0,rejected,rejected_non_equivalent,non_exact_candidate,23,256,8,benchmarks/external/iscas85/c2670.blif,temporary_abc_variant:external_iscas85_c2670_balance.blif,ok,,sampled,sampled_estimate,256,1,0,0,0.40198819509164335,0.5517241379310345,0.25225225225225223,0.022420852578001405,0.7005281143212178,0.5980118049083567,G12,G12,ok,,mixed,sampled_estimate,256,23,2,24,0.13428536326308316,0.11703125,0.19054653866821486,0,0.44,-0.10153846153846158,0.88296875,G15,G135,0.5,0.48046875,0.04,0.08828125,0.21533827903669653,0.7448109336550058,0,10,sampled,sampled_estimate,13+,0.2760094169061631,0.8609578450520833,0.6394221808014912,0.41346747596838734,0.5264448283849392,0.6681913062214275
external_iscas85_c2670,iscas85,balance,new_n672,new_n671,1,0.8759621360085228,0.8863636363636364,rejected,rejected_non_equivalent,non_exact_candidate,0,256,8,benchmarks/external/iscas85/c2670.blif,temporary_abc_variant:external_iscas85_c2670_balance.blif,skipped,no_common_support,unavailable,unresolved,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,ok,,mixed,sampled_estimate,256,23,2,39,0.0,0.037252286585365856,0.15739741618756917,0,0.24390243902439024,-0.04094076655052259,0.9627477134146342,G9,G136,1.0,0.05078125,0.024390243902439025,0.012862042682926829,-0.0,0.8255670599875456,1,9,sampled,sampled_estimate,13+,0.46385116688907146,0.8759621360085228,0.0,0.361351943597561,0.1806759717987805,0.4904577325452987
external_iscas85_c2670,iscas85,balance,new_n594,new_n673,1,0.87459716796875,0.8333333333333334,rejected,rejected_non_equivalent,non_exact_candidate,23,256,8,benchmarks/external/iscas85/c2670.blif,temporary_abc_variant:external_iscas85_c2670_balance.blif,ok,,sampled,sampled_estimate,256,8,0,0,0.45956500729972277,0.7327586206896551,0.22857142857142856,0.009792955650754805,0.802081272732924,0.5404349927002772,G22,G77,ok,,mixed,sampled_estimate,256,23,8,78,0.0,0.025691105769230768,0.09388449387200938,0,0.8846153846153846,0.7416760454735138,0.9743088942307693,G23,G135,0.5,0.00390625,0.02564102564102564,5.0080128205128203e-05,0.4375217216405589,-0.0,0,77,sampled,sampled_estimate,13+,0.9726435830816627,0.87459716796875,0.6570210853792396,0.4294696514423077,0.5432453684107736,0.6688214377911442
external_iscas85_c2670,iscas85,dc2,new_n339,new_n323,1,0.86572265625,1.0,rejected,rejected_non_equivalent,non_exact_candidate,0,256,8,benchmarks/external/iscas85/c2670.blif,temporary_abc_variant:external_iscas85_c2670_dc2.blif,ok,,exhaustive,formal_exhaustive,16,2,0,0,0.25,0.25,0.25,0.0,1.0,0.75,G120,G117,ok,,exhaustive,formal_exhaustive,8,0,3,3,0.6666666666666667,0.125,0.1767766952966369,0,0.5,-0.8,0.875,G67,G56,0.25,0.25,0.1875,0.1875,0.792481250360578,0.792481250360578,0,0,exhaustive,formal_exhaustive,0-4,0.14026850019581616,0.86572265625,0.8875,0.65625,0.771875,0.8395751953125001
external_iscas85_c2670,iscas85,dc2,new_n387,new_n361,1,0.8870971679687499,0.875,rejected,rejected_non_equivalent,non_exact_candidate,0,256,8,benchmarks/external/iscas85/c2670.blif,temporary_abc_variant:external_iscas85_c2670_dc2.blif,ok,,exhaustive,formal_exhaustive,256,7,1,0,0.125,0.25,0.0,0.0027901785714285715,0.8943557181589354,0.875,G72,G117,ok,,exhaustive,formal_exhaustive,128,0,7,8,0.7977240352174656,0.125,0.14657549249448218,0,0.875,0.33333333333333337,0.875,G118,G123,0.5,0.25,0.1875,0.125,0.861654166907052,0.9166666666666666,0,0,exhaustive,formal_exhaustive,5-8,0.08598404214717448,0.8870971679687499,0.8731456449874144,0.7527258158478595,0.812935730417637,0.8602234745003445
external_iscas85_c2670,iscas85,dc2,new_n553,new_n471,1,0.87977294921875,1.0,verified,verified_equivalent,non_exact_candidate,23,256,8,benchmarks/external/iscas85/c2670.blif,temporary_abc_variant:external_iscas85_c2670_dc2.blif,ok,,sampled,sampled_estimate,256,9,0,0,0.32878552618107243,0.5701754385964912,0.1267605633802817,0.008164567513728235,0.8192840071966154,0.6712144738189276,G134,G65,ok,,sampled,sampled_estimate,256,23,18,9,0.6546673178008653,0.1171875,0.154652203815417,1,0.16666666666666666,-0.20536635706914352,0.8828125,G134,G134,0.5078125,0.46875,0.13563368055555555,0.07921006944444445,0.7738121182091108,0.6595022036560061,6,0,sampled,sampled_estimate,13+,0.20050808391533792,0.87977294921875,0.728513725935114,0.720251334677056,0.724382530306085,0.8348486517099586
external_iscas85_c2670,iscas85,dc2,new_n554,new_n527,1,0.88299560546875,1.0,verified,verified_equivalent,non_exact_candidate,23,256,8,benchmarks/external/iscas85/c2670.blif,temporary_abc_variant:external_iscas85_c2670_dc2.blif,ok,,sampled,sampled_estimate,256,9,0,0,0.38297879586843625,0.5524475524475524,0.17699115044247787,0.006418929371758721,0.8397635575562323,0.6170212041315637,G54,G134,ok,,sampled,sampled_estimate,256,23,24,9,0.5526776563518504,0.08626302083333333,0.11760991576034842,0,0.2916666666666667,-0.26956521739130435,0.9137369791666666,G135,G134,0.27734375,0.49609375,0.07112630208333333,0.06201171875,0.7409539129652258,0.6001582148141241,10,0,sampled,sampled_estimate,13+,0.24901579204015434,0.88299560546875,0.7225826228572199,0.5976795547333327,0.6601310887952763,0.7736558231324071
external_iscas85_c2670,iscas85,resyn2,new_n339,new_n326,1,0.86572265625,1.0,rejected,rejected_non_equivalent,non_exact_candidate,0,256,8,benchmarks/external/iscas85/c2670.blif,temporary_abc_variant:external_iscas85_c2670_resyn2.blif,ok,,exhaustive,formal_exhaustive,16,2,0,0,0.25,0.25,0.25,0.0,1.0,0.75,G120,G117,ok,,exhaustive,formal_exhaustive,8,0,3,3,0.6666666666666667,0.125,0.1767766952966369,0,0.5,-0.8,0.875,G67,G56,0.25,0.25,0.1875,0.1875,0.792481250360578,0.792481250360578,0,0,exhaustive,formal_exhaustive,0-4,0.15418220800347626,0.86572265625,0.8875,0.65625,0.771875,0.8395751953125001
external_iscas85_c2670,iscas85,resyn2,new_n387,new_n365,1,0.8870971679687499,0.875,rejected,rejected_non_equivalent,non_exact_candidate,0,256,8,benchmarks/external/iscas85/c2670.blif,temporary_abc_variant:external_iscas85_c2670_resyn2.blif,ok,,exhaustive,formal_exhaustive,256,7,1,0,0.125,0.25,0.0,0.0027901785714285715,0.8943557181589354,0.875,G72,G117,ok,,exhaustive,formal_exhaustive,128,0,7,8,0.7977240352174656,0.125,0.14657549249448218,0,0.875,0.33333333333333337,0.875,G118,G123,0.5,0.25,0.1875,0.125,0.861654166907052,0.9166666666666666,0,0,exhaustive,formal_exhaustive,5-8,0.08526983298361301,0.8870971679687499,0.8731456449874144,0.7527258158478595,0.812935730417637,0.8602234745003445
external_iscas85_c2670,iscas85,resyn2,new_n442,new_n401,1,0.88433837890625,1.0,rejected,rejected_non_equivalent,non_exact_candidate,0,256,8,benchmarks/external/iscas85/c2670.blif,temporary_abc_variant:external_iscas85_c2670_resyn2.blif,ok,,exhaustive,formal_exhaustive,64,6,0,0,0.125,0.125,0.125,0.0,1.0,0.875,G153,G148,ok,,exhaustive,formal_exhaustive,32,0,6,6,1.0000000000000002,0.25,0.25,1,1.0,1.0,0.75,G153,G153,0.25,0.5,0.25,0.5,1.0,1.0,0,0,exhaustive,formal_exhaustive,5-8,0.07781499996781349,0.88433837890625,0.94375,0.9125000000000001,0.9281250000000001,0.9542022705078127
external_iscas85_c2670,iscas85,resyn2,new_n447,new_n402,1,0.8800415039062501,1.0,rejected,rejected_non_equivalent,non_exact_candidate,0,256,8,benchmarks/external/iscas85/c2670.blif,temporary_abc_variant:external_iscas85_c2670_resyn2.blif,ok,,exhaustive,formal_exhaustive,64,6,0,0,0.125,0.125,0.125,0.0,1.0,0.875,G153,G148,ok,,exhaustive,formal_exhaustive,32,0,6,6,1.0000000000000002,0.25,0.25,1,1.0,1.0,0.75,G153,G153,0.25,0.5,0.25,0.5,1.0,1.0,0,0,exhaustive,formal_exhaustive,5-8,0.06705908314324915,0.8800415039062501,0.94375,0.9125000000000001,0.9281250000000001,0.9522686767578127
external_iscas85_c2670,iscas85,rewrite,new_n339,new_n326,1,0.8606201171875,1.0,rejected,rejected_non_equivalent,non_exact_candidate,0,256,8,benchmarks/external/iscas85/c2670.blif,temporary_abc_variant:external_iscas85_c2670_rewrite.blif,ok,,exhaustive,formal_exhaustive,16,2,0,0,0.5,0.75,0.25,0.0625,0.5,0.5,G120,G117,ok,,exhaustive,formal_exhaustive,8,0,3,3,0.6963106238227914,0.25,0.30618621784789724,0,0.5,-0.3999999999999999,0.75,G67,G120,0.25,0.75,0.1875,0.3125,0.792481250360578,0.6854752972273344,0,0,exhaustive,formal_exhaustive,0-4,0.13274149992503226,0.8606201171875,0.47500000000000003,0.6258397807202561,0.5504198903601281,0.6792256463077938
external_iscas85_c2670,iscas85,rewrite,new_n442,new_n402,1,0.8800415039062501,1.0,rejected,rejected_non_equivalent,non_exact_candidate,0,256,8,benchmarks/external/iscas85/c2670.blif,temporary_abc_variant:external_iscas85_c2670_rewrite.blif,ok,,exhaustive,formal_exhaustive,64,6,0,0,0.125,0.125,0.125,0.0,1.0,0.875,G153,G148,ok,,exhaustive,formal_exhaustive,32,0,6,6,1.0000000000000002,0.25,0.25,1,1.0,1.0,0.75,G153,G153,0.25,0.5,0.25,0.5,1.0,1.0,0,0,exhaustive,formal_exhaustive,5-8,0.07693825010210276,0.8800415039062501,0.94375,0.9125000000000001,0.9281250000000001,0.9522686767578127
external_iscas85_c2670,iscas85,rewrite,new_n447,new_n403,1,0.88433837890625,1.0,rejected,rejected_non_equivalent,non_exact_candidate,0,256,8,benchmarks/external/iscas85/c2670.blif,temporary_abc_variant:external_iscas85_c2670_rewrite.blif,ok,,exhaustive,formal_exhaustive,64,6,0,0,0.125,0.125,0.125,0.0,1.0,0.875,G153,G148,ok,,exhaustive,formal_exhaustive,32,0,6,6,1.0000000000000002,0.25,0.25,1,1.0,1.0,0.75,G153,G153,0.25,0.5,0.25,0.5,1.0,1.0,0,0,exhaustive,formal_exhaustive,5-8,0.07910954114049673,0.88433837890625,0.94375,0.9125000000000001,0.9281250000000001,0.9542022705078127
external_iscas85_c2670,iscas85,rewrite,new_n467,new_n424,1,0.8833984375000001,1.0,rejected,rejected_non_equivalent,non_exact_candidate,0,256,8,benchmarks/external/iscas85/c2670.blif,temporary_abc_variant:external_iscas85_c2670_rewrite.blif,ok,,exhaustive,formal_exhaustive,64,6,0,0,0.125,0.125,0.125,0.0,1.0,0.875,G157,G138,ok,,exhaustive,formal_exhaustive,32,0,6,6,1.0000000000000002,0.25,0.25,1,1.0,1.0,0.75,G157,G157,0.25,0.5,0.25,0.5,1.0,1.0,0,0,exhaustive,formal_exhaustive,5-8,0.06736841704696417,0.8833984375000001,0.94375,0.9125000000000001,0.9281250000000001,0.9537792968750002
external_iscas85_c432,iscas85,balance,new_n169,new_n171,1,0.8694637044270834,0.9666666666666668,rejected,rejected_non_equivalent,non_exact_candidate,23,256,8,benchmarks/external/iscas85/c432.blif,temporary_abc_variant:external_iscas85_c432_balance.blif,ok,,sampled,sampled_estimate,256,29,0,3,0.050863515674309995,0.10317460317460317,0.0,0.00043666462080722655,0.9582069565211038,0.94913648432569,G3,G30,ok,,sampled,sampled_estimate,256,23,30,29,0.7574007330247158,0.023046875,0.048291320079824736,0,0.8666666666666667,0.9261401557285873,0.976953125,G7,G1,0.1484375,0.15625,0.04583333333333333,0.030598958333333332,0.7265236801887629,0.6018097106326692,18,21,sampled,sampled_estimate,13+,0.19003974995575845,0.8694637044270834,0.9488941352831383,0.7694305902777887,0.8591623627804634,0.8839603990239545
external_iscas85_c432,iscas85,balance,new_n234,new_n234,1,0.8813095990349264,1.0,rejected,rejected_non_equivalent,non_exact_candidate,23,256,8,benchmarks/external/iscas85/c432.blif,temporary_abc_variant:external_iscas85_c432_balance.blif,ok,,sampled,sampled_estimate,256,36,0,4,0.04683093703968641,0.10526315789473684,0.0,0.00037614606568598004,0.9612110291095017,0.9531690629603136,G18,G14,ok,,sampled,sampled_estimate,256,23,36,36,0.7448262789975301,0.011067708333333334,0.029231698334171417,0,0.9444444444444444,0.8414414414414415,0.9889322916666666,G10,G14,0.046875,0.13671875,0.005316840277777778,0.012478298611111112,0.4887897116243711,0.3834734963874552,30,32,sampled,sampled_estimate,13+,0.1845939578488469,0.8813095990349264,0.951748922256862,0.7757425720766663,0.8637457471667642,0.889502444805208
external_iscas85_c432,iscas85,balance,new_n176,new_n235,1,0.8769677734375,1.0,rejected,rejected_non_equivalent,non_exact_candidate,23,256,8,benchmarks/external/iscas85/c432.blif,temporary_abc_variant:external_iscas85_c432_balance.blif,ok,,sampled,sampled_estimate,256,18,0,4,0.1116488493799183,0.21481481481481482,0.0,0.002914162867422716,0.8920340263337987,0.8883511506200817,G2,G10,ok,,sampled,sampled_estimate,256,23,18,36,0.0,0.013237847222222222,0.041268031228490834,0,0.8888888888888888,0.8205920205920206,0.9867621527777778,G9,G10,0.0,0.16796875,0.0,0.013237847222222222,0.0,0.37590901644099506,18,32,sampled,sampled_estimate,13+,0.16801608307287097,0.8769677734375,0.8800601357191365,0.43425564236111114,0.6571578890401238,0.7498128929126799
external_iscas85_c432,iscas85,balance,new_n176,new_n236,1,0.9094997829861112,1.0,rejected,rejected_non_equivalent,non_exact_candidate,23,256,8,benchmarks/external/iscas85/c432.blif,temporary_abc_variant:external_iscas85_c432_balance.blif,ok,,sampled,sampled_estimate,256,18,0,36,0.0,0.0,0.0,0.0,1.0,1.0,G8,G1,ok,,sampled,sampled_estimate,256,23,18,36,0.0,0.001736111111111111,0.005368627116689662,0,0.8333333333333334,0.67001287001287,0.9982638888888888,G9,G10,0.0,0.0234375,0.0,0.001736111111111111,0.0,0.42167662625068575,18,30,sampled,sampled_estimate,13+,0.16678129113279283,0.9094997829861112,1.0,0.4327256944444444,0.7163628472222222,0.809101291232639
external_iscas85_c432,iscas85,dc2,new_n161,new_n105,1,0.8790188259548611,1.0,verified,verified_equivalent,non_exact_candidate,23,256,8,benchmarks/external/iscas85/c432.blif,temporary_abc_variant:external_iscas85_c432_dc2.blif,ok,,sampled,sampled_estimate,256,27,0,0,0.1875615444508382,0.336,0.04580152671755725,0.002245441300191313,0.9052278247544921,0.8124384555491618,G28,G26,ok,,sampled,sampled_estimate,256,23,28,28,0.0,0.04606681034482758,0.10042675642064924,0,0.7586206896551724,0.7788177339901478,0.9539331896551724,G28,G3,0.1484375,0.2890625,0.017780172413793104,0.028286637931034482,0.4104257869356782,0.3254989126902339,24,25,sampled,sampled_estimate,13+,0.169987500179559,0.8790188259548611,0.8486287630571774,0.40973868534482755,0.6291837242010024,0.7364412011510193
external_iscas85_c432,iscas85,dc2,new_n149,new_n120,1,0.87710205078125,1.0,verified,verified_equivalent,non_exact_candidate,23,256,8,benchmarks/external/iscas85/c432.blif,temporary_abc_variant:external_iscas85_c432_dc2.blif,ok,,sampled,sampled_estimate,256,27,0,0,0.16027548685090054,0.2892561983471074,0.044444444444444446,0.001437639880079253,0.9241675562815163,0.8397245131490995,G12,G26,ok,,sampled,sampled_estimate,256,23,28,28,0.0,0.03987068965517242,0.08673585863385792,0,0.7586206896551724,0.33645320197044337,0.9601293103448276,G20,G12,0.12890625,0.24609375,0.015490301724137932,0.024380387931034482,0.40903701864406394,0.32608769567407225,24,25,sampled,sampled_estimate,13+,0.1218522081617266,0.87710205078125,0.8732701157223081,0.41190732758620685,0.6425887216542574,0.7450520065399031
external_iscas85_c432,iscas85,dc2,new_n167,new_n134,1,0.88255615234375,1.0,verified,verified_equivalent,non_exact_candidate,23,256,8,benchmarks/external/iscas85/c432.blif,temporary_abc_variant:external_iscas85_c432_dc2.blif,ok,,sampled,sampled_estimate,256,27,0,0,0.13700302269177314,0.2421875,0.03125,0.001570192455969205,0.9207486919737168,0.8629969773082269,G8,G14,ok,,sampled,sampled_estimate,256,23,28,28,0.0,0.041082974137931036,0.08795570507185704,0,0.7586206896551724,0.952216748768473,0.958917025862069,G36,G6,0.15625,0.2578125,0.017241379310344827,0.02384159482758621,0.4087237785772008,0.32516532619528626,24,25,sampled,sampled_estimate,13+,0.12073079193942249,0.88255615234375,0.8842419726434237,0.41148302801724135,0.6478625003303325,0.7513820322664605
external_iscas85_c432,iscas85,dc2,new_n176,new_n163,1,0.877587890625,1.0,rejected,rejected_non_equivalent,non_exact_candidate,23,256,8,benchmarks/external/iscas85/c432.blif,temporary_abc_variant:external_iscas85_c432_dc2.blif,ok,,sampled,sampled_estimate,256,18,0,4,0.0584510669201547,0.12295081967213115,0.0,0.0009110629762399087,0.9396323604489986,0.9415489330798453,G34,G26,ok,,sampled,sampled_estimate,256,23,18,36,0.0,0.013888888888888888,0.04179870031061073,0,0.8888888888888888,0.8818532818532818,0.9861111111111112,G9,G34,0.0,0.140625,0.0,0.013888888888888888,0.0,0.38597810503193697,18,32,sampled,sampled_estimate,13+,0.1474752500653267,0.877587890625,0.934044842857682,0.4340277777777778,0.6840363103177298,0.7694594863065387
external_iscas85_c432,iscas85,resyn2,new_n124,new_n110,1,0.8520556640625001,1.0,verified,verified_equivalent,non_exact_candidate,23,256,8,benchmarks/external/iscas85/c432.blif,temporary_abc_variant:external_iscas85_c432_resyn2.blif,ok,,sampled,sampled_estimate,256,18,0,0,0.33975242084249296,0.5343511450381679,0.136,0.0035251967413538546,0.8812532654536748,0.6602475791575071,G14,G30,ok,,sampled,sampled_estimate,256,23,19,19,0.0,0.084765625,0.18157971088822122,0,0.75,0.9218045112781955,0.915234375,G4,G30,0.2578125,0.51953125,0.03515625,0.049609375,0.3653831982416866,0.23100554375715118,16,17,sampled,sampled_estimate,13+,0.1526670411694795,0.8520556640625001,0.7623408342008319,0.39533203125,0.578836432725416,0.6905063400827024
