circuit,optimization,optimized_node,candidate_original_node,candidate_source,candidate_rank,combined_score,global_error_rate,global_error_mode,global_pattern_count,contextual_output_error_rate,contextual_error_mode,contextual_pattern_count,mean_output_hamming_distance,worst_case_output_hamming_distance,mean_absolute_output_error,worst_case_absolute_output_error,cec_status,classification,evidence_level,is_formal_global,is_formal_contextual,substitution_status,reason,runtime_seconds,seed
c2670,compress2rs,new_n693,new_n796,approximate_distance_exact,1,0.8949300130208333,0.2470703125,sampled,1024,0.1240234375,sampled,1024,0.1240234375,1,1.4298928816901325e+17,1152921504606846976,rejected_non_equivalent,unsafe_candidate,sampled_estimate,false,false,ok,"======== ABC command line ""cec <baseline_blif> <substituted_blif>"" Networks are NOT EQUIVALENT. Time = 0.01 sec INPUT: G1 = 1'h0, G10 = 1'h0, G100 = 1'h0, G101 = 1'h0, G102 = 1'h0, G103 = 1'h0, G104 = 1'h0, G105 = 1'h0, G106 = 1'h0, G107 = 1'h0, G108 = 1'h0, G109 = 1'h0, G11 = 1'h0, G110 = 1'h0, G111 = 1'h0, G112 = 1'h0, G113 = 1'h0, G114 = 1'h0, G115 = 1'h0, G116 = 1'h0, G117 = 1'h0, G118 = 1'h0, G119 = 1'h0, G12 = 1'h0, G120 = 1'h1, G121 = 1'h0, G122 = 1'h0, G123 = 1'h0, G124 = 1'h0, G125 = 1'",0.1923,23
c2670,refactor,new_n721,new_n796,approximate_distance_exact,1,0.8949300130208333,0.2451171875,sampled,1024,0.1357421875,sampled,1024,0.1357421875,1,1.5650008705112474e+17,1152921504606846976,rejected_non_equivalent,unsafe_candidate,sampled_estimate,false,false,ok,"======== ABC command line ""cec <baseline_blif> <substituted_blif>"" Networks are NOT EQUIVALENT. Time = 0.01 sec INPUT: G1 = 1'h0, G10 = 1'h0, G100 = 1'h0, G101 = 1'h0, G102 = 1'h0, G103 = 1'h0, G104 = 1'h0, G105 = 1'h0, G106 = 1'h0, G107 = 1'h0, G108 = 1'h0, G109 = 1'h0, G11 = 1'h0, G110 = 1'h0, G111 = 1'h0, G112 = 1'h0, G113 = 1'h0, G114 = 1'h0, G115 = 1'h0, G116 = 1'h0, G117 = 1'h0, G118 = 1'h0, G119 = 1'h0, G12 = 1'h0, G120 = 1'h1, G121 = 1'h0, G122 = 1'h0, G123 = 1'h0, G124 = 1'h0, G125 = 1'",0.1438,23
c2670,refactor_z,new_n719,new_n796,approximate_distance_exact,1,0.8949300130208333,0.2421875,sampled,1024,0.1416015625,sampled,1024,0.1416015625,1,1.6325548649218048e+17,1152921504606846976,rejected_non_equivalent,unsafe_candidate,sampled_estimate,false,false,ok,"======== ABC command line ""cec <baseline_blif> <substituted_blif>"" Networks are NOT EQUIVALENT. Time = 0.01 sec INPUT: G1 = 1'h0, G10 = 1'h0, G100 = 1'h0, G101 = 1'h0, G102 = 1'h0, G103 = 1'h0, G104 = 1'h0, G105 = 1'h0, G106 = 1'h0, G107 = 1'h0, G108 = 1'h0, G109 = 1'h0, G11 = 1'h0, G110 = 1'h0, G111 = 1'h0, G112 = 1'h0, G113 = 1'h0, G114 = 1'h0, G115 = 1'h0, G116 = 1'h0, G117 = 1'h0, G118 = 1'h0, G119 = 1'h0, G12 = 1'h0, G120 = 1'h1, G121 = 1'h0, G122 = 1'h0, G123 = 1'h0, G124 = 1'h0, G125 = 1'",0.1513,23
c2670,resyn2,new_n694,new_n796,approximate_distance_exact,1,0.8949300130208333,0.248046875,sampled,1024,0.1142578125,sampled,1024,0.1142578125,1,1.31730289100587e+17,1152921504606846976,rejected_non_equivalent,unsafe_candidate,sampled_estimate,false,false,ok,"======== ABC command line ""cec <baseline_blif> <substituted_blif>"" Networks are NOT EQUIVALENT. Time = 0.01 sec INPUT: G1 = 1'h0, G10 = 1'h0, G100 = 1'h0, G101 = 1'h0, G102 = 1'h0, G103 = 1'h0, G104 = 1'h0, G105 = 1'h0, G106 = 1'h0, G107 = 1'h0, G108 = 1'h0, G109 = 1'h0, G11 = 1'h0, G110 = 1'h0, G111 = 1'h0, G112 = 1'h0, G113 = 1'h0, G114 = 1'h0, G115 = 1'h0, G116 = 1'h0, G117 = 1'h0, G118 = 1'h0, G119 = 1'h0, G12 = 1'h0, G120 = 1'h1, G121 = 1'h0, G122 = 1'h0, G123 = 1'h0, G124 = 1'h0, G125 = 1'",0.1926,23
c2670,resyn2_like,new_n694,new_n796,approximate_distance_exact,1,0.8949300130208333,0.263671875,sampled,1024,0.140625,sampled,1024,0.140625,1,1.6212958658533786e+17,1152921504606846976,rejected_non_equivalent,unsafe_candidate,sampled_estimate,false,false,ok,"======== ABC command line ""cec <baseline_blif> <substituted_blif>"" Networks are NOT EQUIVALENT. Time = 0.01 sec INPUT: G1 = 1'h0, G10 = 1'h0, G100 = 1'h0, G101 = 1'h0, G102 = 1'h0, G103 = 1'h0, G104 = 1'h0, G105 = 1'h0, G106 = 1'h0, G107 = 1'h0, G108 = 1'h0, G109 = 1'h0, G11 = 1'h0, G110 = 1'h0, G111 = 1'h0, G112 = 1'h0, G113 = 1'h0, G114 = 1'h0, G115 = 1'h0, G116 = 1'h0, G117 = 1'h0, G118 = 1'h0, G119 = 1'h0, G12 = 1'h0, G120 = 1'h1, G121 = 1'h0, G122 = 1'h0, G123 = 1'h0, G124 = 1'h0, G125 = 1'",0.1917,23
c2670,compress2rs,new_n486,new_n602,approximate_distance_exact,1,0.88380126953125,0.234375,sampled,1024,0.0,sampled,1024,0.0,0,0.0,0,rejected_non_equivalent,contextually_approximate_sampled,sampled_estimate,false,false,ok,"======== ABC command line ""cec <baseline_blif> <substituted_blif>"" Networks are NOT EQUIVALENT. Time = 0.01 sec INPUT: G1 = 1'h0, G10 = 1'h0, G100 = 1'h0, G101 = 1'h0, G102 = 1'h0, G103 = 1'h0, G104 = 1'h0, G105 = 1'h0, G106 = 1'h0, G107 = 1'h0, G108 = 1'h0, G109 = 1'h0, G11 = 1'h0, G110 = 1'h0, G111 = 1'h0, G112 = 1'h0, G113 = 1'h0, G114 = 1'h0, G115 = 1'h0, G116 = 1'h0, G117 = 1'h0, G118 = 1'h0, G119 = 1'h0, G12 = 1'h0, G120 = 1'h0, G121 = 1'h0, G122 = 1'h0, G123 = 1'h0, G124 = 1'h0, G125 = 1'",0.2002,23
c2670,refactor,new_n549,new_n602,approximate_distance_exact,1,0.88380126953125,0.2607421875,sampled,1024,0.0,sampled,1024,0.0,0,0.0,0,rejected_non_equivalent,contextually_approximate_sampled,sampled_estimate,false,false,ok,"======== ABC command line ""cec <baseline_blif> <substituted_blif>"" Networks are NOT EQUIVALENT. Time = 0.01 sec INPUT: G1 = 1'h0, G10 = 1'h0, G100 = 1'h0, G101 = 1'h0, G102 = 1'h0, G103 = 1'h0, G104 = 1'h0, G105 = 1'h0, G106 = 1'h0, G107 = 1'h0, G108 = 1'h0, G109 = 1'h0, G11 = 1'h0, G110 = 1'h0, G111 = 1'h0, G112 = 1'h0, G113 = 1'h0, G114 = 1'h0, G115 = 1'h0, G116 = 1'h0, G117 = 1'h0, G118 = 1'h0, G119 = 1'h0, G12 = 1'h0, G120 = 1'h0, G121 = 1'h0, G122 = 1'h0, G123 = 1'h0, G124 = 1'h0, G125 = 1'",0.1482,23
c2670,refactor_z,new_n467,new_n602,approximate_distance_exact,1,0.88380126953125,0.2568359375,sampled,1024,0.0,sampled,1024,0.0,0,0.0,0,rejected_non_equivalent,contextually_approximate_sampled,sampled_estimate,false,false,ok,"======== ABC command line ""cec <baseline_blif> <substituted_blif>"" Networks are NOT EQUIVALENT. Time = 0.01 sec INPUT: G1 = 1'h0, G10 = 1'h0, G100 = 1'h0, G101 = 1'h0, G102 = 1'h0, G103 = 1'h0, G104 = 1'h0, G105 = 1'h0, G106 = 1'h0, G107 = 1'h0, G108 = 1'h0, G109 = 1'h0, G11 = 1'h0, G110 = 1'h0, G111 = 1'h0, G112 = 1'h0, G113 = 1'h0, G114 = 1'h0, G115 = 1'h0, G116 = 1'h0, G117 = 1'h0, G118 = 1'h0, G119 = 1'h0, G12 = 1'h0, G120 = 1'h0, G121 = 1'h0, G122 = 1'h0, G123 = 1'h0, G124 = 1'h0, G125 = 1'",0.1395,23
c2670,resyn2,new_n487,new_n602,approximate_distance_exact,1,0.88380126953125,0.2685546875,sampled,1024,0.0,sampled,1024,0.0,0,0.0,0,rejected_non_equivalent,contextually_approximate_sampled,sampled_estimate,false,false,ok,"======== ABC command line ""cec <baseline_blif> <substituted_blif>"" Networks are NOT EQUIVALENT. Time = 0.01 sec INPUT: G1 = 1'h0, G10 = 1'h0, G100 = 1'h0, G101 = 1'h0, G102 = 1'h0, G103 = 1'h0, G104 = 1'h0, G105 = 1'h0, G106 = 1'h0, G107 = 1'h0, G108 = 1'h0, G109 = 1'h0, G11 = 1'h0, G110 = 1'h0, G111 = 1'h0, G112 = 1'h0, G113 = 1'h0, G114 = 1'h0, G115 = 1'h0, G116 = 1'h0, G117 = 1'h0, G118 = 1'h0, G119 = 1'h0, G12 = 1'h0, G120 = 1'h0, G121 = 1'h0, G122 = 1'h0, G123 = 1'h0, G124 = 1'h0, G125 = 1'",0.1835,23
c2670,resyn2_like,new_n487,new_n602,approximate_distance_exact,1,0.88380126953125,0.26953125,sampled,1024,0.0,sampled,1024,0.0,0,0.0,0,rejected_non_equivalent,contextually_approximate_sampled,sampled_estimate,false,false,ok,"======== ABC command line ""cec <baseline_blif> <substituted_blif>"" Networks are NOT EQUIVALENT. Time = 0.01 sec INPUT: G1 = 1'h0, G10 = 1'h0, G100 = 1'h0, G101 = 1'h0, G102 = 1'h0, G103 = 1'h0, G104 = 1'h0, G105 = 1'h0, G106 = 1'h0, G107 = 1'h0, G108 = 1'h0, G109 = 1'h0, G11 = 1'h0, G110 = 1'h0, G111 = 1'h0, G112 = 1'h0, G113 = 1'h0, G114 = 1'h0, G115 = 1'h0, G116 = 1'h0, G117 = 1'h0, G118 = 1'h0, G119 = 1'h0, G12 = 1'h0, G120 = 1'h0, G121 = 1'h0, G122 = 1'h0, G123 = 1'h0, G124 = 1'h0, G125 = 1'",0.1812,23
