benchmark,circuit,optimization,path_length,path_index,optimized_node,optimized_depth,optimized_level,mapped_original_node,mapping_category,confidence,distance,combined_score,support_overlap,simulation_similarity,rank,distance_mode,is_formal_distance,approx_threshold,explanation
external_iscas85_c2670,c2670,balance,17,1,new_n264,1,1,new_n264,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,balance,17,2,new_n265,2,2,new_n265,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,balance,17,3,new_n272,3,3,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,balance,17,4,G2559,4,4,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,balance,17,5,new_n792,5,5,new_n792,exact_signature_match,1.0,,0.95,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,balance,17,6,new_n795,6,6,new_n796,exact_signature_match,1.0,,0.9333333333333332,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,balance,17,7,new_n893,7,7,new_n904,exact_signature_match,1.0,,0.9333333333333332,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,balance,17,8,new_n895,8,8,new_n906,exact_signature_match,1.0,,0.9333333333333332,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,balance,17,9,new_n896,9,9,new_n907,exact_signature_match,1.0,,0.9333333333333332,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,balance,17,10,new_n898,10,10,new_n909,exact_signature_match,1.0,,0.9333333333333332,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,balance,17,11,new_n906,11,11,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,balance,17,12,new_n907,12,12,new_n917,exact_signature_match,1.0,,0.9333333333333332,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,balance,17,13,new_n912,13,13,new_n922,exact_signature_match,1.0,,0.9333333333333332,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,balance,17,14,new_n916,14,14,new_n923,exact_signature_match,1.0,,0.925,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,balance,17,15,new_n921,15,15,new_n924,exact_signature_match,1.0,,0.92,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,balance,17,16,new_n922,16,16,new_n925,exact_signature_match,1.0,,0.92,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,balance,17,17,G2591,17,17,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
