adapter_id,candidate_id,adapter_kind,formal_status,solver_result,formal_evidence_level,counterexample_reproduced,schema_version
permute_invert_adapter__xplant__Ein,permute_invert_adapter__xplant,input,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
permute_invert_adapter__xplant__Eout,permute_invert_adapter__xplant,output,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
xor_basis_adapter__xplant__Ein,xor_basis_adapter__xplant,input,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
xor_basis_adapter__xplant__Eout,xor_basis_adapter__xplant,output,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter__xplant__Ein,nonlinear_boolean_adapter__xplant,input,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter__xplant__Eout,nonlinear_boolean_adapter__xplant,output,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
multi_output_region__xplant__Ein,multi_output_region__xplant,input,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
multi_output_region__xplant__Eout,multi_output_region__xplant,output,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
residual_output_adapter__xplant__Ein,residual_output_adapter__xplant,input,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
residual_output_adapter__xplant__Eout,residual_output_adapter__xplant,output,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
grow_forward_region__xplant__Ein,grow_forward_region__xplant,input,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
grow_forward_region__xplant__Eout,grow_forward_region__xplant,output,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
affine_transplant__xplant__Ein,affine_transplant__xplant,input,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
affine_transplant__xplant__Eout,affine_transplant__xplant,output,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
add_add_transplant__xplant__Ein,add_add_transplant__xplant,input,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
add_add_transplant__xplant__Eout,add_add_transplant__xplant,output,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
bilinear_transplant__xplant__Ein,bilinear_transplant__xplant,input,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
bilinear_transplant__xplant__Eout,bilinear_transplant__xplant,output,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
mac_transplant__xplant__Ein,mac_transplant__xplant,input,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
mac_transplant__xplant__Eout,mac_transplant__xplant,output,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
mux_transplant__xplant__Ein,mux_transplant__xplant,input,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
mux_transplant__xplant__Eout,mux_transplant__xplant,output,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
mask_constmul_transplant__xplant__Ein,mask_constmul_transplant__xplant,input,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
mask_constmul_transplant__xplant__Eout,mask_constmul_transplant__xplant,output,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
negative_no_input_adapter__xplant__Ein,negative_no_input_adapter__xplant,input,disproven,sat,unresolved,true,cross_netlist_cut_transplantation_v1
negative_no_input_adapter__xplant__Eout,negative_no_input_adapter__xplant,output,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
negative_no_output_adapter__xplant__Ein,negative_no_output_adapter__xplant,input,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
negative_no_output_adapter__xplant__Eout,negative_no_output_adapter__xplant,output,disproven,sat,unresolved,true,cross_netlist_cut_transplantation_v1
negative_target_not_influential__xplant__Ein,negative_target_not_influential__xplant,input,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
negative_target_not_influential__xplant__Eout,negative_target_not_influential__xplant,output,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
negative_whole_design__xplant__Ein,negative_whole_design__xplant,input,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
negative_whole_design__xplant__Eout,negative_whole_design__xplant,output,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
negative_global_cec__xplant__Ein,negative_global_cec__xplant,input,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
negative_global_cec__xplant__Eout,negative_global_cec__xplant,output,proven,unsat,formal_exhaustive,true,cross_netlist_cut_transplantation_v1
