attempt_id,candidate_id,benchmark,split,usable_frontier_anchor,selected_anchor,new_recovered_boundary,boundary_scope,graph_active,global_cec_status,failure_reason,schema_version
permute_invert_adapter__xplant__rewrite,permute_invert_adapter__xplant,permute_invert_adapter,heldout,true,true,true,controlled_cross_netlist_transplant,true,equivalent,,cross_netlist_cut_transplantation_v1
xor_basis_adapter__xplant__rewrite,xor_basis_adapter__xplant,xor_basis_adapter,dev,true,true,true,controlled_cross_netlist_transplant,true,equivalent,,cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter__xplant__rewrite,nonlinear_boolean_adapter__xplant,nonlinear_boolean_adapter,dev,true,true,true,controlled_cross_netlist_transplant,true,equivalent,,cross_netlist_cut_transplantation_v1
multi_output_region__xplant__rewrite,multi_output_region__xplant,multi_output_region,dev,true,true,true,controlled_cross_netlist_transplant,true,equivalent,,cross_netlist_cut_transplantation_v1
residual_output_adapter__xplant__rewrite,residual_output_adapter__xplant,residual_output_adapter,heldout,true,true,true,controlled_cross_netlist_transplant,true,equivalent,,cross_netlist_cut_transplantation_v1
grow_forward_region__xplant__rewrite,grow_forward_region__xplant,grow_forward_region,dev,true,true,true,controlled_cross_netlist_transplant,true,equivalent,,cross_netlist_cut_transplantation_v1
affine_transplant__xplant__rewrite,affine_transplant__xplant,affine_transplant,dev,true,true,true,controlled_cross_netlist_transplant,true,equivalent,,cross_netlist_cut_transplantation_v1
add_add_transplant__xplant__rewrite,add_add_transplant__xplant,add_add_transplant,dev,true,true,true,controlled_cross_netlist_transplant,true,equivalent,,cross_netlist_cut_transplantation_v1
bilinear_transplant__xplant__rewrite,bilinear_transplant__xplant,bilinear_transplant,heldout,true,true,true,controlled_cross_netlist_transplant,true,equivalent,,cross_netlist_cut_transplantation_v1
mac_transplant__xplant__rewrite,mac_transplant__xplant,mac_transplant,heldout,true,true,true,controlled_cross_netlist_transplant,true,equivalent,,cross_netlist_cut_transplantation_v1
mux_transplant__xplant__rewrite,mux_transplant__xplant,mux_transplant,dev,true,true,true,controlled_cross_netlist_transplant,true,equivalent,,cross_netlist_cut_transplantation_v1
mask_constmul_transplant__xplant__rewrite,mask_constmul_transplant__xplant,mask_constmul_transplant,dev,true,true,true,controlled_cross_netlist_transplant,true,equivalent,,cross_netlist_cut_transplantation_v1
negative_no_input_adapter__xplant__rewrite,negative_no_input_adapter__xplant,negative_no_input_adapter,dev,false,false,false,none,false,not_run,no_exact_input_adapter,cross_netlist_cut_transplantation_v1
negative_no_output_adapter__xplant__rewrite,negative_no_output_adapter__xplant,negative_no_output_adapter,dev,false,false,false,none,false,not_run,no_exact_output_adapter,cross_netlist_cut_transplantation_v1
negative_target_not_influential__xplant__rewrite,negative_target_not_influential__xplant,negative_target_not_influential,dev,false,false,false,none,true,unknown,target_does_not_influence_bi,cross_netlist_cut_transplantation_v1
negative_whole_design__xplant__rewrite,negative_whole_design__xplant,negative_whole_design,dev,false,false,false,none,true,equivalent,whole_design_transplant_diagnostic,cross_netlist_cut_transplantation_v1
negative_global_cec__xplant__rewrite,negative_global_cec__xplant,negative_global_cec,dev,false,false,false,none,true,source=disproved;cross=equivalent,global_cec_failed,cross_netlist_cut_transplantation_v1
