benchmark,family,expected_outcome,final_status,input_adapter_status,relational_status,output_adapter_status,clone_status,local_proof_status,source_cec_status,cross_cec_status,graph_active,new_recovered_boundary,rejection_reason,schema_version
permute_invert_adapter,permutation_inversion,positive_transplant,accepted,adapter_exists,not_used,adapter_exists,cloned,equivalent,equivalent,equivalent,true,true,,cross_netlist_cut_transplantation_v1
xor_basis_adapter,xor_basis,positive_transplant,accepted,adapter_exists,proved,adapter_exists,cloned,equivalent,equivalent,equivalent,true,true,,cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter,nonlinear_boolean,positive_transplant,accepted,adapter_exists,proved,adapter_exists,cloned,equivalent,equivalent,equivalent,true,true,,cross_netlist_cut_transplantation_v1
multi_output_region,multi_output,positive_transplant,accepted,adapter_exists,not_used,adapter_exists,cloned,equivalent,equivalent,equivalent,true,true,,cross_netlist_cut_transplantation_v1
residual_output_adapter,residual,positive_transplant,accepted,adapter_exists,not_used,adapter_exists,cloned,equivalent,equivalent,equivalent,true,true,,cross_netlist_cut_transplantation_v1
grow_forward_region,grow_forward,positive_transplant,accepted,adapter_exists,not_used,adapter_exists,cloned,equivalent,equivalent,equivalent,true,true,,cross_netlist_cut_transplantation_v1
affine_transplant,affine,positive_transplant,accepted,adapter_exists,not_used,adapter_exists,cloned,equivalent,equivalent,equivalent,true,true,,cross_netlist_cut_transplantation_v1
add_add_transplant,add_add,positive_transplant,accepted,adapter_exists,not_used,adapter_exists,cloned,equivalent,equivalent,equivalent,true,true,,cross_netlist_cut_transplantation_v1
bilinear_transplant,bilinear,positive_transplant,accepted,adapter_exists,proved,adapter_exists,cloned,equivalent,equivalent,equivalent,true,true,,cross_netlist_cut_transplantation_v1
mac_transplant,mac,positive_transplant,accepted,adapter_exists,not_used,adapter_exists,cloned,equivalent,equivalent,equivalent,true,true,,cross_netlist_cut_transplantation_v1
mux_transplant,mux,positive_transplant,accepted,adapter_exists,not_used,adapter_exists,cloned,equivalent,equivalent,equivalent,true,true,,cross_netlist_cut_transplantation_v1
mask_constmul_transplant,mask_constmul,positive_transplant,accepted,adapter_exists,not_used,adapter_exists,cloned,equivalent,equivalent,equivalent,true,true,,cross_netlist_cut_transplantation_v1
negative_no_input_adapter,negative,negative_no_input_adapter,rejected,insufficient_interface,not_used,adapter_exists,not_run,not_run,not_run,not_run,false,false,no_exact_input_adapter,cross_netlist_cut_transplantation_v1
negative_no_output_adapter,negative,negative_no_output_adapter,rejected,adapter_exists,not_used,insufficient_interface,not_run,not_run,not_run,not_run,false,false,no_exact_output_adapter,cross_netlist_cut_transplantation_v1
negative_target_not_influential,negative,negative_target_not_influential,rejected,adapter_exists,not_used,adapter_exists,cloned,equivalent,unknown,unknown,true,false,target_does_not_influence_bi,cross_netlist_cut_transplantation_v1
negative_whole_design,negative,negative_whole_design,rejected,adapter_exists,not_used,adapter_exists,cloned,equivalent,equivalent,equivalent,true,false,whole_design_transplant_diagnostic,cross_netlist_cut_transplantation_v1
negative_global_cec,negative,negative_global_cec,rejected,adapter_exists,not_used,adapter_exists,cloned,disproven,disproved,equivalent,true,false,global_cec_failed,cross_netlist_cut_transplantation_v1
