adapter_id,candidate_id,benchmark,mode,input_order,output_order,existence_status,solver_result,proof_status,counterexample_available,counterexample_reproduced,runtime_seconds,timeout,rejection_reason,schema_version
permute_invert_adapter__xplant__Ein,permute_invert_adapter__xplant,permute_invert_adapter,direct,"[""a"", ""b""]","[""u0"", ""u1""]",adapter_exists,unsat,proven,false,true,0.000025,false,,cross_netlist_cut_transplantation_v1
xor_basis_adapter__xplant__Ein,xor_basis_adapter__xplant,xor_basis_adapter,relational,"[""a"", ""b""]","[""u0"", ""u1""]",adapter_exists,unsat,proven,false,true,0.000026,false,,cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter__xplant__Ein,nonlinear_boolean_adapter__xplant,nonlinear_boolean_adapter,relational,"[""a"", ""b"", ""c"", ""d""]","[""u0"", ""u1""]",adapter_exists,unsat,proven,false,true,0.000069,false,,cross_netlist_cut_transplantation_v1
multi_output_region__xplant__Ein,multi_output_region__xplant,multi_output_region,direct,"[""a"", ""b""]","[""u0"", ""u1""]",adapter_exists,unsat,proven,false,true,0.000022,false,,cross_netlist_cut_transplantation_v1
residual_output_adapter__xplant__Ein,residual_output_adapter__xplant,residual_output_adapter,direct,"[""a"", ""b""]","[""u0"", ""u1""]",adapter_exists,unsat,proven,false,true,0.000018,false,,cross_netlist_cut_transplantation_v1
grow_forward_region__xplant__Ein,grow_forward_region__xplant,grow_forward_region,direct,"[""a"", ""b"", ""c""]","[""u0"", ""u1"", ""u2""]",adapter_exists,unsat,proven,false,true,0.000037,false,,cross_netlist_cut_transplantation_v1
affine_transplant__xplant__Ein,affine_transplant__xplant,affine_transplant,direct,"[""a0"", ""a1""]","[""u0"", ""u1""]",adapter_exists,unsat,proven,false,true,0.000017,false,,cross_netlist_cut_transplantation_v1
add_add_transplant__xplant__Ein,add_add_transplant__xplant,add_add_transplant,direct,"[""a0"", ""d0"", ""c0""]","[""u0"", ""u1"", ""u2""]",adapter_exists,unsat,proven,false,true,0.000038,false,,cross_netlist_cut_transplantation_v1
bilinear_transplant__xplant__Ein,bilinear_transplant__xplant,bilinear_transplant,relational,"[""a"", ""b"", ""c""]","[""u0"", ""u1"", ""u2""]",adapter_exists,unsat,proven,false,true,0.000037,false,,cross_netlist_cut_transplantation_v1
mac_transplant__xplant__Ein,mac_transplant__xplant,mac_transplant,direct,"[""a"", ""b"", ""c""]","[""u0"", ""u1"", ""u2""]",adapter_exists,unsat,proven,false,true,0.000037,false,,cross_netlist_cut_transplantation_v1
mux_transplant__xplant__Ein,mux_transplant__xplant,mux_transplant,direct,"[""s"", ""a"", ""b""]","[""u0"", ""u1"", ""u2""]",adapter_exists,unsat,proven,false,true,0.000043,false,,cross_netlist_cut_transplantation_v1
mask_constmul_transplant__xplant__Ein,mask_constmul_transplant__xplant,mask_constmul_transplant,direct,"[""a""]","[""u0""]",adapter_exists,unsat,proven,false,true,0.000011,false,,cross_netlist_cut_transplantation_v1
negative_no_input_adapter__xplant__Ein,negative_no_input_adapter__xplant,negative_no_input_adapter,direct,"[""a""]","[""u0""]",insufficient_interface,sat,disproven,true,true,0.000006,false,two_copy_counterexample,cross_netlist_cut_transplantation_v1
negative_no_output_adapter__xplant__Ein,negative_no_output_adapter__xplant,negative_no_output_adapter,direct,"[""a""]","[""u0""]",adapter_exists,unsat,proven,false,true,0.000008,false,,cross_netlist_cut_transplantation_v1
negative_target_not_influential__xplant__Ein,negative_target_not_influential__xplant,negative_target_not_influential,direct,"[""a""]","[""u0""]",adapter_exists,unsat,proven,false,true,0.000008,false,,cross_netlist_cut_transplantation_v1
negative_whole_design__xplant__Ein,negative_whole_design__xplant,negative_whole_design,direct,"[""a""]","[""u0""]",adapter_exists,unsat,proven,false,true,0.000008,false,,cross_netlist_cut_transplantation_v1
negative_global_cec__xplant__Ein,negative_global_cec__xplant,negative_global_cec,direct,"[""a""]","[""u0""]",adapter_exists,unsat,proven,false,true,0.000009,false,,cross_netlist_cut_transplantation_v1
