candidate_id,benchmark,latent_interface,formal_status,solver_result,counterexample_available,counterexample_reproduced,runtime_seconds,schema_version
permute_invert_adapter__xplant,permute_invert_adapter,[],not_used,not_run,false,true,0.000000,cross_netlist_cut_transplantation_v1
xor_basis_adapter__xplant,xor_basis_adapter,"[""k0""]",equivalent,unsat_exhaustive,false,true,0.000000,cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter__xplant,nonlinear_boolean_adapter,"[""k0""]",equivalent,unsat_exhaustive,false,true,0.000000,cross_netlist_cut_transplantation_v1
multi_output_region__xplant,multi_output_region,[],not_used,not_run,false,true,0.000000,cross_netlist_cut_transplantation_v1
residual_output_adapter__xplant,residual_output_adapter,[],not_used,not_run,false,true,0.000000,cross_netlist_cut_transplantation_v1
grow_forward_region__xplant,grow_forward_region,[],not_used,not_run,false,true,0.000000,cross_netlist_cut_transplantation_v1
affine_transplant__xplant,affine_transplant,[],not_used,not_run,false,true,0.000000,cross_netlist_cut_transplantation_v1
add_add_transplant__xplant,add_add_transplant,[],not_used,not_run,false,true,0.000000,cross_netlist_cut_transplantation_v1
bilinear_transplant__xplant,bilinear_transplant,"[""k0""]",equivalent,unsat_exhaustive,false,true,0.000000,cross_netlist_cut_transplantation_v1
mac_transplant__xplant,mac_transplant,[],not_used,not_run,false,true,0.000000,cross_netlist_cut_transplantation_v1
mux_transplant__xplant,mux_transplant,[],not_used,not_run,false,true,0.000000,cross_netlist_cut_transplantation_v1
mask_constmul_transplant__xplant,mask_constmul_transplant,[],not_used,not_run,false,true,0.000000,cross_netlist_cut_transplantation_v1
negative_no_input_adapter__xplant,negative_no_input_adapter,[],not_used,not_run,false,true,0.000000,cross_netlist_cut_transplantation_v1
negative_no_output_adapter__xplant,negative_no_output_adapter,[],not_used,not_run,false,true,0.000000,cross_netlist_cut_transplantation_v1
negative_target_not_influential__xplant,negative_target_not_influential,[],not_used,not_run,false,true,0.000000,cross_netlist_cut_transplantation_v1
negative_whole_design__xplant,negative_whole_design,[],not_used,not_run,false,true,0.000000,cross_netlist_cut_transplantation_v1
negative_global_cec__xplant,negative_global_cec,[],not_used,not_run,false,true,0.000000,cross_netlist_cut_transplantation_v1
