attempt_id,candidate_id,benchmark,formal_status,solver_result,formal_backend,formal_evidence_level,counterexample_available,counterexample,counterexample_reproduced,runtime_seconds,timeout,unsupported_reason,schema_version
permute_invert_adapter__xplant__rewrite,permute_invert_adapter__xplant,permute_invert_adapter,equivalent,unsat_exhaustive,exhaustive_output_miter,formal_exhaustive,false,{},true,0.000418,false,,cross_netlist_cut_transplantation_v1
xor_basis_adapter__xplant__rewrite,xor_basis_adapter__xplant,xor_basis_adapter,equivalent,unsat_exhaustive,exhaustive_output_miter,formal_exhaustive,false,{},true,0.000381,false,,cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter__xplant__rewrite,nonlinear_boolean_adapter__xplant,nonlinear_boolean_adapter,equivalent,unsat_exhaustive,exhaustive_output_miter,formal_exhaustive,false,{},true,0.003130,false,,cross_netlist_cut_transplantation_v1
multi_output_region__xplant__rewrite,multi_output_region__xplant,multi_output_region,equivalent,unsat_exhaustive,exhaustive_output_miter,formal_exhaustive,false,{},true,0.000530,false,,cross_netlist_cut_transplantation_v1
residual_output_adapter__xplant__rewrite,residual_output_adapter__xplant,residual_output_adapter,equivalent,unsat_exhaustive,exhaustive_output_miter,formal_exhaustive,false,{},true,0.000411,false,,cross_netlist_cut_transplantation_v1
grow_forward_region__xplant__rewrite,grow_forward_region__xplant,grow_forward_region,equivalent,unsat_exhaustive,exhaustive_output_miter,formal_exhaustive,false,{},true,0.001229,false,,cross_netlist_cut_transplantation_v1
affine_transplant__xplant__rewrite,affine_transplant__xplant,affine_transplant,equivalent,unsat_exhaustive,exhaustive_output_miter,formal_exhaustive,false,{},true,0.001130,false,,cross_netlist_cut_transplantation_v1
add_add_transplant__xplant__rewrite,add_add_transplant__xplant,add_add_transplant,equivalent,unsat_exhaustive,exhaustive_output_miter,formal_exhaustive,false,{},true,0.001153,false,,cross_netlist_cut_transplantation_v1
bilinear_transplant__xplant__rewrite,bilinear_transplant__xplant,bilinear_transplant,equivalent,unsat_exhaustive,exhaustive_output_miter,formal_exhaustive,false,{},true,0.001133,false,,cross_netlist_cut_transplantation_v1
mac_transplant__xplant__rewrite,mac_transplant__xplant,mac_transplant,equivalent,unsat_exhaustive,exhaustive_output_miter,formal_exhaustive,false,{},true,0.001103,false,,cross_netlist_cut_transplantation_v1
mux_transplant__xplant__rewrite,mux_transplant__xplant,mux_transplant,equivalent,unsat_exhaustive,exhaustive_output_miter,formal_exhaustive,false,{},true,0.001210,false,,cross_netlist_cut_transplantation_v1
mask_constmul_transplant__xplant__rewrite,mask_constmul_transplant__xplant,mask_constmul_transplant,equivalent,unsat_exhaustive,exhaustive_output_miter,formal_exhaustive,false,{},true,0.000173,false,,cross_netlist_cut_transplantation_v1
negative_no_input_adapter__xplant__rewrite,negative_no_input_adapter__xplant,negative_no_input_adapter,not_run,not_run,not_run,unresolved,false,{},true,0.000000,false,local_not_run,cross_netlist_cut_transplantation_v1
negative_no_output_adapter__xplant__rewrite,negative_no_output_adapter__xplant,negative_no_output_adapter,not_run,not_run,not_run,unresolved,false,{},true,0.000000,false,local_not_run,cross_netlist_cut_transplantation_v1
negative_target_not_influential__xplant__rewrite,negative_target_not_influential__xplant,negative_target_not_influential,equivalent,unsat_exhaustive,exhaustive_output_miter,formal_exhaustive,false,{},true,0.000179,false,,cross_netlist_cut_transplantation_v1
negative_whole_design__xplant__rewrite,negative_whole_design__xplant,negative_whole_design,equivalent,unsat_exhaustive,exhaustive_output_miter,formal_exhaustive,false,{},true,0.000068,false,,cross_netlist_cut_transplantation_v1
negative_global_cec__xplant__rewrite,negative_global_cec__xplant,negative_global_cec,disproven,sat_exhaustive,exhaustive_output_miter,formal_exhaustive,true,"{""assignment"": {""a"": 1, ""k"": 1}}",true,0.000099,false,output_mismatch,cross_netlist_cut_transplantation_v1
