candidate_id,benchmark,region_clone_status,optimized_region_nodes,cloned_region_nodes,cloned_target,target_in_region,target_influence_status,influenced_outputs,artifact_path,failure_reason,schema_version
permute_invert_adapter__xplant,permute_invert_adapter,cloned,"[""t"", ""b0""]","[""xri_t"", ""xri_b0""]",xri_t,true,influences_bi,"[""b0""]",results/cross_netlist_cut_transplantation/artifacts/permute_invert_adapter.transplanted_source.blif,,cross_netlist_cut_transplantation_v1
xor_basis_adapter__xplant,xor_basis_adapter,cloned,"[""t"", ""b0""]","[""xri_t"", ""xri_b0""]",xri_t,true,influences_bi,"[""b0""]",results/cross_netlist_cut_transplantation/artifacts/xor_basis_adapter.transplanted_source.blif,,cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter__xplant,nonlinear_boolean_adapter,cloned,"[""t"", ""b0""]","[""xri_t"", ""xri_b0""]",xri_t,true,influences_bi,"[""b0""]",results/cross_netlist_cut_transplantation/artifacts/nonlinear_boolean_adapter.transplanted_source.blif,,cross_netlist_cut_transplantation_v1
multi_output_region__xplant,multi_output_region,cloned,"[""t"", ""b0"", ""b1""]","[""xri_t"", ""xri_b0"", ""xri_b1""]",xri_t,true,influences_bi,"[""b0"", ""b1""]",results/cross_netlist_cut_transplantation/artifacts/multi_output_region.transplanted_source.blif,,cross_netlist_cut_transplantation_v1
residual_output_adapter__xplant,residual_output_adapter,cloned,"[""t"", ""b0""]","[""xri_t"", ""xri_b0""]",xri_t,true,influences_bi,"[""b0""]",results/cross_netlist_cut_transplantation/artifacts/residual_output_adapter.transplanted_source.blif,,cross_netlist_cut_transplantation_v1
grow_forward_region__xplant,grow_forward_region,cloned,"[""t"", ""b0"", ""b1""]","[""xri_t"", ""xri_b0"", ""xri_b1""]",xri_t,true,influences_bi,"[""b0"", ""b1""]",results/cross_netlist_cut_transplantation/artifacts/grow_forward_region.transplanted_source.blif,,cross_netlist_cut_transplantation_v1
affine_transplant__xplant,affine_transplant,cloned,"[""t"", ""b0"", ""b1""]","[""xri_t"", ""xri_b0"", ""xri_b1""]",xri_t,true,influences_bi,"[""b0"", ""b1""]",results/cross_netlist_cut_transplantation/artifacts/affine_transplant.transplanted_source.blif,,cross_netlist_cut_transplantation_v1
add_add_transplant__xplant,add_add_transplant,cloned,"[""t"", ""b0""]","[""xri_t"", ""xri_b0""]",xri_t,true,influences_bi,"[""b0""]",results/cross_netlist_cut_transplantation/artifacts/add_add_transplant.transplanted_source.blif,,cross_netlist_cut_transplantation_v1
bilinear_transplant__xplant,bilinear_transplant,cloned,"[""t"", ""b0""]","[""xri_t"", ""xri_b0""]",xri_t,true,influences_bi,"[""b0""]",results/cross_netlist_cut_transplantation/artifacts/bilinear_transplant.transplanted_source.blif,,cross_netlist_cut_transplantation_v1
mac_transplant__xplant,mac_transplant,cloned,"[""t"", ""b0""]","[""xri_t"", ""xri_b0""]",xri_t,true,influences_bi,"[""b0""]",results/cross_netlist_cut_transplantation/artifacts/mac_transplant.transplanted_source.blif,,cross_netlist_cut_transplantation_v1
mux_transplant__xplant,mux_transplant,cloned,"[""t"", ""b0""]","[""xri_t"", ""xri_b0""]",xri_t,true,influences_bi,"[""b0""]",results/cross_netlist_cut_transplantation/artifacts/mux_transplant.transplanted_source.blif,,cross_netlist_cut_transplantation_v1
mask_constmul_transplant__xplant,mask_constmul_transplant,cloned,"[""t"", ""b0""]","[""xri_t"", ""xri_b0""]",xri_t,true,influences_bi,"[""b0""]",results/cross_netlist_cut_transplantation/artifacts/mask_constmul_transplant.transplanted_source.blif,,cross_netlist_cut_transplantation_v1
negative_no_input_adapter__xplant,negative_no_input_adapter,not_run_adapter_failed,"[""t"", ""b0""]",[],,true,influences_bi,"[""b0""]",,adapter_failed,cross_netlist_cut_transplantation_v1
negative_no_output_adapter__xplant,negative_no_output_adapter,not_run_adapter_failed,"[""t"", ""b0""]",[],,true,influences_bi,"[""b0""]",,adapter_failed,cross_netlist_cut_transplantation_v1
negative_target_not_influential__xplant,negative_target_not_influential,cloned,"[""t"", ""b0""]","[""xri_t"", ""xri_b0""]",xri_t,true,target_not_influential,[],results/cross_netlist_cut_transplantation/artifacts/negative_target_not_influential.transplanted_source.blif,,cross_netlist_cut_transplantation_v1
negative_whole_design__xplant,negative_whole_design,cloned,"[""t"", ""b0""]","[""xri_t"", ""xri_b0""]",xri_t,true,influences_bi,"[""b0""]",results/cross_netlist_cut_transplantation/artifacts/negative_whole_design.transplanted_source.blif,,cross_netlist_cut_transplantation_v1
negative_global_cec__xplant,negative_global_cec,cloned,"[""t"", ""b0""]","[""xri_t"", ""xri_b0""]",xri_t,true,influences_bi,"[""b0""]",results/cross_netlist_cut_transplantation/artifacts/negative_global_cec.transplanted_source.blif,,cross_netlist_cut_transplantation_v1
