target_id,split,oracle_mode,attempted,region_discovery_status,input_adapter_status,relational_status,output_adapter_status,graph_rewrite_status,global_cec_status,localized_blocker,source_blind_result_file_finalized_before_join,schema_version
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,dev,blind,true,blind_attempted,diagnostic_feasible,blind,insufficient,not_run,not_run,output_interface_sufficiency,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,dev,oracle_optimized_region,true,diagnostic,diagnostic_feasible,diagnostic,diagnostic_still_insufficient,not_run,not_run,output_interface_sufficiency,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,dev,oracle_source_region,true,diagnostic,diagnostic_feasible,diagnostic,diagnostic_still_insufficient,not_run,not_run,output_interface_sufficiency,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,dev,oracle_input_cut,true,diagnostic,diagnostic_feasible,diagnostic,diagnostic_still_insufficient,not_run,not_run,output_interface_sufficiency,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,dev,oracle_output_frontier,true,diagnostic,diagnostic_feasible,diagnostic,diagnostic_still_insufficient,not_run,not_run,output_interface_sufficiency,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,dev,oracle_region_pair_blind_adapters,true,diagnostic,diagnostic_feasible,diagnostic,diagnostic_still_insufficient,not_run,not_run,output_interface_sufficiency,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,dev,full_bounded_oracle_feasibility,true,diagnostic,diagnostic_feasible,diagnostic,diagnostic_still_insufficient,not_run,not_run,no_compact_output_adapter_under_bounds,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,dev,blind,true,blind_attempted,diagnostic_feasible,blind,insufficient,not_run,not_run,output_interface_sufficiency,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,dev,oracle_optimized_region,true,diagnostic,diagnostic_feasible,diagnostic,diagnostic_still_insufficient,not_run,not_run,output_interface_sufficiency,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,dev,oracle_source_region,true,diagnostic,diagnostic_feasible,diagnostic,diagnostic_still_insufficient,not_run,not_run,output_interface_sufficiency,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,dev,oracle_input_cut,true,diagnostic,diagnostic_feasible,diagnostic,diagnostic_still_insufficient,not_run,not_run,output_interface_sufficiency,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,dev,oracle_output_frontier,true,diagnostic,diagnostic_feasible,diagnostic,diagnostic_still_insufficient,not_run,not_run,output_interface_sufficiency,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,dev,oracle_region_pair_blind_adapters,true,diagnostic,diagnostic_feasible,diagnostic,diagnostic_still_insufficient,not_run,not_run,output_interface_sufficiency,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,dev,full_bounded_oracle_feasibility,true,diagnostic,diagnostic_feasible,diagnostic,diagnostic_still_insufficient,not_run,not_run,no_compact_output_adapter_under_bounds,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,dev,blind,true,blind_attempted,diagnostic_feasible,blind,insufficient,not_run,not_run,output_interface_sufficiency,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,dev,oracle_optimized_region,true,diagnostic,diagnostic_feasible,diagnostic,diagnostic_still_insufficient,not_run,not_run,output_interface_sufficiency,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,dev,oracle_source_region,true,diagnostic,diagnostic_feasible,diagnostic,diagnostic_still_insufficient,not_run,not_run,output_interface_sufficiency,true,cross_netlist_cut_transplantation_v1
