adapter_id,candidate_id,benchmark,mode,input_order,output_order,existence_status,solver_result,proof_status,counterexample_available,counterexample_reproduced,runtime_seconds,timeout,rejection_reason,schema_version
permute_invert_adapter__xplant__Eout,permute_invert_adapter__xplant,permute_invert_adapter,direct,"[""b0"", ""z"", ""k""]","[""y"", ""keep""]",adapter_exists,unsat,proven,false,true,0.000034,false,,cross_netlist_cut_transplantation_v1
xor_basis_adapter__xplant__Eout,xor_basis_adapter__xplant,xor_basis_adapter,relational,"[""b0"", ""z"", ""k""]","[""y"", ""keep""]",adapter_exists,unsat,proven,false,true,0.000036,false,,cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter__xplant__Eout,nonlinear_boolean_adapter__xplant,nonlinear_boolean_adapter,relational,"[""b0"", ""z"", ""k""]","[""y"", ""keep""]",adapter_exists,unsat,proven,false,true,0.000099,false,,cross_netlist_cut_transplantation_v1
multi_output_region__xplant__Eout,multi_output_region__xplant,multi_output_region,direct,"[""b0"", ""b1"", ""z"", ""k""]","[""y0"", ""y1"", ""keep""]",adapter_exists,unsat,proven,false,true,0.000041,false,,cross_netlist_cut_transplantation_v1
residual_output_adapter__xplant__Eout,residual_output_adapter__xplant,residual_output_adapter,direct,"[""b0"", ""z"", ""k""]","[""y"", ""keep""]",adapter_exists,unsat,proven,false,true,0.000030,false,,cross_netlist_cut_transplantation_v1
grow_forward_region__xplant__Eout,grow_forward_region__xplant,grow_forward_region,direct,"[""b0"", ""b1"", ""z"", ""k""]","[""y"", ""keep""]",adapter_exists,unsat,proven,false,true,0.000055,false,,cross_netlist_cut_transplantation_v1
affine_transplant__xplant__Eout,affine_transplant__xplant,affine_transplant,direct,"[""b0"", ""b1"", ""z"", ""k""]","[""y0"", ""y1"", ""keep""]",adapter_exists,unsat,proven,false,true,0.000057,false,,cross_netlist_cut_transplantation_v1
add_add_transplant__xplant__Eout,add_add_transplant__xplant,add_add_transplant,direct,"[""b0"", ""z"", ""k""]","[""y"", ""keep""]",adapter_exists,unsat,proven,false,true,0.000048,false,,cross_netlist_cut_transplantation_v1
bilinear_transplant__xplant__Eout,bilinear_transplant__xplant,bilinear_transplant,relational,"[""b0"", ""z"", ""k""]","[""y"", ""keep""]",adapter_exists,unsat,proven,false,true,0.000048,false,,cross_netlist_cut_transplantation_v1
mac_transplant__xplant__Eout,mac_transplant__xplant,mac_transplant,direct,"[""b0"", ""z"", ""k""]","[""y"", ""keep""]",adapter_exists,unsat,proven,false,true,0.000048,false,,cross_netlist_cut_transplantation_v1
mux_transplant__xplant__Eout,mux_transplant__xplant,mux_transplant,direct,"[""b0"", ""z"", ""k""]","[""y"", ""keep""]",adapter_exists,unsat,proven,false,true,0.000053,false,,cross_netlist_cut_transplantation_v1
mask_constmul_transplant__xplant__Eout,mask_constmul_transplant__xplant,mask_constmul_transplant,direct,"[""b0"", ""z"", ""k""]","[""y"", ""keep""]",adapter_exists,unsat,proven,false,true,0.000021,false,,cross_netlist_cut_transplantation_v1
negative_no_input_adapter__xplant__Eout,negative_no_input_adapter__xplant,negative_no_input_adapter,direct,"[""b0"", ""k""]","[""y"", ""keep""]",adapter_exists,unsat,proven,false,true,0.000018,false,,cross_netlist_cut_transplantation_v1
negative_no_output_adapter__xplant__Eout,negative_no_output_adapter__xplant,negative_no_output_adapter,direct,"[""b0"", ""k""]","[""y"", ""keep""]",insufficient_interface,sat,disproven,true,true,0.000005,false,two_copy_counterexample,cross_netlist_cut_transplantation_v1
negative_target_not_influential__xplant__Eout,negative_target_not_influential__xplant,negative_target_not_influential,direct,"[""b0"", ""z"", ""k""]","[""y"", ""keep""]",adapter_exists,unsat,proven,false,true,0.000013,false,,cross_netlist_cut_transplantation_v1
negative_whole_design__xplant__Eout,negative_whole_design__xplant,negative_whole_design,direct,"[""b0""]","[""y""]",adapter_exists,unsat,proven,false,true,0.000011,false,,cross_netlist_cut_transplantation_v1
negative_global_cec__xplant__Eout,negative_global_cec__xplant,negative_global_cec,direct,"[""b0"", ""k""]","[""y"", ""keep""]",adapter_exists,unsat,proven,false,true,0.000016,false,,cross_netlist_cut_transplantation_v1
