candidate_id,benchmark,relational_mode,latent_width,latent_interface,nonconstant,identity_vacuous,proof_status,rejection_reason,schema_version
permute_invert_adapter__xplant,permute_invert_adapter,false,0,[],false,false,not_used,,cross_netlist_cut_transplantation_v1
xor_basis_adapter__xplant,xor_basis_adapter,true,1,"[""k0""]",true,false,proved,,cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter__xplant,nonlinear_boolean_adapter,true,1,"[""k0""]",true,false,proved,,cross_netlist_cut_transplantation_v1
multi_output_region__xplant,multi_output_region,false,0,[],false,false,not_used,,cross_netlist_cut_transplantation_v1
residual_output_adapter__xplant,residual_output_adapter,false,0,[],false,false,not_used,,cross_netlist_cut_transplantation_v1
grow_forward_region__xplant,grow_forward_region,false,0,[],false,false,not_used,,cross_netlist_cut_transplantation_v1
affine_transplant__xplant,affine_transplant,false,0,[],false,false,not_used,,cross_netlist_cut_transplantation_v1
add_add_transplant__xplant,add_add_transplant,false,0,[],false,false,not_used,,cross_netlist_cut_transplantation_v1
bilinear_transplant__xplant,bilinear_transplant,true,1,"[""k0""]",true,false,proved,,cross_netlist_cut_transplantation_v1
mac_transplant__xplant,mac_transplant,false,0,[],false,false,not_used,,cross_netlist_cut_transplantation_v1
mux_transplant__xplant,mux_transplant,false,0,[],false,false,not_used,,cross_netlist_cut_transplantation_v1
mask_constmul_transplant__xplant,mask_constmul_transplant,false,0,[],false,false,not_used,,cross_netlist_cut_transplantation_v1
negative_no_input_adapter__xplant,negative_no_input_adapter,false,0,[],false,false,not_used,,cross_netlist_cut_transplantation_v1
negative_no_output_adapter__xplant,negative_no_output_adapter,false,0,[],false,false,not_used,,cross_netlist_cut_transplantation_v1
negative_target_not_influential__xplant,negative_target_not_influential,false,0,[],false,false,not_used,,cross_netlist_cut_transplantation_v1
negative_whole_design__xplant,negative_whole_design,false,0,[],false,false,not_used,,cross_netlist_cut_transplantation_v1
negative_global_cec__xplant,negative_global_cec,false,0,[],false,false,not_used,,cross_netlist_cut_transplantation_v1
