stage,queries,timeouts,total_runtime_seconds,max_runtime_seconds,schema_version
controlled_candidate,5,0,0.083675,0.083676,cross_netlist_cut_transplantation_v1
controlled_candidate,5,0,0.074542,0.074542,cross_netlist_cut_transplantation_v1
controlled_candidate,5,0,0.080972,0.080973,cross_netlist_cut_transplantation_v1
controlled_candidate,5,0,0.078166,0.078166,cross_netlist_cut_transplantation_v1
controlled_candidate,5,0,0.077752,0.077752,cross_netlist_cut_transplantation_v1
controlled_candidate,5,0,0.077211,0.077211,cross_netlist_cut_transplantation_v1
controlled_candidate,5,0,0.074649,0.074650,cross_netlist_cut_transplantation_v1
controlled_candidate,5,0,0.077583,0.077584,cross_netlist_cut_transplantation_v1
controlled_candidate,5,0,0.076404,0.076404,cross_netlist_cut_transplantation_v1
controlled_candidate,5,0,0.074705,0.074706,cross_netlist_cut_transplantation_v1
controlled_candidate,5,0,0.078709,0.078710,cross_netlist_cut_transplantation_v1
controlled_candidate,5,0,0.071445,0.071445,cross_netlist_cut_transplantation_v1
controlled_candidate,5,0,0.000817,0.000818,cross_netlist_cut_transplantation_v1
controlled_candidate,5,0,0.000561,0.000562,cross_netlist_cut_transplantation_v1
controlled_candidate,5,0,0.039264,0.039265,cross_netlist_cut_transplantation_v1
controlled_candidate,5,0,0.039529,0.039530,cross_netlist_cut_transplantation_v1
controlled_candidate,5,0,0.047830,0.047831,cross_netlist_cut_transplantation_v1
total,51,0,1.053814,0.083676,cross_netlist_cut_transplantation_v1
