target_id,candidate_id,benchmark,split,target_origin,optimized_target,target_selection_reason,fanout_score,region_score,adapter_score,combined_score,selected_for_attempt,rejection_reason,source_blind,schema_version
permute_invert_adapter__t,permute_invert_adapter__xplant,permute_invert_adapter,heldout,controlled_source_blind,t,utility_ranked_controlled_target,2,4,4,10,true,,true,cross_netlist_cut_transplantation_v1
xor_basis_adapter__t,xor_basis_adapter__xplant,xor_basis_adapter,dev,controlled_source_blind,t,utility_ranked_controlled_target,2,4,4,10,true,,true,cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter__t,nonlinear_boolean_adapter__xplant,nonlinear_boolean_adapter,dev,controlled_source_blind,t,utility_ranked_controlled_target,2,4,4,10,true,,true,cross_netlist_cut_transplantation_v1
multi_output_region__t,multi_output_region__xplant,multi_output_region,dev,controlled_source_blind,t,utility_ranked_controlled_target,2,4,4,10,true,,true,cross_netlist_cut_transplantation_v1
residual_output_adapter__t,residual_output_adapter__xplant,residual_output_adapter,heldout,controlled_source_blind,t,utility_ranked_controlled_target,2,4,4,10,true,,true,cross_netlist_cut_transplantation_v1
grow_forward_region__t,grow_forward_region__xplant,grow_forward_region,dev,controlled_source_blind,t,utility_ranked_controlled_target,2,4,4,10,true,,true,cross_netlist_cut_transplantation_v1
affine_transplant__t,affine_transplant__xplant,affine_transplant,dev,controlled_source_blind,t,utility_ranked_controlled_target,2,4,4,10,true,,true,cross_netlist_cut_transplantation_v1
add_add_transplant__t,add_add_transplant__xplant,add_add_transplant,dev,controlled_source_blind,t,utility_ranked_controlled_target,2,4,4,10,true,,true,cross_netlist_cut_transplantation_v1
bilinear_transplant__t,bilinear_transplant__xplant,bilinear_transplant,heldout,controlled_source_blind,t,utility_ranked_controlled_target,2,4,4,10,true,,true,cross_netlist_cut_transplantation_v1
mac_transplant__t,mac_transplant__xplant,mac_transplant,heldout,controlled_source_blind,t,utility_ranked_controlled_target,2,4,4,10,true,,true,cross_netlist_cut_transplantation_v1
mux_transplant__t,mux_transplant__xplant,mux_transplant,dev,controlled_source_blind,t,utility_ranked_controlled_target,2,4,4,10,true,,true,cross_netlist_cut_transplantation_v1
mask_constmul_transplant__t,mask_constmul_transplant__xplant,mask_constmul_transplant,dev,controlled_source_blind,t,utility_ranked_controlled_target,2,4,4,10,true,,true,cross_netlist_cut_transplantation_v1
negative_no_input_adapter__t,negative_no_input_adapter__xplant,negative_no_input_adapter,dev,controlled_source_blind,t,utility_ranked_controlled_target,2,4,4,10,true,,true,cross_netlist_cut_transplantation_v1
negative_no_output_adapter__t,negative_no_output_adapter__xplant,negative_no_output_adapter,dev,controlled_source_blind,t,utility_ranked_controlled_target,2,4,4,10,true,,true,cross_netlist_cut_transplantation_v1
negative_target_not_influential__t,negative_target_not_influential__xplant,negative_target_not_influential,dev,controlled_source_blind,t,utility_ranked_controlled_target,2,4,4,10,true,,true,cross_netlist_cut_transplantation_v1
negative_whole_design__t,negative_whole_design__xplant,negative_whole_design,dev,controlled_source_blind,t,utility_ranked_controlled_target,2,4,4,10,true,,true,cross_netlist_cut_transplantation_v1
negative_global_cec__t,negative_global_cec__xplant,negative_global_cec,dev,controlled_source_blind,t,utility_ranked_controlled_target,2,4,4,10,true,,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,real_xplant_0001,generated_adder_4,dev,previous_active_source_failure,new_n17,revisit_no_relevant_source_consumer_window_under_bounds,1,1,0,2,true,,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,real_xplant_0002,generated_adder_4,dev,previous_active_source_failure,new_n17,revisit_no_relevant_source_consumer_window_under_bounds,1,1,0,2,true,,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,real_xplant_0003,generated_adder_4,dev,previous_active_source_failure,new_n19,revisit_no_relevant_source_consumer_window_under_bounds,1,1,0,2,true,,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,real_xplant_0004,generated_adder_4,dev,previous_active_source_failure,new_n17,revisit_no_relevant_source_consumer_window_under_bounds,1,1,0,2,true,,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,real_xplant_0005,generated_adder_4,heldout,previous_active_source_failure,new_n17,revisit_no_relevant_source_consumer_window_under_bounds,1,1,0,2,true,,true,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n19,real_xplant_0006,generated_adder_4,dev,previous_active_source_failure,new_n19,revisit_no_relevant_source_consumer_window_under_bounds,1,1,0,2,true,,true,cross_netlist_cut_transplantation_v1
