attempt_id,candidate_id,benchmark,source_target,optimized_target,formal_status,solver_result,formal_backend,formal_evidence_level,counterexample_available,counterexample,counterexample_reproduced,runtime_seconds,timeout,unsupported_reason,schema_version
permute_invert_adapter__xplant__rewrite,permute_invert_adapter__xplant,permute_invert_adapter,xri_t,t,proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,{},true,0.000622,false,,active_source_counterpart_refactoring_v1
xor_basis_adapter__xplant__rewrite,xor_basis_adapter__xplant,xor_basis_adapter,xri_t,t,proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,{},true,0.000618,false,,active_source_counterpart_refactoring_v1
nonlinear_boolean_adapter__xplant__rewrite,nonlinear_boolean_adapter__xplant,nonlinear_boolean_adapter,xri_t,t,proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,{},true,0.002466,false,,active_source_counterpart_refactoring_v1
multi_output_region__xplant__rewrite,multi_output_region__xplant,multi_output_region,xri_t,t,proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,{},true,0.000802,false,,active_source_counterpart_refactoring_v1
residual_output_adapter__xplant__rewrite,residual_output_adapter__xplant,residual_output_adapter,xri_t,t,proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,{},true,0.000618,false,,active_source_counterpart_refactoring_v1
grow_forward_region__xplant__rewrite,grow_forward_region__xplant,grow_forward_region,xri_t,t,proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,{},true,0.001516,false,,active_source_counterpart_refactoring_v1
affine_transplant__xplant__rewrite,affine_transplant__xplant,affine_transplant,xri_t,t,proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,{},true,0.000941,false,,active_source_counterpart_refactoring_v1
add_add_transplant__xplant__rewrite,add_add_transplant__xplant,add_add_transplant,xri_t,t,proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,{},true,0.001358,false,,active_source_counterpart_refactoring_v1
bilinear_transplant__xplant__rewrite,bilinear_transplant__xplant,bilinear_transplant,xri_t,t,proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,{},true,0.001340,false,,active_source_counterpart_refactoring_v1
mac_transplant__xplant__rewrite,mac_transplant__xplant,mac_transplant,xri_t,t,proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,{},true,0.001338,false,,active_source_counterpart_refactoring_v1
mux_transplant__xplant__rewrite,mux_transplant__xplant,mux_transplant,xri_t,t,proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,{},true,0.001335,false,,active_source_counterpart_refactoring_v1
mask_constmul_transplant__xplant__rewrite,mask_constmul_transplant__xplant,mask_constmul_transplant,xri_t,t,proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,{},true,0.000384,false,,active_source_counterpart_refactoring_v1
negative_no_input_adapter__xplant__rewrite,negative_no_input_adapter__xplant,negative_no_input_adapter,xri_t,t,not_run,not_run,not_run,unresolved,false,{},true,0.000000,false,target_not_run,cross_netlist_cut_transplantation_v1
negative_no_output_adapter__xplant__rewrite,negative_no_output_adapter__xplant,negative_no_output_adapter,xri_t,t,not_run,not_run,not_run,unresolved,false,{},true,0.000000,false,target_not_run,cross_netlist_cut_transplantation_v1
negative_target_not_influential__xplant__rewrite,negative_target_not_influential__xplant,negative_target_not_influential,xri_t,t,proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,{},true,0.000350,false,,active_source_counterpart_refactoring_v1
negative_whole_design__xplant__rewrite,negative_whole_design__xplant,negative_whole_design,xri_t,t,proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,{},true,0.000204,false,,active_source_counterpart_refactoring_v1
negative_global_cec__xplant__rewrite,negative_global_cec__xplant,negative_global_cec,xri_t,t,proven_counterpart_equivalent,unsat_exhaustive,exhaustive_node_miter,formal_exhaustive,false,{},true,0.000261,false,,active_source_counterpart_refactoring_v1
