pair_id,target_instance_id,target_id,boundary_id,trajectory_id,method,transition,from_checkpoint,to_checkpoint,source_checkpoint_artifact,optimized_checkpoint_artifact,source_artifact,optimized_artifact,optimized_target_node,source_checkpoint_sha256,optimized_checkpoint_sha256,source_artifact_sha256,optimized_artifact_sha256,support,consumer_identities,materialization_status,source_vs_optimized_cec,blocker,schema_version
d51ad725072b333e,4c33dedaa47329cb,controlled_and_factor__b0,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,functional_decomposition,success_to_failure,controlled__controlled_and_factor__mild_balance_rewrite__cp000_source,controlled__controlled_and_factor__mild_balance_rewrite__cp001_strash_1,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__mild_balance_rewrite/cp000_source.blif,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__mild_balance_rewrite/cp001_strash_1.blif,results/evidence_advancement/artifacts/materialized_replay_pairs/d51ad725072b333e.source.blif,results/evidence_advancement/artifacts/materialized_replay_pairs/d51ad725072b333e.optimized.blif,pcva_4c33dedaa47329cb,33d6a7d26e633cc6d775df7d662a72017f607c86e53ad7ff0f578a874f61960b,fe45721eb06d06ac7be5dd66f7869068fbe78b7ebef21d2d9fd2f94e5e8b28c2,ba0f42eb8c8872f2e7a0563fa20f8e58f325a34a67233f4511725f774fa386d1,b632c4b61b39a6cfe9fc25d3022c93c8a1c405d8399b78943824cff256e8a6bf,"[""x0"", ""x1""]","[""y0""]",materialized_replay_pair,equivalent,,evidence_advancement_v1
0daf84d51b0a26de,ac8c960f769cf44f,controlled_and_factor__b0,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,functional_decomposition,failure_to_success,controlled__controlled_and_factor__mild_balance_rewrite__cp002_balance_1,controlled__controlled_and_factor__mild_balance_rewrite__cp003_rewrite_1,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__mild_balance_rewrite/cp000_source.blif,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__mild_balance_rewrite/cp003_rewrite_1.blif,results/evidence_advancement/artifacts/materialized_replay_pairs/0daf84d51b0a26de.source.blif,results/evidence_advancement/artifacts/materialized_replay_pairs/0daf84d51b0a26de.optimized.blif,pcva_ac8c960f769cf44f,33d6a7d26e633cc6d775df7d662a72017f607c86e53ad7ff0f578a874f61960b,ee43a9a1bdf7905e6ac5720b2ae9be242e36d8b2715d81dfa3539d326de58ebc,5bf14c08aa7b59c67347eed596307e93d59c0814c061d90ad3bd1adbab862efd,d3f4ad912f4cffb1d42e05291a714598507e4b9dfa0ab923334cd0dfa4ded07a,"[""x0"", ""x1""]","[""y0""]",materialized_replay_pair,equivalent,,evidence_advancement_v1
7796980cb9481867,7c536566403ac7a6,controlled_and_factor__b0,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,structural,success_to_failure,controlled__controlled_and_factor__mild_balance_rewrite__cp000_source,controlled__controlled_and_factor__mild_balance_rewrite__cp001_strash_1,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__mild_balance_rewrite/cp000_source.blif,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__mild_balance_rewrite/cp001_strash_1.blif,results/evidence_advancement/artifacts/materialized_replay_pairs/7796980cb9481867.source.blif,results/evidence_advancement/artifacts/materialized_replay_pairs/7796980cb9481867.optimized.blif,pcva_7c536566403ac7a6,33d6a7d26e633cc6d775df7d662a72017f607c86e53ad7ff0f578a874f61960b,fe45721eb06d06ac7be5dd66f7869068fbe78b7ebef21d2d9fd2f94e5e8b28c2,c72871f5f3eaa86625abf3609248d6adbc81fd50d006cc98f96d46f51dcf57a5,5ab6540caf529b2486827dd5a6d455f9508901f990db2b8e4aaffbf2e2e48a86,"[""x0"", ""x1""]","[""y0""]",materialized_replay_pair,equivalent,,evidence_advancement_v1
a1e78b720afaf053,7f693f960b826383,controlled_and_factor__b0,controlled_and_factor__b0,controlled__controlled_and_factor__refactor_dc2,functional_decomposition,success_to_failure,controlled__controlled_and_factor__refactor_dc2__cp000_source,controlled__controlled_and_factor__refactor_dc2__cp001_strash_1,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__refactor_dc2/cp000_source.blif,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__refactor_dc2/cp001_strash_1.blif,results/evidence_advancement/artifacts/materialized_replay_pairs/a1e78b720afaf053.source.blif,results/evidence_advancement/artifacts/materialized_replay_pairs/a1e78b720afaf053.optimized.blif,pcva_7f693f960b826383,33d6a7d26e633cc6d775df7d662a72017f607c86e53ad7ff0f578a874f61960b,4fa3cfe6ac296fd1ca6c28f5c3860829b228ce1a40c682397d7ed2e9a03ead97,11cd8226d20a5167b5f6a8c0eda492539025100e181d51d1db2a5e072dc4b354,037df57c6a3123e77ad4d6a6317770334006116aedba008b59d2e03357f2f277,"[""x0"", ""x1""]","[""y0""]",materialized_replay_pair,equivalent,,evidence_advancement_v1
9a98fa2b8a02de0e,f746c0dba7f858f4,controlled_and_factor__b0,controlled_and_factor__b0,controlled__controlled_and_factor__refactor_dc2,functional_decomposition,failure_to_success,controlled__controlled_and_factor__refactor_dc2__cp001_strash_1,controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__refactor_dc2/cp000_source.blif,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__refactor_dc2/cp002_refactor_1.blif,results/evidence_advancement/artifacts/materialized_replay_pairs/9a98fa2b8a02de0e.source.blif,results/evidence_advancement/artifacts/materialized_replay_pairs/9a98fa2b8a02de0e.optimized.blif,pcva_f746c0dba7f858f4,33d6a7d26e633cc6d775df7d662a72017f607c86e53ad7ff0f578a874f61960b,6929a53dba23fc902e548fb3916a611b1846fd0b7964b5555a316a0df4b6ac19,6324a6d752f15af3be3fb88bb6af8b914db5a80cfa98bf0df38dbfdb9b067d62,8ceedfa2a4d13fb10612bcf276dd1499fda72b01aefdfa8c64fc2d1b14d6e265,"[""x0"", ""x1""]","[""y0""]",materialized_replay_pair,equivalent,,evidence_advancement_v1
1b74b01a6db96c64,236223c12059e0be,controlled_and_factor__b0,controlled_and_factor__b0,controlled__controlled_and_factor__refactor_dc2,structural,success_to_failure,controlled__controlled_and_factor__refactor_dc2__cp000_source,controlled__controlled_and_factor__refactor_dc2__cp001_strash_1,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__refactor_dc2/cp000_source.blif,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__refactor_dc2/cp001_strash_1.blif,results/evidence_advancement/artifacts/materialized_replay_pairs/1b74b01a6db96c64.source.blif,results/evidence_advancement/artifacts/materialized_replay_pairs/1b74b01a6db96c64.optimized.blif,pcva_236223c12059e0be,33d6a7d26e633cc6d775df7d662a72017f607c86e53ad7ff0f578a874f61960b,4fa3cfe6ac296fd1ca6c28f5c3860829b228ce1a40c682397d7ed2e9a03ead97,351cecb59ca31b436f746ca5df436651a49d7a6b97b6c6428c27f543622cfc4c,bf8def1aa3df280e21e55e436a46d8d421e807375cdb63a6c76a6a450e572ed4,"[""x0"", ""x1""]","[""y0""]",materialized_replay_pair,equivalent,,evidence_advancement_v1
a0585e1a667dcb44,6d9f45f91fa81ec2,controlled_and_factor__b0,controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,functional_decomposition,success_to_failure,controlled__controlled_and_factor__rewrite_then_balance__cp000_source,controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__rewrite_then_balance/cp000_source.blif,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__rewrite_then_balance/cp001_strash_1.blif,results/evidence_advancement/artifacts/materialized_replay_pairs/a0585e1a667dcb44.source.blif,results/evidence_advancement/artifacts/materialized_replay_pairs/a0585e1a667dcb44.optimized.blif,pcva_6d9f45f91fa81ec2,33d6a7d26e633cc6d775df7d662a72017f607c86e53ad7ff0f578a874f61960b,fe45721eb06d06ac7be5dd66f7869068fbe78b7ebef21d2d9fd2f94e5e8b28c2,728e2aa465efe8d999a00f890fffc589dbfd0e64d724b57bd972ca2cddae17b8,12a6c1c7eee5a22646852bf964794a6ea9fa3f42a0674d2a1aaa2b97c4f6b4ae,"[""x0"", ""x1""]","[""y0""]",materialized_replay_pair,equivalent,,evidence_advancement_v1
fbedf2676894a82f,bcbe9070a681b6f5,controlled_and_factor__b0,controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,functional_decomposition,failure_to_success,controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1,controlled__controlled_and_factor__rewrite_then_balance__cp002_rewrite_1,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__rewrite_then_balance/cp000_source.blif,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__rewrite_then_balance/cp002_rewrite_1.blif,results/evidence_advancement/artifacts/materialized_replay_pairs/fbedf2676894a82f.source.blif,results/evidence_advancement/artifacts/materialized_replay_pairs/fbedf2676894a82f.optimized.blif,pcva_bcbe9070a681b6f5,33d6a7d26e633cc6d775df7d662a72017f607c86e53ad7ff0f578a874f61960b,54ce214415fe4e952607b89dfb388921443f9d90738c3c1927e7c1226b03f7d8,a6371e3caba0c7f79ddcbca47bfc965479cf930ebcb84babe1f64114aec4b829,47ed07c1b8b81c58fa5b4e7cc168d45dc7cb36dcbe873904a408e206ff23c47d,"[""x0"", ""x1""]","[""y0""]",materialized_replay_pair,equivalent,,evidence_advancement_v1
363cbacef6a09318,7c0b8d5ac3fccb5e,controlled_and_factor__b0,controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,structural,success_to_failure,controlled__controlled_and_factor__rewrite_then_balance__cp000_source,controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__rewrite_then_balance/cp000_source.blif,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_and_factor__rewrite_then_balance/cp001_strash_1.blif,results/evidence_advancement/artifacts/materialized_replay_pairs/363cbacef6a09318.source.blif,results/evidence_advancement/artifacts/materialized_replay_pairs/363cbacef6a09318.optimized.blif,pcva_7c0b8d5ac3fccb5e,33d6a7d26e633cc6d775df7d662a72017f607c86e53ad7ff0f578a874f61960b,fe45721eb06d06ac7be5dd66f7869068fbe78b7ebef21d2d9fd2f94e5e8b28c2,c52dc06d635dc961d516d78f001f9c182b0a9c283bd25a3d3261481085c4cb11,39cbdc79a1d1c9007e99f91c9a5e5de692a380c873a0ec1ddacacf3999c23bf3,"[""x0"", ""x1""]","[""y0""]",materialized_replay_pair,equivalent,,evidence_advancement_v1
198a0379defecab2,764b2db5fb82b554,controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,functional_decomposition,success_to_failure,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp000_source,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp001_strash_1,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__mild_balance_rewrite/cp000_source.blif,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_nonmonotonic_factor__mild_balance_rewrite/cp001_strash_1.blif,results/evidence_advancement/artifacts/materialized_replay_pairs/198a0379defecab2.source.blif,results/evidence_advancement/artifacts/materialized_replay_pairs/198a0379defecab2.optimized.blif,pcva_764b2db5fb82b554,4320012065e8c9b01d98afc4b28d3f410cfb9314f8785eaac3758dfc2c9d8527,dcc75f0e625787ae6377917d62113d76335b2ee21a62b89d5eda833c8c35b93e,1f96eb2f980a3084f38e54e816046915cc2c94c05dc87343f627b2df91c53b8c,68fd5c4574c4b3063e8100e6254e2f4e291a7115ebb777768e89022061f939cc,"[""x0"", ""x1""]","[""y0""]",materialized_replay_pair,equivalent,,evidence_advancement_v1
