anchor_mode,avg_extension_ratio,avg_runtime_seconds,avg_search_states,benchmark,coi_name,optimization,rows,search_mode,success_rate,successes
exact_only,0.0,0.000246,1.0,generated_adder_4,adder_bit1_carry_sum_region,balance,1,cost_guided,1.0,1
exact_only,0.0,6.4e-05,1.0,generated_adder_4,adder_bit1_carry_sum_region,balance,1,first_frontier,1.0,1
formal_all,0.0,0.00023,1.0,generated_adder_4,adder_bit1_carry_sum_region,balance,1,cost_guided,1.0,1
formal_all,0.0,5e-05,1.0,generated_adder_4,adder_bit1_carry_sum_region,balance,1,first_frontier,1.0,1
exact_only,0.20689655172413793,0.003516,17.0,generated_adder_4,adder_bit1_carry_sum_region,dc2,1,cost_guided,0.0,0
exact_only,0.20689655172413793,5.8e-05,1.0,generated_adder_4,adder_bit1_carry_sum_region,dc2,1,first_frontier,0.0,0
formal_all,0.20689655172413793,0.003498,17.0,generated_adder_4,adder_bit1_carry_sum_region,dc2,1,cost_guided,0.0,0
formal_all,0.20689655172413793,5.7e-05,1.0,generated_adder_4,adder_bit1_carry_sum_region,dc2,1,first_frontier,0.0,0
exact_only,0.20689655172413793,0.003524,17.0,generated_adder_4,adder_bit1_carry_sum_region,resyn2,1,cost_guided,0.0,0
exact_only,0.20689655172413793,4.8e-05,1.0,generated_adder_4,adder_bit1_carry_sum_region,resyn2,1,first_frontier,0.0,0
formal_all,0.20689655172413793,0.003465,17.0,generated_adder_4,adder_bit1_carry_sum_region,resyn2,1,cost_guided,0.0,0
formal_all,0.20689655172413793,4.6e-05,1.0,generated_adder_4,adder_bit1_carry_sum_region,resyn2,1,first_frontier,0.0,0
exact_only,0.0,0.000224,1.0,generated_adder_4,adder_bit1_carry_sum_region,rewrite,1,cost_guided,1.0,1
exact_only,0.0,4.2e-05,1.0,generated_adder_4,adder_bit1_carry_sum_region,rewrite,1,first_frontier,1.0,1
formal_all,0.0,0.000229,1.0,generated_adder_4,adder_bit1_carry_sum_region,rewrite,1,cost_guided,1.0,1
formal_all,0.0,4.3e-05,1.0,generated_adder_4,adder_bit1_carry_sum_region,rewrite,1,first_frontier,1.0,1
exact_only,0.0,0.000131,1.0,generated_multiplier_2,multiplier_middle_products,balance,1,cost_guided,1.0,1
exact_only,0.0,3.4e-05,1.0,generated_multiplier_2,multiplier_middle_products,balance,1,first_frontier,1.0,1
formal_all,0.0,0.000138,1.0,generated_multiplier_2,multiplier_middle_products,balance,1,cost_guided,1.0,1
formal_all,0.0,5.3e-05,1.0,generated_multiplier_2,multiplier_middle_products,balance,1,first_frontier,1.0,1
exact_only,0.0,0.000135,1.0,generated_multiplier_2,multiplier_middle_products,dc2,1,cost_guided,1.0,1
exact_only,0.0,3.9e-05,1.0,generated_multiplier_2,multiplier_middle_products,dc2,1,first_frontier,1.0,1
formal_all,0.0,0.000138,1.0,generated_multiplier_2,multiplier_middle_products,dc2,1,cost_guided,1.0,1
formal_all,0.0,4.5e-05,1.0,generated_multiplier_2,multiplier_middle_products,dc2,1,first_frontier,1.0,1
exact_only,0.0,0.000131,1.0,generated_multiplier_2,multiplier_middle_products,resyn2,1,cost_guided,1.0,1
exact_only,0.0,3.8e-05,1.0,generated_multiplier_2,multiplier_middle_products,resyn2,1,first_frontier,1.0,1
formal_all,0.0,0.000134,1.0,generated_multiplier_2,multiplier_middle_products,resyn2,1,cost_guided,1.0,1
formal_all,0.0,4e-05,1.0,generated_multiplier_2,multiplier_middle_products,resyn2,1,first_frontier,1.0,1
exact_only,0.0,0.00013,1.0,generated_multiplier_2,multiplier_middle_products,rewrite,1,cost_guided,1.0,1
exact_only,0.0,3.8e-05,1.0,generated_multiplier_2,multiplier_middle_products,rewrite,1,first_frontier,1.0,1
formal_all,0.0,0.000132,1.0,generated_multiplier_2,multiplier_middle_products,rewrite,1,cost_guided,1.0,1
formal_all,0.0,4e-05,1.0,generated_multiplier_2,multiplier_middle_products,rewrite,1,first_frontier,1.0,1
exact_only,0.0,0.000107,1.0,generated_mux_tree_4,mux_tree_root,balance,1,cost_guided,1.0,1
exact_only,0.0,3.2e-05,1.0,generated_mux_tree_4,mux_tree_root,balance,1,first_frontier,1.0,1
formal_all,0.0,0.000101,1.0,generated_mux_tree_4,mux_tree_root,balance,1,cost_guided,1.0,1
formal_all,0.0,3e-05,1.0,generated_mux_tree_4,mux_tree_root,balance,1,first_frontier,1.0,1
exact_only,0.16666666666666666,0.000104,1.0,generated_mux_tree_4,mux_tree_root,dc2,1,cost_guided,0.0,0
exact_only,0.16666666666666666,3.2e-05,1.0,generated_mux_tree_4,mux_tree_root,dc2,1,first_frontier,0.0,0
formal_all,0.16666666666666666,0.000109,1.0,generated_mux_tree_4,mux_tree_root,dc2,1,cost_guided,0.0,0
formal_all,0.16666666666666666,4.2e-05,1.0,generated_mux_tree_4,mux_tree_root,dc2,1,first_frontier,0.0,0
exact_only,1.0,0.000356,3.0,generated_mux_tree_4,mux_tree_root,resyn2,1,cost_guided,0.0,0
exact_only,0.6666666666666666,4e-05,1.0,generated_mux_tree_4,mux_tree_root,resyn2,1,first_frontier,0.0,0
formal_all,1.0,0.000343,3.0,generated_mux_tree_4,mux_tree_root,resyn2,1,cost_guided,0.0,0
formal_all,0.6666666666666666,4.1e-05,1.0,generated_mux_tree_4,mux_tree_root,resyn2,1,first_frontier,0.0,0
exact_only,0.0,9.7e-05,1.0,generated_mux_tree_4,mux_tree_root,rewrite,1,cost_guided,1.0,1
exact_only,0.0,2.8e-05,1.0,generated_mux_tree_4,mux_tree_root,rewrite,1,first_frontier,1.0,1
formal_all,0.0,0.000105,1.0,generated_mux_tree_4,mux_tree_root,rewrite,1,cost_guided,1.0,1
formal_all,0.0,3.4e-05,1.0,generated_mux_tree_4,mux_tree_root,rewrite,1,first_frontier,1.0,1
exact_only,0.0,0.000177,1.0,generated_mux_tree_8,mux_tree_upper_root,balance,1,cost_guided,1.0,1
exact_only,0.0,3.7e-05,1.0,generated_mux_tree_8,mux_tree_upper_root,balance,1,first_frontier,1.0,1
formal_all,0.0,0.000185,1.0,generated_mux_tree_8,mux_tree_upper_root,balance,1,cost_guided,1.0,1
formal_all,0.0,4.3e-05,1.0,generated_mux_tree_8,mux_tree_upper_root,balance,1,first_frontier,1.0,1
exact_only,0.29411764705882354,0.00017,1.0,generated_mux_tree_8,mux_tree_upper_root,dc2,1,cost_guided,0.0,0
exact_only,0.29411764705882354,4.3e-05,1.0,generated_mux_tree_8,mux_tree_upper_root,dc2,1,first_frontier,0.0,0
formal_all,0.29411764705882354,0.000176,1.0,generated_mux_tree_8,mux_tree_upper_root,dc2,1,cost_guided,0.0,0
formal_all,0.29411764705882354,3.9e-05,1.0,generated_mux_tree_8,mux_tree_upper_root,dc2,1,first_frontier,0.0,0
exact_only,0.29411764705882354,0.000192,1.0,generated_mux_tree_8,mux_tree_upper_root,resyn2,1,cost_guided,0.0,0
exact_only,0.29411764705882354,4.8e-05,1.0,generated_mux_tree_8,mux_tree_upper_root,resyn2,1,first_frontier,0.0,0
formal_all,0.29411764705882354,0.000183,1.0,generated_mux_tree_8,mux_tree_upper_root,resyn2,1,cost_guided,0.0,0
formal_all,0.29411764705882354,4.5e-05,1.0,generated_mux_tree_8,mux_tree_upper_root,resyn2,1,first_frontier,0.0,0
exact_only,0.0,0.000175,1.0,generated_mux_tree_8,mux_tree_upper_root,rewrite,1,cost_guided,1.0,1
exact_only,0.0,3.5e-05,1.0,generated_mux_tree_8,mux_tree_upper_root,rewrite,1,first_frontier,1.0,1
formal_all,0.0,0.000206,1.0,generated_mux_tree_8,mux_tree_upper_root,rewrite,1,cost_guided,1.0,1
formal_all,0.0,4e-05,1.0,generated_mux_tree_8,mux_tree_upper_root,rewrite,1,first_frontier,1.0,1
