certificate_id,target_id,benchmark,split,failure_group,source_path,optimized_path,source_hash,optimized_hash,pi_alignment_hash,target_vector,universe_id,universe_hash,universe_mode,universe_size,locality_radius,tested_interface,counterexample_ids,hitting_set_constraints_hash,proved_lower_bound,best_upper_bound,exact_minimum_status,solver_backend,solver_status,timeout,proof_runtime,reproducibility_seed,failure_reason,classification,diagnostic_only,source_blind,schema_version
1133736c5b2b1e47,min1,min1,controlled,controlled,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/formal_locality_barriers/controlled_benchmarks/min1.source.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/formal_locality_barriers/controlled_benchmarks/min1.optimized.blif,b1e2ad5a68b130c1,d09e4458f3d8bd8d,a5dd7e008352ee5f,"[""t""]",controlled::min1::U_control,0c14e561d95cb888,controlled_source_blind_fixture,2,1,"[""a""]","[""d829fc3e6672d614_cex""]",c627d6b8b978093b,1,1,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.000333,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
652810aad4916426,min2_xor,min2_xor,controlled,controlled,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/formal_locality_barriers/controlled_benchmarks/min2_xor.source.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/formal_locality_barriers/controlled_benchmarks/min2_xor.optimized.blif,1e19a742dc181c9b,86042504039a7d5b,a5dd7e008352ee5f,"[""t""]",controlled::min2_xor::U_control,c2454878ab1c1eca,controlled_source_blind_fixture,2,1,"[""a"", ""b""]","[""e83d95c02f64b608_cex"", ""5db9c43ab62a9b4d_cex""]",d6549855f2baeea9,2,2,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.000277,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
df23e3edc6da7893,min3_maj,min3_maj,controlled,controlled,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/formal_locality_barriers/controlled_benchmarks/min3_maj.source.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/formal_locality_barriers/controlled_benchmarks/min3_maj.optimized.blif,72fe90e347d379ef,e6c69aba059e9778,b514f1c2db4f9eee,"[""t""]",controlled::min3_maj::U_control,e18e928a40750687,controlled_source_blind_fixture,3,1,"[""a"", ""b"", ""c""]","[""1cea6712c8d24dd0_cex"", ""13c4095ca2975fb8_cex"", ""41dd18cf6d19e41d_cex""]",a6d4689b3e06af3c,3,3,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.000421,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
ccfc4db564a861b1,permute_invert,permute_invert,controlled,controlled,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/formal_locality_barriers/controlled_benchmarks/permute_invert.source.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/formal_locality_barriers/controlled_benchmarks/permute_invert.optimized.blif,ae710276d6295256,004001bbd33e81eb,a5dd7e008352ee5f,"[""t0"", ""t1""]",controlled::permute_invert::U_control,9b97202156b63d7f,controlled_source_blind_fixture,2,1,"[""a"", ""b""]","[""46810f8460d34e52_cex"", ""2f46d7cbaa31fa18_cex""]",d6549855f2baeea9,2,2,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.000362,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
6aa4494b7e97926f,nonlinear_and,nonlinear_and,controlled,controlled,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/formal_locality_barriers/controlled_benchmarks/nonlinear_and.source.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/formal_locality_barriers/controlled_benchmarks/nonlinear_and.optimized.blif,fd07792580edd615,a71c29cc7bddb8be,a5dd7e008352ee5f,"[""t""]",controlled::nonlinear_and::U_control,2723b8c6c8851856,controlled_source_blind_fixture,2,1,"[""a"", ""b""]","[""41278b04c19a8996_cex"", ""1ab2245381a82731_cex""]",d6549855f2baeea9,2,2,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.000247,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
bd400b8055f51852,affine_bool,affine_bool,controlled,controlled,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/formal_locality_barriers/controlled_benchmarks/affine_bool.source.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/formal_locality_barriers/controlled_benchmarks/affine_bool.optimized.blif,b154df9c557f2add,1d66fdea32f7bb20,9b12dc2a7a72fb28,"[""t0"", ""t1""]",controlled::affine_bool::U_control,bf9681e9187df0a0,controlled_source_blind_fixture,2,1,"[""a0"", ""a1""]","[""8910ceaf96f2c5b6_cex"", ""770332434e1f8a08_cex""]",dab1757965c03b1b,2,2,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.000368,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
ffe531877fdb7d09,real_0001,generated_adder_4,dev,no_relevant_source_consumer_window_under_bounds,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_adder_4_original.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_adder_4_dc2.blif,816beedc406166dc,9a32b8a223179572,f7a6b68b1341f5a9,"[""new_n17""]",real_0001::U0_direct_name_intersection,f9908c963d9035c7,U0_direct_name_intersection,3,0,"[""new_n17""]","[""ccfb28a0317aae0a_cex"", ""9f47204e83f425c4_cex""]",f31b50eeabd2acb8,1,1,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.026220,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
359e13f8ffcab37e,real_0002,generated_adder_4,dev,no_relevant_source_consumer_window_under_bounds,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_adder_4_original.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_adder_4_dc2.blif,816beedc406166dc,9a32b8a223179572,f7a6b68b1341f5a9,"[""new_n17""]",real_0002::U0_direct_name_intersection,f9908c963d9035c7,U0_direct_name_intersection,3,0,"[""new_n17""]","[""c193c30efbb41e2e_cex"", ""77bc49090a78bab3_cex""]",f31b50eeabd2acb8,1,1,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.025824,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
f92f60e8f6c30766,real_0003,generated_adder_4,dev,no_relevant_source_consumer_window_under_bounds,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_adder_4_original.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_adder_4_dc2.blif,816beedc406166dc,9a32b8a223179572,f7a6b68b1341f5a9,"[""new_n19""]",real_0003::U0_direct_name_intersection,bfb04fe84b5fedb1,U0_direct_name_intersection,4,0,"[""a0"", ""b0"", ""cin""]","[""5cec938ea52b370b_cex"", ""a205cf65f7a5cf06_cex"", ""0525c3ade37e5e3a_cex""]",3f0f12fc758cfcbd,3,3,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.038229,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
2b9d69fe41becddd,real_0004,generated_adder_4,dev,no_relevant_source_consumer_window_under_bounds,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_adder_4_original.blif,/Users/stefi/Desktop/research/eth/aig_optimization_experiments/variants/generated_adder_4_resyn2.blif,816beedc406166dc,9a32b8a223179572,f7a6b68b1341f5a9,"[""new_n17""]",real_0004::U0_direct_name_intersection,f9908c963d9035c7,U0_direct_name_intersection,3,0,"[""new_n17""]","[""f39416dcbf14e0e7_cex"", ""c0480adb26c5a2f9_cex""]",f31b50eeabd2acb8,1,1,exact_minimum,exhaustive_two_copy_miter,unsat,false,0.025503,0,,compact_exact_input_interface_found,false,true,formal_locality_barriers_v1
