counterexample_id,analysis_target_id,target_id,assignment_a_path,assignment_b_path,source_outputs_a,source_outputs_b,counterexample_reproduced,schema_version
76cafde2ced2e0fb,real_0001,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,counterexamples/76cafde2ced2e0fb.output.a.json,counterexamples/76cafde2ced2e0fb.output.b.json,"[0, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",true,formal_locality_barriers_v1
2098523caff5e15b,real_0002,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,counterexamples/2098523caff5e15b.output.a.json,counterexamples/2098523caff5e15b.output.b.json,"[0, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",true,formal_locality_barriers_v1
4714f2440c3120bb,real_0003,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,counterexamples/4714f2440c3120bb.output.a.json,counterexamples/4714f2440c3120bb.output.b.json,"[0, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",true,formal_locality_barriers_v1
f157d5e7e73fc5b7,real_0004,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,counterexamples/f157d5e7e73fc5b7.output.a.json,counterexamples/f157d5e7e73fc5b7.output.b.json,"[0, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",true,formal_locality_barriers_v1
a13b0ebe2d8733fe,real_0005,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,counterexamples/a13b0ebe2d8733fe.output.a.json,counterexamples/a13b0ebe2d8733fe.output.b.json,"[0, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",true,formal_locality_barriers_v1
080c7168b063b67f,real_0006,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n19,counterexamples/080c7168b063b67f.output.a.json,counterexamples/080c7168b063b67f.output.b.json,"[0, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",true,formal_locality_barriers_v1
1e5b5a3deb75d3fe,real_0007,generated_mux_tree_4|mux_tree_root|dc2|new_n10,counterexamples/1e5b5a3deb75d3fe.output.a.json,counterexamples/1e5b5a3deb75d3fe.output.b.json,[0],[1],true,formal_locality_barriers_v1
ff5204b2deaacd01,real_0008,generated_mux_tree_4|mux_tree_root|resyn2|new_n12,counterexamples/ff5204b2deaacd01.output.a.json,counterexamples/ff5204b2deaacd01.output.b.json,[0],[1],true,formal_locality_barriers_v1
c7767cdee5a81ff2,real_0009,generated_mux_tree_4|mux_tree_root|resyn2|new_n9,counterexamples/c7767cdee5a81ff2.output.a.json,counterexamples/c7767cdee5a81ff2.output.b.json,[0],[1],true,formal_locality_barriers_v1
64f76a4b9dfd5a69,real_0010,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n18,counterexamples/64f76a4b9dfd5a69.output.a.json,counterexamples/64f76a4b9dfd5a69.output.b.json,[0],[1],true,formal_locality_barriers_v1
b05cdda61e90ff63,real_0011,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n24,counterexamples/b05cdda61e90ff63.output.a.json,counterexamples/b05cdda61e90ff63.output.b.json,[0],[1],true,formal_locality_barriers_v1
f8a9d0b4722e7849,real_0012,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n27,counterexamples/f8a9d0b4722e7849.output.a.json,counterexamples/f8a9d0b4722e7849.output.b.json,[0],[1],true,formal_locality_barriers_v1
0fcefc03b01683c2,real_0013,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n28,counterexamples/0fcefc03b01683c2.output.a.json,counterexamples/0fcefc03b01683c2.output.b.json,[0],[1],true,formal_locality_barriers_v1
f281034a314f01b0,real_0014,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n15,counterexamples/f281034a314f01b0.output.a.json,counterexamples/f281034a314f01b0.output.b.json,[0],[1],true,formal_locality_barriers_v1
46519a57b90d4e42,real_0015,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n19,counterexamples/46519a57b90d4e42.output.a.json,counterexamples/46519a57b90d4e42.output.b.json,[0],[1],true,formal_locality_barriers_v1
7679e12b0b348608,real_0016,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n29,counterexamples/7679e12b0b348608.output.a.json,counterexamples/7679e12b0b348608.output.b.json,[0],[1],true,formal_locality_barriers_v1
200eae88a849b90f,real_0017,generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n15,counterexamples/200eae88a849b90f.output.a.json,counterexamples/200eae88a849b90f.output.b.json,[0],[1],true,formal_locality_barriers_v1
4ace893f2be2a6bb,real_0018,generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n19,counterexamples/4ace893f2be2a6bb.output.a.json,counterexamples/4ace893f2be2a6bb.output.b.json,[0],[1],true,formal_locality_barriers_v1
6f1f58656681c0fb,real_0019,generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n29,counterexamples/6f1f58656681c0fb.output.a.json,counterexamples/6f1f58656681c0fb.output.b.json,[0],[1],true,formal_locality_barriers_v1
a156d32cd900fe3f,real_0020,generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n20,counterexamples/a156d32cd900fe3f.output.a.json,counterexamples/a156d32cd900fe3f.output.b.json,[0],[1],true,formal_locality_barriers_v1
