analysis_target_id,target_id,minimum_total_width,minimum_residual_width,optimized_interface,residual_source,solver_status,exact_minimum_status,counterexample_reproduced,classification,schema_version
real_0001,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,9,9,[],"[""a0"", ""a1"", ""a2"", ""a3"", ""b0"", ""b1"", ""b2"", ""b3"", ""cin""]",unsat,exact_minimum_within_declared_BZ_universe,true,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0002,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,9,9,[],"[""a0"", ""a1"", ""a2"", ""a3"", ""b0"", ""b1"", ""b2"", ""b3"", ""cin""]",unsat,exact_minimum_within_declared_BZ_universe,true,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0003,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,9,9,[],"[""a0"", ""a1"", ""a2"", ""a3"", ""b0"", ""b1"", ""b2"", ""b3"", ""cin""]",unsat,exact_minimum_within_declared_BZ_universe,true,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0004,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,9,9,[],"[""a0"", ""a1"", ""a2"", ""a3"", ""b0"", ""b1"", ""b2"", ""b3"", ""cin""]",unsat,exact_minimum_within_declared_BZ_universe,true,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0005,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,9,9,[],"[""a0"", ""a1"", ""a2"", ""a3"", ""b0"", ""b1"", ""b2"", ""b3"", ""cin""]",unsat,exact_minimum_within_declared_BZ_universe,true,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0006,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n19,9,9,[],"[""a0"", ""a1"", ""a2"", ""a3"", ""b0"", ""b1"", ""b2"", ""b3"", ""cin""]",unsat,exact_minimum_within_declared_BZ_universe,true,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0007,generated_mux_tree_4|mux_tree_root|dc2|new_n10,6,6,[],"[""d0"", ""d1"", ""d2"", ""d3"", ""s0"", ""s1""]",unsat,exact_minimum_within_declared_BZ_universe,true,exact_compact_output_interface_found,formal_locality_barriers_v1
real_0008,generated_mux_tree_4|mux_tree_root|resyn2|new_n12,6,6,[],"[""d0"", ""d1"", ""d2"", ""d3"", ""s0"", ""s1""]",unsat,exact_minimum_within_declared_BZ_universe,true,exact_compact_output_interface_found,formal_locality_barriers_v1
real_0009,generated_mux_tree_4|mux_tree_root|resyn2|new_n9,6,6,[],"[""d0"", ""d1"", ""d2"", ""d3"", ""s0"", ""s1""]",unsat,exact_minimum_within_declared_BZ_universe,true,exact_compact_output_interface_found,formal_locality_barriers_v1
real_0010,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n18,11,11,[],"[""d0"", ""d1"", ""d2"", ""d3"", ""d4"", ""d5"", ""d6"", ""d7"", ""s0"", ""s1"", ""s2""]",unsat,exact_minimum_within_declared_BZ_universe,true,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0011,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n24,11,11,[],"[""d0"", ""d1"", ""d2"", ""d3"", ""d4"", ""d5"", ""d6"", ""d7"", ""s0"", ""s1"", ""s2""]",unsat,exact_minimum_within_declared_BZ_universe,true,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0012,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n27,11,11,[],"[""d0"", ""d1"", ""d2"", ""d3"", ""d4"", ""d5"", ""d6"", ""d7"", ""s0"", ""s1"", ""s2""]",unsat,exact_minimum_within_declared_BZ_universe,true,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0013,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n28,11,11,[],"[""d0"", ""d1"", ""d2"", ""d3"", ""d4"", ""d5"", ""d6"", ""d7"", ""s0"", ""s1"", ""s2""]",unsat,exact_minimum_within_declared_BZ_universe,true,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0014,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n15,11,11,[],"[""d0"", ""d1"", ""d2"", ""d3"", ""d4"", ""d5"", ""d6"", ""d7"", ""s0"", ""s1"", ""s2""]",unsat,exact_minimum_within_declared_BZ_universe,true,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
real_0015,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n19,11,11,[],"[""d0"", ""d1"", ""d2"", ""d3"", ""d4"", ""d5"", ""d6"", ""d7"", ""s0"", ""s1"", ""s2""]",unsat,exact_minimum_within_declared_BZ_universe,true,output_residual_minimum_above_previous_bound,formal_locality_barriers_v1
