analysis_target_id,target_id,benchmark,split,failure_group,source_result,source_path,optimized_path,optimized_target_vector,source_hash,optimized_hash,pi_alignment_status,artifact_status,provenance_status,failure_reason,schema_version
real_0001,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,generated_adder_4,dev,no_relevant_source_consumer_window_under_bounds,old_materialized_anchor,variants/generated_adder_4_original.blif,variants/generated_adder_4_dc2.blif,"[""new_n17""]",816beedc406166dc,9a32b8a223179572,ok,resolved,resolved,,formal_locality_barriers_v1
real_0002,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,generated_adder_4,dev,no_relevant_source_consumer_window_under_bounds,old_materialized_anchor,variants/generated_adder_4_original.blif,variants/generated_adder_4_dc2.blif,"[""new_n17""]",816beedc406166dc,9a32b8a223179572,ok,resolved,resolved,,formal_locality_barriers_v1
real_0003,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,generated_adder_4,dev,no_relevant_source_consumer_window_under_bounds,old_materialized_anchor,variants/generated_adder_4_original.blif,variants/generated_adder_4_dc2.blif,"[""new_n19""]",816beedc406166dc,9a32b8a223179572,ok,resolved,resolved,,formal_locality_barriers_v1
real_0004,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,generated_adder_4,dev,no_relevant_source_consumer_window_under_bounds,old_materialized_anchor,variants/generated_adder_4_original.blif,variants/generated_adder_4_resyn2.blif,"[""new_n17""]",816beedc406166dc,9a32b8a223179572,ok,resolved,resolved,,formal_locality_barriers_v1
real_0005,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,generated_adder_4,heldout,no_relevant_source_consumer_window_under_bounds,old_materialized_anchor,variants/generated_adder_4_original.blif,variants/generated_adder_4_resyn2.blif,"[""new_n17""]",816beedc406166dc,9a32b8a223179572,ok,resolved,resolved,,formal_locality_barriers_v1
real_0006,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n19,generated_adder_4,dev,no_relevant_source_consumer_window_under_bounds,old_materialized_anchor,variants/generated_adder_4_original.blif,variants/generated_adder_4_resyn2.blif,"[""new_n19""]",816beedc406166dc,9a32b8a223179572,ok,resolved,resolved,,formal_locality_barriers_v1
real_0007,generated_mux_tree_4|mux_tree_root|dc2|new_n10,generated_mux_tree_4,dev,no_relevant_source_consumer_window_under_bounds,old_materialized_anchor,variants/generated_mux_tree_4_original.blif,variants/generated_mux_tree_4_dc2.blif,"[""new_n10""]",9d02241cce43005c,9c17f5c689a54e84,ok,resolved,resolved,,formal_locality_barriers_v1
real_0008,generated_mux_tree_4|mux_tree_root|resyn2|new_n12,generated_mux_tree_4,dev,no_relevant_source_consumer_window_under_bounds,old_materialized_anchor,variants/generated_mux_tree_4_original.blif,variants/generated_mux_tree_4_resyn2.blif,"[""new_n12""]",9d02241cce43005c,ac0c6494d81e03ec,ok,resolved,resolved,,formal_locality_barriers_v1
real_0009,generated_mux_tree_4|mux_tree_root|resyn2|new_n9,generated_mux_tree_4,dev,no_relevant_source_consumer_window_under_bounds,old_materialized_anchor,variants/generated_mux_tree_4_original.blif,variants/generated_mux_tree_4_resyn2.blif,"[""new_n9""]",9d02241cce43005c,ac0c6494d81e03ec,ok,resolved,resolved,,formal_locality_barriers_v1
real_0010,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n18,generated_mux_tree_8,heldout,no_relevant_source_consumer_window_under_bounds,old_materialized_anchor,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_dc2.blif,"[""new_n18""]",eebf0e6858f7fd66,34d3b34ad2942b5b,ok,resolved,resolved,,formal_locality_barriers_v1
