feature,verified_mean,rejected_mean,verified_median,rejected_median,verified_min,rejected_min,verified_max,rejected_max
combined_score,0.8991628461619404,0.9053719400242565,0.9012116462953628,0.89598388671875,0.8500651041666668,0.85,0.9981201171875,0.99986572265625
support_overlap,0.9948815552263829,0.9692904207933579,1.0,1.0,0.6875,0.6,1.0,1.0
simulation_similarity,0.9345458583487274,0.9146370036043725,0.9638671875,0.93115234375,0.72802734375,0.728271484375,0.999755859375,0.999755859375
depth_similarity,0.36954079740906376,0.6306994076417632,0.3333333333333333,0.5,0.032258064516129,0.0333333333333333,1.0,1.0
level_delta_abs,6.512315270935961,1.9564206856478792,2.0,1.0,0.0,0.0,30.0,29.0
support_size_delta_abs,0.33004926108374383,0.6103428239395701,0.0,0.0,0.0,0.0,20.0,24.0
optimized_level,26.9688013136289,14.623474723997676,11.0,12.0,3.0,2.0,110.0,90.0
original_level,33.477832512315274,16.205461940732132,12.0,13.0,3.0,2.0,113.0,117.0
optimized_support_size,24.80952380952381,21.0643811737362,22.0,14.0,4.0,2.0,78.0,124.0
original_support_size,25.139573070607554,20.85194654270773,22.0,14.0,4.0,2.0,78.0,124.0
