section,name,verified,rejected,total_checked,precision
circuit,c2670,302,392,694,0.43515850144092216
circuit,c6288,133,1810,1943,0.06845084920226453
circuit,c5315,90,885,975,0.09230769230769231
circuit,c432,84,64,148,0.5675675675675675
circuit,c1355,0,772,772,0.0
circuit,c1908,0,567,567,0.0
circuit,c3540,0,1076,1076,0.0
circuit,c499,0,557,557,0.0
circuit,c7552,0,2211,2211,0.0
circuit,c880,0,271,271,0.0
optimization,refactor,99,470,569,0.17398945518453426
optimization,resyn2,83,997,1080,0.07685185185185185
optimization,resyn2_like,83,997,1080,0.07685185185185185
optimization,compress2rs,81,981,1062,0.07627118644067797
optimization,rewrite,73,653,726,0.10055096418732783
optimization,refactor_z,59,674,733,0.08049113233287858
optimization,resub,43,115,158,0.2721518987341772
optimization,dc2,34,1072,1106,0.03074141048824593
optimization,rewrite_z,31,1219,1250,0.0248
optimization,resyn,23,992,1015,0.022660098522167486
optimization,balance,0,435,435,0.0
