metric,value,evidence,command_or_source,schema_version
baseline_head,84d1d788bf7413756b65cac90fe382ad6d068d23,git,git rev-parse HEAD,joint_baseline_metrics_v1
branch,main,git,git branch --show-current,joint_baseline_metrics_v1
remote,https://github.com/stefi19/aig_optimization_experiments.git,git,git remote -v,joint_baseline_metrics_v1
z3_version,4.16.0,solver,make check-z3,joint_baseline_metrics_v1
complete_pytest,713 passed; 4 skipped,test,.venv-z3/bin/python -m pytest -q,joint_baseline_metrics_v1
z3_smoke,passed,test,make check-z3,joint_baseline_metrics_v1
exhaustive_z3_agreement,192/192,result,make semantic-z3-crosscheck,joint_baseline_metrics_v1
z3_counterexamples_reproduced,186/186,result,results/blind_semantic_cegis/z3_exhaustive_crosscheck_summary.md,joint_baseline_metrics_v1
prior_z3_cegis_iterations,379,result,results/blind_semantic_cegis/z3_cegis_iterations.csv,joint_baseline_metrics_v1
prior_counterexamples_incorporated,219,result,results/blind_semantic_cegis/z3_cegis_summary.md,joint_baseline_metrics_v1
prior_formal_smt_proofs,46,result,results/blind_semantic_cegis/z3_formal_proofs.csv,joint_baseline_metrics_v1
prior_blind_unique_cases_recovered,10/16,result,results/blind_semantic_cegis/z3_cegis_summary.md,joint_baseline_metrics_v1
prior_oracle_bus_unique_cases_recovered,10/16,result,results/blind_semantic_cegis/z3_blind_oracle_comparison.csv,joint_baseline_metrics_v1
prior_blind_width_12_region_rows_recovered,4/4,result,results/blind_semantic_cegis/z3_recovery_by_width.csv,joint_baseline_metrics_v1
prior_blind_width_16_region_rows_recovered,4/4,result,results/blind_semantic_cegis/z3_recovery_by_width.csv,joint_baseline_metrics_v1
prior_affine_recovery,3/34,result,results/semantic_region_replacement/semantic_recovery_by_operator.csv,joint_baseline_metrics_v1
prior_constant_multiply_recovery,12/34,result,results/blind_semantic_cegis/z3_recovery_by_operator.csv,joint_baseline_metrics_v1
prior_add_add_recovery,0/2,result,results/semantic_region_replacement/semantic_recovery_by_operator.csv,joint_baseline_metrics_v1
prior_bilinear_recovery,0/2,result,results/semantic_region_replacement/semantic_recovery_by_operator.csv,joint_baseline_metrics_v1
prior_semantic_graft_placement_attempts,276,result,results/semantic_grafting/graft_placement_attempts.csv,joint_baseline_metrics_v1
prior_graph_active_graft_anchors,0,result,results/semantic_grafting/graft_placement_attempts.csv,joint_baseline_metrics_v1
prior_newly_recovered_boundaries,0,result,results/semantic_grafting/boundary_recovery_improvement.csv,joint_baseline_metrics_v1
abc_build_status,available after local build,infrastructure,make build-abc,joint_baseline_metrics_v1
