attempt_id,candidate_id,benchmark,abc_available,implementation_global_cec,specification_global_cec,abc_output,runtime_seconds,schema_version
joint_full_adder_missing_input__seed__j09__4fed40597a__replacement,joint_full_adder_missing_input__seed__j09__4fed40597a,joint_full_adder_missing_input,true,equivalent,equivalent,"e_discovery/joint_full_adder.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/joint_region_interface_discovery/artifacts/joint_full_adder_missing_input.replaced.blif"" Networks are equivalent.  Time =     0.01 sec ",0.047902,joint_global_cec_result_v1
joint_full_adder_missing_output__seed__j09__2eb71e559a__replacement,joint_full_adder_missing_output__seed__j09__2eb71e559a,joint_full_adder_missing_output,true,equivalent,equivalent,"_discovery/joint_full_adder.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/joint_region_interface_discovery/artifacts/joint_full_adder_missing_output.replaced.blif"" Networks are equivalent.  Time =     0.00 sec ",0.041408,joint_global_cec_result_v1
joint_boolean_region__seed__j09__354f33107b__replacement,joint_boolean_region__seed__j09__354f33107b,joint_boolean_region,true,equivalent,equivalent,"oolean_region.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/joint_region_interface_discovery/artifacts/joint_boolean_region.replaced.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",0.033306,joint_global_cec_result_v1
joint_affine_hidden_coefficients__seed__j09__9dd95e9b7b__replacement,joint_affine_hidden_coefficients__seed__j09__9dd95e9b7b,joint_affine_hidden_coefficients,true,equivalent,equivalent,"s.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/joint_region_interface_discovery/artifacts/joint_affine_hidden_coefficients.replaced.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",0.034598,joint_global_cec_result_v1
joint_add_add__seed__j09__c90e04a2f0__replacement,joint_add_add__seed__j09__c90e04a2f0,joint_add_add,true,equivalent,equivalent,"covery/joint_add_add.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/joint_region_interface_discovery/artifacts/joint_add_add.replaced.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",0.034021,joint_global_cec_result_v1
joint_bilinear__seed__j09__70b22141ea__replacement,joint_bilinear__seed__j09__70b22141ea,joint_bilinear,true,equivalent,equivalent,"very/joint_bilinear.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/joint_region_interface_discovery/artifacts/joint_bilinear.replaced.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",0.035686,joint_global_cec_result_v1
joint_mac__seed__j09__9f37686d78__replacement,joint_mac__seed__j09__9f37686d78,joint_mac,true,equivalent,equivalent,"face_discovery/joint_mac.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/joint_region_interface_discovery/artifacts/joint_mac.replaced.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",0.036445,joint_global_cec_result_v1
joint_mux_reordered_outputs__seed__j09__432444d61d__replacement,joint_mux_reordered_outputs__seed__j09__432444d61d,joint_mux_reordered_outputs,true,equivalent,equivalent,"nt_mux.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/joint_region_interface_discovery/artifacts/joint_mux_reordered_outputs.replaced.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",0.031246,joint_global_cec_result_v1
joint_negative_unaccounted_fanout__seed__j09__0a58a83023__replacement,joint_negative_unaccounted_fanout__seed__j09__0a58a83023,joint_negative_unaccounted_fanout,true,not_run,not_claimed,,0.000000,joint_global_cec_result_v1
joint_negative_dangling_fanin__seed__j09__b7a19168e8__replacement,joint_negative_dangling_fanin__seed__j09__b7a19168e8,joint_negative_dangling_fanin,true,not_run,not_claimed,,0.000000,joint_global_cec_result_v1
