case_id,benchmark,optimization,coi_name,cut_id,target_impl_node,truth_table,truth_table_hash,support_leaf_order,local_cone_nodes,local_cone_size,extraction_backend,extraction_status,failure_reason,runtime_seconds
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,generated_adder_4,dc2,adder_bit1_carry_sum_region,new_n17|cut1,new_n17,,,new_n15,,0,truth_table_exhaustive,failed,hidden_support,0.000450
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,generated_adder_4,dc2,adder_bit1_carry_sum_region,new_n17|cut2,new_n17,,,a0,,0,truth_table_exhaustive,failed,hidden_support,0.000434
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,generated_adder_4,dc2,adder_bit1_carry_sum_region,new_n17|cut3,new_n17,,,b0,,0,truth_table_exhaustive,failed,hidden_support,0.000421
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,generated_adder_4,dc2,adder_bit1_carry_sum_region,new_n17|cut6,new_n17,0110,a5c3dd48facf21ed,a0;b0,new_n15;new_n16;new_n17,3,truth_table_exhaustive,extracted,,0.000703
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,generated_adder_4,dc2,adder_bit1_carry_sum_region,new_n17|cut4,new_n17,,,a0;new_n15,,0,truth_table_exhaustive,failed,hidden_support,0.000414
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,generated_adder_4,dc2,adder_bit1_carry_sum_region,new_n17|cut5,new_n17,,,b0;new_n15,,0,truth_table_exhaustive,failed,hidden_support,0.000402
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,generated_adder_4,dc2,adder_bit1_carry_sum_region,new_n17|cut7,new_n17,01100000,897c711841ec6b2b,a0;b0;new_n15,new_n16;new_n17,2,truth_table_exhaustive,extracted,,0.000721
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,generated_adder_4,dc2,adder_bit1_carry_sum_region,new_n19|cut1,new_n19,,,cin,,0,truth_table_exhaustive,failed,hidden_support,0.000405
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,generated_adder_4,dc2,adder_bit1_carry_sum_region,new_n19|cut2,new_n19,,,new_n15,,0,truth_table_exhaustive,failed,hidden_support,0.000397
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,generated_adder_4,dc2,adder_bit1_carry_sum_region,new_n19|cut3,new_n19,,,a0,,0,truth_table_exhaustive,failed,hidden_support,0.000406
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,generated_adder_4,dc2,adder_bit1_carry_sum_region,new_n19|cut4,new_n19,,,b0,,0,truth_table_exhaustive,failed,hidden_support,0.000399
