case_id,benchmark,optimization,coi_name,target_impl_node,cut_id,cut_size,impl_leaf_nodes,spec_leaf_nodes,leaf_polarities,leaf_mapping_categories,truth_table_hash,expression_id,expression_text,expression_cost,added_gate_count,materialized_spec_node,proof_status,sat_result,proof_runtime_seconds,formal_backend,target_polarity,counterexample_available,counterexample_summary,augmentation_preserves_original_outputs,anchor_origin,mapping_category,evidence_level,equivalence_scope,usable_for_boundary,selected_by_boundary,source_fingerprints,failure_reason
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,generated_adder_4,dc2,adder_bit1_carry_sum_region,new_n17,new_n17|cut6,2,a0;b0,a0;b0,same;same,exact_signature_match;exact_signature_match,a5c3dd48facf21ed,expr_a5c3dd48facf21ed,(a0 & !b0) | (!a0 & b0),3,2,materialized_generated_adder_4_adder_bit1_carry_sum_region_dc2_new_n17_new_n17_b6abba683d,proven_materialized_anchor,unsat_exhaustive,0.000649,exhaustive_global_truth_table,positive,False,,True,materialized_wire,formal_materialized_anchor,formal_exhaustive,global,False,False,spec=8ac8c0aff402e835;impl=d56b39ef50ec23cc;augmented=87ca86beab3e525f,
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,generated_adder_4,dc2,adder_bit1_carry_sum_region,new_n17,new_n17|cut7,3,a0;b0;new_n15,a0;b0;new_n24,same;same;same,exact_signature_match;exact_signature_match;exact_signature_match,897c711841ec6b2b,expr_897c711841ec6b2b,(a0 & !b0 & !new_n15) | (!a0 & b0 & !new_n15),5,2,materialized_generated_adder_4_adder_bit1_carry_sum_region_dc2_new_n17_new_n17_26bb7f9f36,proven_materialized_anchor,unsat_exhaustive,0.000578,exhaustive_global_truth_table,positive,False,,True,materialized_wire,formal_materialized_anchor,formal_exhaustive,global,False,False,spec=8c4d98766b32b1ea;impl=d56b39ef50ec23cc;augmented=03d9453fc88897eb,
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,generated_adder_4,dc2,adder_bit1_carry_sum_region,new_n19,new_n19|cut13,3,a0;b0;cin,a0;b0;cin,same;same;same,exact_signature_match;exact_signature_match;exact_signature_match,809c8f259f563c0d,expr_809c8f259f563c0d,(!a0 & !b0 & !cin) | (a0 & b0 & !cin),5,2,materialized_generated_adder_4_adder_bit1_carry_sum_region_dc2_new_n19_new_n19_46e835a4bc,proven_materialized_anchor,unsat_exhaustive,0.000556,exhaustive_global_truth_table,positive,False,,True,materialized_wire,formal_materialized_anchor,formal_exhaustive,global,False,False,spec=3a0ca8667558bfad;impl=7c9b014e1bf22dc5;augmented=9bbde133b2761de8,
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,generated_adder_4,resyn2,adder_bit1_carry_sum_region,new_n17,new_n17|cut6,2,a0;b0,a0;b0,same;same,exact_signature_match;exact_signature_match,a5c3dd48facf21ed,expr_a5c3dd48facf21ed,(a0 & !b0) | (!a0 & b0),3,2,materialized_generated_adder_4_adder_bit1_carry_sum_region_resyn2_new_n17_new_n17_bd524bf364,proven_materialized_anchor,unsat_exhaustive,0.000562,exhaustive_global_truth_table,positive,False,,True,materialized_wire,formal_materialized_anchor,formal_exhaustive,global,False,False,spec=62ae2f24713722ff;impl=d56b39ef50ec23cc;augmented=f0b8affc2080c05f,
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,generated_adder_4,resyn2,adder_bit1_carry_sum_region,new_n17,new_n17|cut7,3,a0;b0;new_n15,a0;b0;new_n24,same;same;same,exact_signature_match;exact_signature_match;exact_signature_match,897c711841ec6b2b,expr_897c711841ec6b2b,(a0 & !b0 & !new_n15) | (!a0 & b0 & !new_n15),5,2,materialized_generated_adder_4_adder_bit1_carry_sum_region_resyn2_new_n17_new_n17_644c8a5a5e,proven_materialized_anchor,unsat_exhaustive,0.000547,exhaustive_global_truth_table,positive,False,,True,materialized_wire,formal_materialized_anchor,formal_exhaustive,global,False,False,spec=fc4caf20eb9a4d6a;impl=d56b39ef50ec23cc;augmented=9cf4ce70906737cb,
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n19,generated_adder_4,resyn2,adder_bit1_carry_sum_region,new_n19,new_n19|cut13,3,a0;b0;cin,a0;b0;cin,same;same;same,exact_signature_match;exact_signature_match;exact_signature_match,809c8f259f563c0d,expr_809c8f259f563c0d,(!a0 & !b0 & !cin) | (a0 & b0 & !cin),5,2,materialized_generated_adder_4_adder_bit1_carry_sum_region_resyn2_new_n19_new_n19_5c17576fb3,proven_materialized_anchor,unsat_exhaustive,0.000545,exhaustive_global_truth_table,positive,False,,True,materialized_wire,formal_materialized_anchor,formal_exhaustive,global,False,False,spec=27bf5eced8492f41;impl=7c9b014e1bf22dc5;augmented=4ae6871d0b9ec549,
generated_mux_tree_4|mux_tree_root|dc2|new_n10,generated_mux_tree_4,dc2,mux_tree_root,new_n10,new_n10|cut3,2,new_n9;s0,new_n8;s0,same;same,exact_signature_match;exact_signature_match,0b08e3dcc50fe4e5,expr_0b08e3dcc50fe4e5,(!new_n27 & s1),1,1,materialized_generated_mux_tree_4_mux_tree_root_dc2_new_n10_new_n10_af006df804,proven_materialized_anchor,unsat_exhaustive,0.000142,exhaustive_global_truth_table,positive,False,,True,materialized_wire,formal_materialized_anchor,formal_exhaustive,global,False,False,spec=7d89705d2ba63c5e;impl=3119e87d1d09654c;augmented=0cd6b5c73084da93,
generated_mux_tree_4|mux_tree_root|resyn2|new_n12,generated_mux_tree_4,resyn2,mux_tree_root,new_n12,new_n12|cut3,2,d1;s1,d1;s1,same;same,exact_signature_match;exact_signature_match,0b08e3dcc50fe4e5,expr_0b08e3dcc50fe4e5,(!new_n27 & s1),1,1,materialized_generated_mux_tree_4_mux_tree_root_resyn2_new_n12_new_n12_dd57a1ea2e,proven_materialized_anchor,unsat_exhaustive,0.000137,exhaustive_global_truth_table,positive,False,,True,materialized_wire,formal_materialized_anchor,formal_exhaustive,global,False,False,spec=4fdbe9e9c8474881;impl=6697d2ff17edba97;augmented=fae57c4fad20b06f,
generated_mux_tree_4|mux_tree_root|resyn2|new_n9,generated_mux_tree_4,resyn2,mux_tree_root,new_n9,new_n9|cut3,2,d2;s1,d2;s1,same;same,exact_signature_match;exact_signature_match,40510175845988f1,expr_40510175845988f1,(!new_n13 & !s1),1,1,materialized_generated_mux_tree_4_mux_tree_root_resyn2_new_n9_new_n9_b36d5f6dca,proven_materialized_anchor,unsat_exhaustive,0.000142,exhaustive_global_truth_table,positive,False,,True,materialized_wire,formal_materialized_anchor,formal_exhaustive,global,False,False,spec=fc72ba6e06ea9b1e;impl=668d301dd1e47e52;augmented=50c1c3f74be8afb1,
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n18,generated_mux_tree_8,dc2,mux_tree_upper_root,new_n18,new_n18|cut3,2,d6;s0,d6;s0,same;same,exact_signature_match;exact_signature_match,0b08e3dcc50fe4e5,expr_0b08e3dcc50fe4e5,(!new_n27 & s1),1,1,materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n18_new_n18_c256fd0b41,proven_materialized_anchor,unsat_exhaustive,0.002204,exhaustive_global_truth_table,positive,False,,True,materialized_wire,formal_materialized_anchor,formal_exhaustive,global,False,False,spec=e3bbb0f62dad19e6;impl=a1e6a02ac3ffbb5f;augmented=252715b9bb4bbd50,
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n24,generated_mux_tree_8,dc2,mux_tree_upper_root,new_n24,new_n24|cut3,2,d5;s0,d5;s0,same;same,exact_signature_match;exact_signature_match,0b08e3dcc50fe4e5,expr_0b08e3dcc50fe4e5,(!new_n27 & s1),1,1,materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n24_new_n24_4190c9b636,proven_materialized_anchor,unsat_exhaustive,0.002432,exhaustive_global_truth_table,positive,False,,True,materialized_wire,formal_materialized_anchor,formal_exhaustive,global,False,False,spec=d76b3a8d7e4d25ca;impl=5d30f0060b129b13;augmented=afd1361786c11efc,
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n27,generated_mux_tree_8,dc2,mux_tree_upper_root,new_n27,new_n27|cut3,2,d0;s0,d0;s0,same;same,exact_signature_match;exact_signature_match,40510175845988f1,expr_40510175845988f1,(!new_n13 & !s1),1,1,materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n27_new_n27_453de3f176,proven_materialized_anchor,unsat_exhaustive,0.002203,exhaustive_global_truth_table,positive,False,,True,materialized_wire,formal_materialized_anchor,formal_exhaustive,global,False,False,spec=cc6da1e63fa3c7f0;impl=12ee292d5207212c;augmented=e979de75604141ba,
