benchmark,case_id,coi_name,materialized_spec_node,optimization,selected_by_boundary,target_impl_node,usable_for_boundary,usage_reason
generated_adder_4,generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_plus_materialized|cost_guided,adder_bit1_carry_sum_region,materialized_generated_adder_4_adder_bit1_carry_sum_region_dc2_new_n17_new_n17_b6abba683d,dc2,False,new_n17,False,additive_materialized_wire_is_not_reconnected_to_original_boundary_graph
generated_adder_4,generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_plus_materialized|cost_guided,adder_bit1_carry_sum_region,materialized_generated_adder_4_adder_bit1_carry_sum_region_dc2_new_n17_new_n17_26bb7f9f36,dc2,False,new_n17,False,additive_materialized_wire_is_not_reconnected_to_original_boundary_graph
generated_adder_4,generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_plus_materialized|cost_guided,adder_bit1_carry_sum_region,materialized_generated_adder_4_adder_bit1_carry_sum_region_dc2_new_n19_new_n19_46e835a4bc,dc2,False,new_n19,False,additive_materialized_wire_is_not_reconnected_to_original_boundary_graph
generated_adder_4,generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_plus_materialized|cost_guided,adder_bit1_carry_sum_region,materialized_generated_adder_4_adder_bit1_carry_sum_region_resyn2_new_n17_new_n17_bd524bf364,resyn2,False,new_n17,False,additive_materialized_wire_is_not_reconnected_to_original_boundary_graph
generated_adder_4,generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_plus_materialized|cost_guided,adder_bit1_carry_sum_region,materialized_generated_adder_4_adder_bit1_carry_sum_region_resyn2_new_n17_new_n17_644c8a5a5e,resyn2,False,new_n17,False,additive_materialized_wire_is_not_reconnected_to_original_boundary_graph
generated_adder_4,generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_plus_materialized|cost_guided,adder_bit1_carry_sum_region,materialized_generated_adder_4_adder_bit1_carry_sum_region_resyn2_new_n19_new_n19_5c17576fb3,resyn2,False,new_n19,False,additive_materialized_wire_is_not_reconnected_to_original_boundary_graph
generated_mux_tree_4,generated_mux_tree_4|mux_tree_root|dc2|formal_plus_materialized|cost_guided,mux_tree_root,materialized_generated_mux_tree_4_mux_tree_root_dc2_new_n10_new_n10_af006df804,dc2,False,new_n10,False,additive_materialized_wire_is_not_reconnected_to_original_boundary_graph
generated_mux_tree_4,generated_mux_tree_4|mux_tree_root|resyn2|formal_plus_materialized|cost_guided,mux_tree_root,materialized_generated_mux_tree_4_mux_tree_root_resyn2_new_n12_new_n12_dd57a1ea2e,resyn2,False,new_n12,False,additive_materialized_wire_is_not_reconnected_to_original_boundary_graph
generated_mux_tree_4,generated_mux_tree_4|mux_tree_root|resyn2|formal_plus_materialized|cost_guided,mux_tree_root,materialized_generated_mux_tree_4_mux_tree_root_resyn2_new_n9_new_n9_b36d5f6dca,resyn2,False,new_n9,False,additive_materialized_wire_is_not_reconnected_to_original_boundary_graph
generated_mux_tree_8,generated_mux_tree_8|mux_tree_upper_root|dc2|formal_plus_materialized|cost_guided,mux_tree_upper_root,materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n18_new_n18_c256fd0b41,dc2,False,new_n18,False,additive_materialized_wire_is_not_reconnected_to_original_boundary_graph
generated_mux_tree_8,generated_mux_tree_8|mux_tree_upper_root|dc2|formal_plus_materialized|cost_guided,mux_tree_upper_root,materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n24_new_n24_4190c9b636,dc2,False,new_n24,False,additive_materialized_wire_is_not_reconnected_to_original_boundary_graph
generated_mux_tree_8,generated_mux_tree_8|mux_tree_upper_root|dc2|formal_plus_materialized|cost_guided,mux_tree_upper_root,materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n27_new_n27_453de3f176,dc2,False,new_n27,False,additive_materialized_wire_is_not_reconnected_to_original_boundary_graph
generated_mux_tree_8,generated_mux_tree_8|mux_tree_upper_root|dc2|formal_plus_materialized|cost_guided,mux_tree_upper_root,materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n28_new_n28_8da8515b80,dc2,False,new_n28,False,additive_materialized_wire_is_not_reconnected_to_original_boundary_graph
generated_mux_tree_8,generated_mux_tree_8|mux_tree_upper_root|dc2|formal_plus_materialized|cost_guided,mux_tree_upper_root,materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n15_new_n15_36e843eb8c,dc2,False,new_n15,False,additive_materialized_wire_is_not_reconnected_to_original_boundary_graph
