case_id,benchmark,optimization,coi_name,materialized_wire_name,source_spec_nodes,target_impl_node,cut_id,expression_id,added_logic_node_count,added_gate_count,augmented_spec_path,provenance_manifest,generation_status,failure_reason
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,generated_adder_4,dc2,adder_bit1_carry_sum_region,materialized_generated_adder_4_adder_bit1_carry_sum_region_dc2_new_n17_new_n17_b6abba683d,a0;b0,new_n17,new_n17|cut6,expr_a5c3dd48facf21ed,1,2,results/materialized_correspondence/examples/materialized_generated_adder_4_adder_bit1_carry_sum_region_dc2_new_n17_new_n17_b6abba683d.blif,"{'wire': 'materialized_generated_adder_4_adder_bit1_carry_sum_region_dc2_new_n17_new_n17_b6abba683d', 'target_impl_node': 'new_n17', 'cut_id': 'new_n17|cut6', 'expression_id': 'expr_a5c3dd48facf21ed', 'spec_leaf_nodes': ['a0', 'b0'], 'impl_leaf_order': ['a0', 'b0'], 'leaf_polarities': ['same', 'same'], 'truth_table_hash': 'a5c3dd48facf21ed'}",generated,
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,generated_adder_4,dc2,adder_bit1_carry_sum_region,materialized_generated_adder_4_adder_bit1_carry_sum_region_dc2_new_n17_new_n17_26bb7f9f36,a0;b0;new_n24,new_n17,new_n17|cut7,expr_897c711841ec6b2b,1,2,results/materialized_correspondence/examples/materialized_generated_adder_4_adder_bit1_carry_sum_region_dc2_new_n17_new_n17_26bb7f9f36.blif,"{'wire': 'materialized_generated_adder_4_adder_bit1_carry_sum_region_dc2_new_n17_new_n17_26bb7f9f36', 'target_impl_node': 'new_n17', 'cut_id': 'new_n17|cut7', 'expression_id': 'expr_897c711841ec6b2b', 'spec_leaf_nodes': ['a0', 'b0', 'new_n24'], 'impl_leaf_order': ['a0', 'b0', 'new_n15'], 'leaf_polarities': ['same', 'same', 'same'], 'truth_table_hash': '897c711841ec6b2b'}",generated,
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,generated_adder_4,dc2,adder_bit1_carry_sum_region,materialized_generated_adder_4_adder_bit1_carry_sum_region_dc2_new_n19_new_n19_46e835a4bc,a0;b0;cin,new_n19,new_n19|cut13,expr_809c8f259f563c0d,1,2,results/materialized_correspondence/examples/materialized_generated_adder_4_adder_bit1_carry_sum_region_dc2_new_n19_new_n19_46e835a4bc.blif,"{'wire': 'materialized_generated_adder_4_adder_bit1_carry_sum_region_dc2_new_n19_new_n19_46e835a4bc', 'target_impl_node': 'new_n19', 'cut_id': 'new_n19|cut13', 'expression_id': 'expr_809c8f259f563c0d', 'spec_leaf_nodes': ['a0', 'b0', 'cin'], 'impl_leaf_order': ['a0', 'b0', 'cin'], 'leaf_polarities': ['same', 'same', 'same'], 'truth_table_hash': '809c8f259f563c0d'}",generated,
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,generated_adder_4,resyn2,adder_bit1_carry_sum_region,materialized_generated_adder_4_adder_bit1_carry_sum_region_resyn2_new_n17_new_n17_bd524bf364,a0;b0,new_n17,new_n17|cut6,expr_a5c3dd48facf21ed,1,2,results/materialized_correspondence/examples/materialized_generated_adder_4_adder_bit1_carry_sum_region_resyn2_new_n17_new_n17_bd524bf364.blif,"{'wire': 'materialized_generated_adder_4_adder_bit1_carry_sum_region_resyn2_new_n17_new_n17_bd524bf364', 'target_impl_node': 'new_n17', 'cut_id': 'new_n17|cut6', 'expression_id': 'expr_a5c3dd48facf21ed', 'spec_leaf_nodes': ['a0', 'b0'], 'impl_leaf_order': ['a0', 'b0'], 'leaf_polarities': ['same', 'same'], 'truth_table_hash': 'a5c3dd48facf21ed'}",generated,
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,generated_adder_4,resyn2,adder_bit1_carry_sum_region,materialized_generated_adder_4_adder_bit1_carry_sum_region_resyn2_new_n17_new_n17_644c8a5a5e,a0;b0;new_n24,new_n17,new_n17|cut7,expr_897c711841ec6b2b,1,2,results/materialized_correspondence/examples/materialized_generated_adder_4_adder_bit1_carry_sum_region_resyn2_new_n17_new_n17_644c8a5a5e.blif,"{'wire': 'materialized_generated_adder_4_adder_bit1_carry_sum_region_resyn2_new_n17_new_n17_644c8a5a5e', 'target_impl_node': 'new_n17', 'cut_id': 'new_n17|cut7', 'expression_id': 'expr_897c711841ec6b2b', 'spec_leaf_nodes': ['a0', 'b0', 'new_n24'], 'impl_leaf_order': ['a0', 'b0', 'new_n15'], 'leaf_polarities': ['same', 'same', 'same'], 'truth_table_hash': '897c711841ec6b2b'}",generated,
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n19,generated_adder_4,resyn2,adder_bit1_carry_sum_region,materialized_generated_adder_4_adder_bit1_carry_sum_region_resyn2_new_n19_new_n19_5c17576fb3,a0;b0;cin,new_n19,new_n19|cut13,expr_809c8f259f563c0d,1,2,results/materialized_correspondence/examples/materialized_generated_adder_4_adder_bit1_carry_sum_region_resyn2_new_n19_new_n19_5c17576fb3.blif,"{'wire': 'materialized_generated_adder_4_adder_bit1_carry_sum_region_resyn2_new_n19_new_n19_5c17576fb3', 'target_impl_node': 'new_n19', 'cut_id': 'new_n19|cut13', 'expression_id': 'expr_809c8f259f563c0d', 'spec_leaf_nodes': ['a0', 'b0', 'cin'], 'impl_leaf_order': ['a0', 'b0', 'cin'], 'leaf_polarities': ['same', 'same', 'same'], 'truth_table_hash': '809c8f259f563c0d'}",generated,
generated_mux_tree_4|mux_tree_root|dc2|new_n10,generated_mux_tree_4,dc2,mux_tree_root,materialized_generated_mux_tree_4_mux_tree_root_dc2_new_n10_new_n10_af006df804,new_n8;s0,new_n10,new_n10|cut3,expr_0b08e3dcc50fe4e5,1,1,results/materialized_correspondence/examples/materialized_generated_mux_tree_4_mux_tree_root_dc2_new_n10_new_n10_af006df804.blif,"{'wire': 'materialized_generated_mux_tree_4_mux_tree_root_dc2_new_n10_new_n10_af006df804', 'target_impl_node': 'new_n10', 'cut_id': 'new_n10|cut3', 'expression_id': 'expr_0b08e3dcc50fe4e5', 'spec_leaf_nodes': ['new_n8', 's0'], 'impl_leaf_order': ['new_n9', 's0'], 'leaf_polarities': ['same', 'same'], 'truth_table_hash': '0b08e3dcc50fe4e5'}",generated,
generated_mux_tree_4|mux_tree_root|resyn2|new_n12,generated_mux_tree_4,resyn2,mux_tree_root,materialized_generated_mux_tree_4_mux_tree_root_resyn2_new_n12_new_n12_dd57a1ea2e,d1;s1,new_n12,new_n12|cut3,expr_0b08e3dcc50fe4e5,1,1,results/materialized_correspondence/examples/materialized_generated_mux_tree_4_mux_tree_root_resyn2_new_n12_new_n12_dd57a1ea2e.blif,"{'wire': 'materialized_generated_mux_tree_4_mux_tree_root_resyn2_new_n12_new_n12_dd57a1ea2e', 'target_impl_node': 'new_n12', 'cut_id': 'new_n12|cut3', 'expression_id': 'expr_0b08e3dcc50fe4e5', 'spec_leaf_nodes': ['d1', 's1'], 'impl_leaf_order': ['d1', 's1'], 'leaf_polarities': ['same', 'same'], 'truth_table_hash': '0b08e3dcc50fe4e5'}",generated,
generated_mux_tree_4|mux_tree_root|resyn2|new_n9,generated_mux_tree_4,resyn2,mux_tree_root,materialized_generated_mux_tree_4_mux_tree_root_resyn2_new_n9_new_n9_b36d5f6dca,d2;s1,new_n9,new_n9|cut3,expr_40510175845988f1,1,1,results/materialized_correspondence/examples/materialized_generated_mux_tree_4_mux_tree_root_resyn2_new_n9_new_n9_b36d5f6dca.blif,"{'wire': 'materialized_generated_mux_tree_4_mux_tree_root_resyn2_new_n9_new_n9_b36d5f6dca', 'target_impl_node': 'new_n9', 'cut_id': 'new_n9|cut3', 'expression_id': 'expr_40510175845988f1', 'spec_leaf_nodes': ['d2', 's1'], 'impl_leaf_order': ['d2', 's1'], 'leaf_polarities': ['same', 'same'], 'truth_table_hash': '40510175845988f1'}",generated,
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n18,generated_mux_tree_8,dc2,mux_tree_upper_root,materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n18_new_n18_c256fd0b41,d6;s0,new_n18,new_n18|cut3,expr_0b08e3dcc50fe4e5,1,1,results/materialized_correspondence/examples/materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n18_new_n18_c256fd0b41.blif,"{'wire': 'materialized_generated_mux_tree_8_mux_tree_upper_root_dc2_new_n18_new_n18_c256fd0b41', 'target_impl_node': 'new_n18', 'cut_id': 'new_n18|cut3', 'expression_id': 'expr_0b08e3dcc50fe4e5', 'spec_leaf_nodes': ['d6', 's0'], 'impl_leaf_order': ['d6', 's0'], 'leaf_polarities': ['same', 'same'], 'truth_table_hash': '0b08e3dcc50fe4e5'}",generated,
