stable_target_id,optimized_target_node,tested_interface,truth_table_hash,onset_size,total_rows,rewrite_artifact,synthesis_status,graph_validation_status,blocker,runtime_seconds,schema_version
f0b703ccb6f1d95d,new_n21,"[""a0"", ""b0"", ""cin""]",b1df09dd8bbf2466,4,8,results/necessity_first_target_discovery/artifacts/necessity_rewrites/f0b703ccb6f1d95d.interface_rewrite.blif,emitted,valid,,0.095998,necessity_first_targets_v1
d049016af490d397,new_n32,[],,0,0,,not_attempted,not_run,input_lower_bound_above_previous_bound,0.000000,necessity_first_targets_v1
ba728e449636e70a,new_n36,"[""a3"", ""b3""]",1f8ac1d43016dc5e,1,4,results/necessity_first_target_discovery/artifacts/necessity_rewrites/ba728e449636e70a.interface_rewrite.blif,emitted,valid,identical_driver,0.062704,necessity_first_targets_v1
9595683b7ec9ce2c,new_n22,"[""a1"", ""b1""]",1f8ac1d43016dc5e,1,4,results/necessity_first_target_discovery/artifacts/necessity_rewrites/9595683b7ec9ce2c.interface_rewrite.blif,emitted,valid,identical_driver,0.069138,necessity_first_targets_v1
59c67c797ca6b886,new_n28,"[""a0"", ""a1"", ""b0"", ""b1"", ""cin""]",b6f791c9fd3ff97f,16,32,results/necessity_first_target_discovery/artifacts/necessity_rewrites/59c67c797ca6b886.interface_rewrite.blif,emitted,valid,,0.099231,necessity_first_targets_v1
c4430c12331356b6,new_n18,"[""a0"", ""b0"", ""cin""]",2c0398cb89f2a2db,2,8,results/necessity_first_target_discovery/artifacts/necessity_rewrites/c4430c12331356b6.interface_rewrite.blif,emitted,valid,,0.108544,necessity_first_targets_v1
f3ddd1b38dc650de,new_n38,"[""a3"", ""b3""]",80dec3b23338d53a,2,4,results/necessity_first_target_discovery/artifacts/necessity_rewrites/f3ddd1b38dc650de.interface_rewrite.blif,emitted,valid,,0.076588,necessity_first_targets_v1
e5abd6629f420240,new_n25,"[""a0"", ""a1"", ""b0"", ""b1"", ""cin""]",c92c656a7d7e4d29,8,32,results/necessity_first_target_discovery/artifacts/necessity_rewrites/e5abd6629f420240.interface_rewrite.blif,emitted,valid,,0.105261,necessity_first_targets_v1
373a3d96f64cae37,new_n21,"[""a0"", ""b0"", ""cin""]",b1df09dd8bbf2466,4,8,results/necessity_first_target_discovery/artifacts/necessity_rewrites/373a3d96f64cae37.interface_rewrite.blif,emitted,valid,,0.104676,necessity_first_targets_v1
a51006c0de3b87e1,new_n32,[],,0,0,,not_attempted,not_run,input_lower_bound_above_previous_bound,0.000000,necessity_first_targets_v1
6257dd9a982e4598,new_n36,"[""a3"", ""b3""]",1f8ac1d43016dc5e,1,4,results/necessity_first_target_discovery/artifacts/necessity_rewrites/6257dd9a982e4598.interface_rewrite.blif,emitted,valid,identical_driver,0.074681,necessity_first_targets_v1
1255dd6ffc4d8f20,new_n22,"[""a1"", ""b1""]",1f8ac1d43016dc5e,1,4,results/necessity_first_target_discovery/artifacts/necessity_rewrites/1255dd6ffc4d8f20.interface_rewrite.blif,emitted,valid,identical_driver,0.078897,necessity_first_targets_v1
dfdb5218b3fce6d7,new_n28,"[""a0"", ""a1"", ""b0"", ""b1"", ""cin""]",b6f791c9fd3ff97f,16,32,results/necessity_first_target_discovery/artifacts/necessity_rewrites/dfdb5218b3fce6d7.interface_rewrite.blif,emitted,valid,,0.122854,necessity_first_targets_v1
