schema_version,stable_target_id,benchmark_id,design_family,dataset_class,split,source_origin,source_license,source_url,source_revision,source_file,source_artifact_hash,lowered_blif_hash,optimized_artifact,optimized_artifact_hash,optimized_target_node,target_node_functional_fingerprint,synthesis_flow_id,command_sequence,abc_revision,yosys_revision,aligned_primary_inputs,aligned_primary_outputs,pi_alignment_hash,source_optimized_cec_status,target_selection_method,target_selection_config_hash,source_blind,artifact_regeneration_command,artifact_availability,eligibility_status,ineligibility_reason
necessity_first_targets_v1,f0b703ccb6f1d95d,generated_adder_4,generated_arithmetic,generated_research_benchmark,development,repository_generated_blif,repository,local:variants,c6fdd94a75506b124fffdb318cb2f899999abac8,variants/generated_adder_4_original.blif,816beedc406166dc,816beedc406166dc,variants/generated_adder_4_dc2.blif,9a32b8a223179572,new_n21,f8b19f8fe69fe5e9,dc2,make generate-variants ABC_REV=bcfdf592289a408cd67ec19260f8a60a37b085b6,bcfdf592289a408cd67ec19260f8a60a37b085b6,not_used_blif_only,"[""a0"", ""a1"", ""a2"", ""a3"", ""b0"", ""b1"", ""b2"", ""b3"", ""cin""]","[""sum0"", ""sum1"", ""sum2"", ""sum3"", ""cout""]",075e8cc796946cab,equivalent,necessity_first_source_blind_ranked_internal_nodes,d343244e6fc9c5fa,true,make generate-variants,available,pending_filter,
necessity_first_targets_v1,d049016af490d397,generated_adder_4,generated_arithmetic,generated_research_benchmark,development,repository_generated_blif,repository,local:variants,c6fdd94a75506b124fffdb318cb2f899999abac8,variants/generated_adder_4_original.blif,816beedc406166dc,816beedc406166dc,variants/generated_adder_4_dc2.blif,9a32b8a223179572,new_n32,df3ebf6f957926b2,dc2,make generate-variants ABC_REV=bcfdf592289a408cd67ec19260f8a60a37b085b6,bcfdf592289a408cd67ec19260f8a60a37b085b6,not_used_blif_only,"[""a0"", ""a1"", ""a2"", ""a3"", ""b0"", ""b1"", ""b2"", ""b3"", ""cin""]","[""sum0"", ""sum1"", ""sum2"", ""sum3"", ""cout""]",075e8cc796946cab,equivalent,necessity_first_source_blind_ranked_internal_nodes,d343244e6fc9c5fa,true,make generate-variants,available,pending_filter,
necessity_first_targets_v1,ba728e449636e70a,generated_adder_4,generated_arithmetic,generated_research_benchmark,development,repository_generated_blif,repository,local:variants,c6fdd94a75506b124fffdb318cb2f899999abac8,variants/generated_adder_4_original.blif,816beedc406166dc,816beedc406166dc,variants/generated_adder_4_dc2.blif,9a32b8a223179572,new_n36,d0e6e1b79f42b1b6,dc2,make generate-variants ABC_REV=bcfdf592289a408cd67ec19260f8a60a37b085b6,bcfdf592289a408cd67ec19260f8a60a37b085b6,not_used_blif_only,"[""a0"", ""a1"", ""a2"", ""a3"", ""b0"", ""b1"", ""b2"", ""b3"", ""cin""]","[""sum0"", ""sum1"", ""sum2"", ""sum3"", ""cout""]",075e8cc796946cab,equivalent,necessity_first_source_blind_ranked_internal_nodes,d343244e6fc9c5fa,true,make generate-variants,available,pending_filter,
necessity_first_targets_v1,9595683b7ec9ce2c,generated_adder_4,generated_arithmetic,generated_research_benchmark,development,repository_generated_blif,repository,local:variants,c6fdd94a75506b124fffdb318cb2f899999abac8,variants/generated_adder_4_original.blif,816beedc406166dc,816beedc406166dc,variants/generated_adder_4_dc2.blif,9a32b8a223179572,new_n22,a7b216104d1423c7,dc2,make generate-variants ABC_REV=bcfdf592289a408cd67ec19260f8a60a37b085b6,bcfdf592289a408cd67ec19260f8a60a37b085b6,not_used_blif_only,"[""a0"", ""a1"", ""a2"", ""a3"", ""b0"", ""b1"", ""b2"", ""b3"", ""cin""]","[""sum0"", ""sum1"", ""sum2"", ""sum3"", ""cout""]",075e8cc796946cab,equivalent,necessity_first_source_blind_ranked_internal_nodes,d343244e6fc9c5fa,true,make generate-variants,available,pending_filter,
necessity_first_targets_v1,59c67c797ca6b886,generated_adder_4,generated_arithmetic,generated_research_benchmark,development,repository_generated_blif,repository,local:variants,c6fdd94a75506b124fffdb318cb2f899999abac8,variants/generated_adder_4_original.blif,816beedc406166dc,816beedc406166dc,variants/generated_adder_4_dc2.blif,9a32b8a223179572,new_n28,8b4dadcc251467c3,dc2,make generate-variants ABC_REV=bcfdf592289a408cd67ec19260f8a60a37b085b6,bcfdf592289a408cd67ec19260f8a60a37b085b6,not_used_blif_only,"[""a0"", ""a1"", ""a2"", ""a3"", ""b0"", ""b1"", ""b2"", ""b3"", ""cin""]","[""sum0"", ""sum1"", ""sum2"", ""sum3"", ""cout""]",075e8cc796946cab,equivalent,necessity_first_source_blind_ranked_internal_nodes,d343244e6fc9c5fa,true,make generate-variants,available,pending_filter,
necessity_first_targets_v1,c4430c12331356b6,generated_adder_4,generated_arithmetic,generated_research_benchmark,development,repository_generated_blif,repository,local:variants,c6fdd94a75506b124fffdb318cb2f899999abac8,variants/generated_adder_4_original.blif,816beedc406166dc,816beedc406166dc,variants/generated_adder_4_dc2.blif,9a32b8a223179572,new_n18,7d6b2718f321c85e,dc2,make generate-variants ABC_REV=bcfdf592289a408cd67ec19260f8a60a37b085b6,bcfdf592289a408cd67ec19260f8a60a37b085b6,not_used_blif_only,"[""a0"", ""a1"", ""a2"", ""a3"", ""b0"", ""b1"", ""b2"", ""b3"", ""cin""]","[""sum0"", ""sum1"", ""sum2"", ""sum3"", ""cout""]",075e8cc796946cab,equivalent,necessity_first_source_blind_ranked_internal_nodes,d343244e6fc9c5fa,true,make generate-variants,available,pending_filter,
necessity_first_targets_v1,f3ddd1b38dc650de,generated_adder_4,generated_arithmetic,generated_research_benchmark,development,repository_generated_blif,repository,local:variants,c6fdd94a75506b124fffdb318cb2f899999abac8,variants/generated_adder_4_original.blif,816beedc406166dc,816beedc406166dc,variants/generated_adder_4_dc2.blif,9a32b8a223179572,new_n38,7842725cf215b229,dc2,make generate-variants ABC_REV=bcfdf592289a408cd67ec19260f8a60a37b085b6,bcfdf592289a408cd67ec19260f8a60a37b085b6,not_used_blif_only,"[""a0"", ""a1"", ""a2"", ""a3"", ""b0"", ""b1"", ""b2"", ""b3"", ""cin""]","[""sum0"", ""sum1"", ""sum2"", ""sum3"", ""cout""]",075e8cc796946cab,equivalent,necessity_first_source_blind_ranked_internal_nodes,d343244e6fc9c5fa,true,make generate-variants,available,pending_filter,
necessity_first_targets_v1,e5abd6629f420240,generated_adder_4,generated_arithmetic,generated_research_benchmark,development,repository_generated_blif,repository,local:variants,c6fdd94a75506b124fffdb318cb2f899999abac8,variants/generated_adder_4_original.blif,816beedc406166dc,816beedc406166dc,variants/generated_adder_4_dc2.blif,9a32b8a223179572,new_n25,6d0871c48445489e,dc2,make generate-variants ABC_REV=bcfdf592289a408cd67ec19260f8a60a37b085b6,bcfdf592289a408cd67ec19260f8a60a37b085b6,not_used_blif_only,"[""a0"", ""a1"", ""a2"", ""a3"", ""b0"", ""b1"", ""b2"", ""b3"", ""cin""]","[""sum0"", ""sum1"", ""sum2"", ""sum3"", ""cout""]",075e8cc796946cab,equivalent,necessity_first_source_blind_ranked_internal_nodes,d343244e6fc9c5fa,true,make generate-variants,available,pending_filter,
necessity_first_targets_v1,373a3d96f64cae37,generated_adder_4,generated_arithmetic,generated_research_benchmark,development,repository_generated_blif,repository,local:variants,c6fdd94a75506b124fffdb318cb2f899999abac8,variants/generated_adder_4_original.blif,816beedc406166dc,816beedc406166dc,variants/generated_adder_4_resyn2.blif,9a32b8a223179572,new_n21,f8b19f8fe69fe5e9,resyn2,make generate-variants ABC_REV=bcfdf592289a408cd67ec19260f8a60a37b085b6,bcfdf592289a408cd67ec19260f8a60a37b085b6,not_used_blif_only,"[""a0"", ""a1"", ""a2"", ""a3"", ""b0"", ""b1"", ""b2"", ""b3"", ""cin""]","[""sum0"", ""sum1"", ""sum2"", ""sum3"", ""cout""]",075e8cc796946cab,equivalent,necessity_first_source_blind_ranked_internal_nodes,d343244e6fc9c5fa,true,make generate-variants,available,pending_filter,
necessity_first_targets_v1,a51006c0de3b87e1,generated_adder_4,generated_arithmetic,generated_research_benchmark,development,repository_generated_blif,repository,local:variants,c6fdd94a75506b124fffdb318cb2f899999abac8,variants/generated_adder_4_original.blif,816beedc406166dc,816beedc406166dc,variants/generated_adder_4_resyn2.blif,9a32b8a223179572,new_n32,df3ebf6f957926b2,resyn2,make generate-variants ABC_REV=bcfdf592289a408cd67ec19260f8a60a37b085b6,bcfdf592289a408cd67ec19260f8a60a37b085b6,not_used_blif_only,"[""a0"", ""a1"", ""a2"", ""a3"", ""b0"", ""b1"", ""b2"", ""b3"", ""cin""]","[""sum0"", ""sum1"", ""sum2"", ""sum3"", ""cout""]",075e8cc796946cab,equivalent,necessity_first_source_blind_ranked_internal_nodes,d343244e6fc9c5fa,true,make generate-variants,available,pending_filter,
